,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2650.0,2728.5,2645.0,2728.5,3438800.0,2728.5
1,2017-01-05,2770.0,2775.0,2681.5,2693.0,3607300.0,2693.0
2,2017-01-06,2633.0,2650.5,2612.5,2629.0,3448500.0,2629.0
3,2017-01-10,2579.0,2657.0,2574.0,2622.0,3904500.0,2622.0
4,2017-01-11,2668.0,2743.0,2664.0,2741.5,4052500.0,2741.5
5,2017-01-12,2705.0,2739.5,2675.5,2688.0,3430100.0,2688.0
6,2017-01-13,2675.5,2676.0,2635.5,2668.5,2823600.0,2668.5
7,2017-01-16,2614.0,2625.0,2546.5,2558.0,5355900.0,2558.0
8,2017-01-17,2535.0,2608.5,2531.5,2559.5,4244900.0,2559.5
9,2017-01-18,2576.0,2700.0,2576.0,2685.5,6289700.0,2685.5
10,2017-01-19,2717.0,2728.0,2675.5,2702.5,3256100.0,2702.5
11,2017-01-20,2691.0,2723.5,2677.0,2714.5,2813100.0,2714.5
12,2017-01-23,2682.5,2712.0,2665.0,2688.5,2363600.0,2688.5
13,2017-01-24,2668.0,2740.0,2668.0,2705.0,3430700.0,2705.0
14,2017-01-25,2780.0,2794.0,2741.5,2766.0,3991100.0,2766.0
15,2017-01-26,2800.0,2813.5,2768.0,2803.5,4400800.0,2803.5
16,2017-01-27,2813.5,2818.0,2760.0,2767.0,3391400.0,2767.0
17,2017-01-30,2761.0,2814.0,2760.5,2806.5,3698200.0,2806.5
18,2017-01-31,2741.5,2766.5,2730.0,2736.5,3197900.0,2736.5
19,2017-02-01,2749.0,2798.5,2731.0,2794.5,2943400.0,2794.5
20,2017-02-02,2789.5,2789.5,2720.0,2729.0,3446300.0,2729.0
21,2017-02-03,2720.0,2778.0,2720.0,2727.5,3093900.0,2727.5
22,2017-02-06,2761.5,2782.5,2722.0,2741.0,2832900.0,2741.0
23,2017-02-07,2714.5,2761.5,2712.0,2750.0,2078900.0,2750.0
24,2017-02-08,2745.0,2766.0,2733.5,2764.5,2272400.0,2764.5
25,2017-02-09,2753.0,2756.0,2728.0,2733.5,1504700.0,2733.5
26,2017-02-10,2780.0,2810.0,2763.5,2797.5,3440000.0,2797.5
27,2017-02-13,2837.0,2857.5,2822.5,2851.5,3223600.0,2851.5
28,2017-02-14,2878.0,2879.5,2810.5,2812.5,3088300.0,2812.5
29,2017-02-15,2834.0,2866.0,2819.0,2825.0,2828600.0,2825.0
30,2017-02-16,2820.0,2837.0,2791.0,2818.0,2314600.0,2818.0
31,2017-02-17,2818.0,2822.0,2786.0,2818.5,2141300.0,2818.5
32,2017-02-20,2814.0,2831.0,2793.5,2818.0,1868000.0,2818.0
33,2017-02-21,2819.0,2836.5,2800.0,2819.5,1477400.0,2819.5
34,2017-02-22,2853.5,2897.0,2850.0,2871.5,4389600.0,2871.5
35,2017-02-23,2870.0,2872.5,2838.5,2848.5,2075900.0,2848.5
36,2017-02-24,2820.0,2838.5,2803.0,2807.5,2308500.0,2807.5
37,2017-02-27,2780.0,2788.0,2727.0,2763.5,2803000.0,2763.5
38,2017-02-28,2779.0,2814.5,2763.5,2763.5,2814100.0,2763.5
39,2017-03-01,2788.0,2809.5,2753.5,2804.5,2795300.0,2804.5
40,2017-03-02,2880.0,2881.5,2847.5,2849.0,3310400.0,2849.0
41,2017-03-03,2849.0,2870.5,2834.0,2860.5,2971500.0,2860.5
42,2017-03-06,2880.0,2912.0,2863.0,2895.0,3895400.0,2895.0
43,2017-03-07,2880.0,2885.0,2850.0,2874.0,3365000.0,2874.0
44,2017-03-08,2888.5,2899.5,2818.0,2823.5,3149200.0,2823.5
45,2017-03-09,2821.0,2822.5,2761.0,2773.5,4038700.0,2773.5
46,2017-03-10,2794.5,2807.0,2733.0,2740.5,4976600.0,2740.5
47,2017-03-13,2733.5,2736.0,2702.0,2733.0,3027600.0,2733.0
48,2017-03-14,2720.0,2729.0,2702.0,2711.0,2739100.0,2711.0
49,2017-03-15,2671.0,2677.5,2650.0,2666.0,3949900.0,2666.0
50,2017-03-16,2677.5,2704.5,2665.0,2681.0,3958200.0,2681.0
51,2017-03-17,2675.5,2680.5,2657.0,2672.5,3456600.0,2672.5
52,2017-03-21,2662.0,2662.0,2628.5,2653.5,2935000.0,2653.5
53,2017-03-22,2585.0,2606.0,2555.0,2578.5,4003200.0,2578.5
54,2017-03-23,2603.0,2615.0,2568.0,2584.5,3008100.0,2584.5
55,2017-03-24,2583.0,2618.0,2568.5,2601.0,3143100.0,2601.0
56,2017-03-27,2559.5,2570.0,2543.5,2553.5,2939100.0,2553.5
57,2017-03-28,2578.5,2598.5,2567.0,2580.5,3250300.0,2580.5
58,2017-03-29,2600.0,2610.5,2570.0,2572.5,3367100.0,2572.5
59,2017-03-30,2590.0,2609.5,2560.5,2565.5,3201500.0,2565.5
60,2017-03-31,2587.5,2624.0,2565.0,2565.0,3878200.0,2565.0
61,2017-04-03,2574.0,2579.0,2501.5,2531.0,4123200.0,2531.0
