,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4710.0,4730.0,4635.0,4640.0,1774500.0,1546.7
1,2017-01-05,4635.0,4700.0,4625.0,4700.0,1014900.0,1566.7
2,2017-01-06,4680.0,4755.0,4670.0,4740.0,1238500.0,1580.0
3,2017-01-10,4715.0,4740.0,4660.0,4665.0,1842800.0,1555.0
4,2017-01-11,4640.0,4705.0,4630.0,4700.0,932400.0,1566.7
5,2017-01-12,4770.0,4800.0,4715.0,4785.0,1749200.0,1595.0
6,2017-01-13,4780.0,4790.0,4755.0,4780.0,820900.0,1593.3
7,2017-01-16,4780.0,4890.0,4770.0,4875.0,1798700.0,1625.0
8,2017-01-17,4915.0,4970.0,4875.0,4880.0,2024100.0,1626.7
9,2017-01-18,4885.0,4960.0,4880.0,4900.0,1800300.0,1633.3
10,2017-01-19,4900.0,5040.0,4890.0,5010.0,1813500.0,1670.0
11,2017-01-20,5010.0,5030.0,4980.0,5000.0,1598600.0,1666.7
12,2017-01-23,4950.0,4970.0,4910.0,4915.0,1315100.0,1638.3
13,2017-01-24,4910.0,4990.0,4900.0,4975.0,1604400.0,1658.3
14,2017-01-25,5030.0,5110.0,5000.0,5040.0,1643800.0,1680.0
15,2017-01-26,5040.0,5040.0,4950.0,4970.0,1784400.0,1656.7
16,2017-01-27,4995.0,4995.0,4925.0,4950.0,1609900.0,1650.0
17,2017-01-30,4955.0,4975.0,4935.0,4965.0,1155800.0,1655.0
18,2017-01-31,4925.0,4985.0,4920.0,4945.0,1037200.0,1648.3
19,2017-02-01,4940.0,5140.0,4930.0,5120.0,2292300.0,1706.7
20,2017-02-02,5160.0,5170.0,5050.0,5060.0,1432200.0,1686.7
21,2017-02-03,5080.0,5180.0,5070.0,5080.0,1403300.0,1693.3
22,2017-02-06,5100.0,5160.0,5070.0,5150.0,1129900.0,1716.7
23,2017-02-07,5120.0,5130.0,5070.0,5110.0,813600.0,1703.3
24,2017-02-08,5140.0,5190.0,5090.0,5150.0,1048300.0,1716.7
25,2017-02-09,5130.0,5170.0,5090.0,5110.0,945400.0,1703.3
26,2017-02-10,5160.0,5200.0,5110.0,5190.0,1267200.0,1730.0
27,2017-02-13,5200.0,5210.0,5150.0,5180.0,879800.0,1726.7
28,2017-02-14,5210.0,5330.0,5210.0,5240.0,1688900.0,1746.7
29,2017-02-15,5310.0,5310.0,5140.0,5220.0,1723100.0,1740.0
30,2017-02-16,5200.0,5270.0,5150.0,5170.0,1048300.0,1723.3
31,2017-02-17,5150.0,5320.0,5150.0,5270.0,1894800.0,1756.7
32,2017-02-20,5240.0,5340.0,5240.0,5330.0,1494400.0,1776.7
33,2017-02-21,5300.0,5330.0,5270.0,5330.0,888800.0,1776.7
34,2017-02-22,5330.0,5440.0,5310.0,5430.0,1665300.0,1810.0
35,2017-02-23,5420.0,5460.0,5370.0,5450.0,1234900.0,1816.7
36,2017-02-24,5440.0,5500.0,5420.0,5420.0,1070700.0,1806.7
37,2017-02-27,5410.0,5480.0,5390.0,5450.0,1265700.0,1816.7
38,2017-02-28,5500.0,5620.0,5490.0,5510.0,2582800.0,1836.7
39,2017-03-01,5540.0,5600.0,5490.0,5550.0,1494900.0,1850.0
40,2017-03-02,5600.0,5600.0,5470.0,5490.0,1711100.0,1830.0
41,2017-03-03,5500.0,5530.0,5460.0,5530.0,1188800.0,1843.3
42,2017-03-06,5510.0,5520.0,5440.0,5460.0,1073500.0,1820.0
43,2017-03-07,5430.0,5440.0,5330.0,5380.0,1990300.0,1793.3
