,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1701.5,1729.0,1698.0,1724.5,4361600.0,1724.5
1,2017-01-05,1730.0,1735.0,1708.0,1718.5,2688300.0,1718.5
2,2017-01-06,1700.0,1705.5,1689.0,1701.0,2769800.0,1701.0
3,2017-01-10,1706.5,1713.0,1680.5,1681.0,3849200.0,1681.0
4,2017-01-11,1684.5,1707.5,1684.5,1700.0,3100700.0,1700.0
5,2017-01-12,1725.0,1727.0,1696.0,1715.5,4461000.0,1715.5
6,2017-01-13,1726.0,1755.5,1720.0,1754.5,4462400.0,1754.5
7,2017-01-16,1745.5,1752.0,1710.0,1722.5,3858500.0,1722.5
8,2017-01-17,1722.0,1731.0,1702.5,1704.0,3005800.0,1704.0
9,2017-01-18,1701.5,1720.0,1694.0,1713.5,3102800.0,1713.5
10,2017-01-19,1736.0,1749.0,1724.0,1737.5,2219900.0,1737.5
11,2017-01-20,1758.0,1816.5,1756.5,1805.0,6163800.0,1805.0
12,2017-01-23,1784.0,1793.0,1768.5,1780.0,4176100.0,1780.0
13,2017-01-24,1778.0,1783.5,1762.5,1770.0,2662700.0,1770.0
14,2017-01-25,1821.0,1823.0,1791.5,1802.0,3418000.0,1802.0
15,2017-01-26,1806.0,1823.0,1800.0,1818.5,3394600.0,1818.5
16,2017-01-27,1826.5,1850.0,1818.0,1849.5,4128700.0,1849.5
17,2017-01-30,1831.0,1840.0,1822.5,1832.0,2949300.0,1832.0
18,2017-01-31,1807.5,1811.5,1796.0,1800.0,4166100.0,1800.0
19,2017-02-01,1800.0,1825.0,1788.0,1824.5,3254100.0,1824.5
20,2017-02-02,1850.0,1850.5,1801.5,1806.0,3115300.0,1806.0
21,2017-02-03,1810.0,1816.5,1791.0,1805.0,2879500.0,1805.0
22,2017-02-06,1821.0,1830.0,1803.0,1808.5,2835200.0,1808.5
23,2017-02-07,1808.0,1828.5,1801.0,1822.0,2207200.0,1822.0
24,2017-02-08,1829.0,1831.0,1806.5,1826.5,2763400.0,1826.5
25,2017-02-09,1812.0,1827.5,1797.0,1815.0,2016200.0,1815.0
26,2017-02-10,1864.0,1894.0,1859.0,1891.5,3932500.0,1891.5
27,2017-02-13,1888.0,1888.0,1868.5,1871.0,3324200.0,1871.0
28,2017-02-14,1883.0,1890.0,1841.0,1843.5,3549300.0,1843.5
29,2017-02-15,1852.5,1855.0,1784.0,1823.0,5766400.0,1823.0
30,2017-02-16,1843.0,1879.5,1823.0,1861.5,3565300.0,1861.5
31,2017-02-17,1847.0,1858.0,1837.5,1856.5,2798800.0,1856.5
32,2017-02-20,1839.0,1855.0,1825.0,1850.0,2739200.0,1850.0
33,2017-02-21,1856.0,1857.0,1837.0,1850.0,2567800.0,1850.0
34,2017-02-22,1850.0,1853.5,1830.0,1848.0,3759800.0,1848.0
35,2017-02-23,1840.5,1843.0,1813.0,1813.0,5115700.0,1813.0
36,2017-02-24,1790.0,1813.0,1784.5,1787.0,4167900.0,1787.0
37,2017-02-27,1760.0,1796.5,1760.0,1770.0,3894600.0,1770.0
38,2017-02-28,1783.5,1808.5,1776.5,1787.5,3773700.0,1787.5
39,2017-03-01,1809.0,1834.0,1799.0,1831.5,4450600.0,1831.5
40,2017-03-02,1858.0,1863.0,1844.0,1849.5,3465000.0,1849.5
41,2017-03-03,1836.5,1848.0,1823.5,1833.5,2209000.0,1833.5
42,2017-03-06,1825.0,1826.5,1807.5,1820.0,2345400.0,1820.0
43,2017-03-07,1818.5,1819.0,1805.5,1809.5,2383500.0,1809.5
44,2017-03-08,1800.0,1804.0,1774.5,1785.0,3266800.0,1785.0
45,2017-03-09,1794.0,1795.5,1781.5,1785.0,1679700.0,1785.0
46,2017-03-10,1778.5,1801.0,1777.0,1799.5,3887300.0,1799.5
47,2017-03-13,1789.5,1810.5,1780.5,1791.0,2154900.0,1791.0
48,2017-03-14,1780.5,1790.0,1767.5,1771.0,3436200.0,1771.0
49,2017-03-15,1767.5,1776.5,1763.0,1772.5,2274400.0,1772.5
50,2017-03-16,1756.5,1790.0,1752.5,1786.0,2273000.0,1786.0
51,2017-03-17,1809.5,1819.0,1776.5,1778.5,5296500.0,1778.5
52,2017-03-21,1761.0,1776.0,1753.5,1769.0,2067300.0,1769.0
53,2017-03-22,1711.0,1734.0,1702.0,1718.0,3028700.0,1718.0
54,2017-03-23,1714.0,1723.0,1706.5,1718.5,2573600.0,1718.5
55,2017-03-24,1725.0,1742.0,1713.0,1733.0,1863400.0,1733.0
56,2017-03-27,1700.0,1705.0,1676.0,1677.5,3715200.0,1677.5
57,2017-03-28,1692.0,1715.0,1689.0,1714.5,3408400.0,1714.5
58,2017-03-29,1724.5,1735.0,1705.5,1712.0,2937500.0,1712.0
59,2017-03-30,1705.0,1714.0,1688.5,1692.0,2416400.0,1692.0
60,2017-03-31,1709.5,1714.5,1671.0,1671.0,3819500.0,1671.0
61,2017-04-03,1675.0,1688.0,1665.5,1678.5,2998800.0,1678.5
