,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2524.0,2546.0,2514.0,2529.0,736500.0,2529.0
1,2017-01-05,2496.0,2510.0,2471.0,2492.0,755200.0,2492.0
2,2017-01-06,2474.0,2496.0,2457.0,2483.0,727700.0,2483.0
3,2017-01-10,2465.0,2493.0,2434.0,2477.0,798000.0,2477.0
4,2017-01-11,2479.0,2479.0,2444.0,2450.0,707700.0,2450.0
5,2017-01-12,2430.0,2456.0,2413.0,2439.0,878100.0,2439.0
6,2017-01-13,2440.0,2477.0,2435.0,2458.0,748600.0,2458.0
7,2017-01-16,2469.0,2474.0,2409.0,2425.0,895000.0,2425.0
8,2017-01-17,2400.0,2403.0,2356.0,2366.0,673100.0,2366.0
9,2017-01-18,2363.0,2378.0,2338.0,2374.0,749800.0,2374.0
10,2017-01-19,2417.0,2451.0,2413.0,2438.0,775500.0,2438.0
11,2017-01-20,2435.0,2487.0,2428.0,2479.0,707600.0,2479.0
12,2017-01-23,2451.0,2463.0,2433.0,2440.0,569200.0,2440.0
13,2017-01-24,2428.0,2436.0,2418.0,2426.0,618700.0,2426.0
14,2017-01-25,2494.0,2496.0,2457.0,2475.0,503200.0,2475.0
15,2017-01-26,2499.0,2530.0,2488.0,2523.0,1052200.0,2523.0
16,2017-01-27,2550.0,2560.0,2531.0,2543.0,658900.0,2543.0
17,2017-01-30,2543.0,2550.0,2493.0,2520.0,589100.0,2520.0
18,2017-01-31,2484.0,2522.0,2466.0,2498.0,627800.0,2498.0
19,2017-02-01,2485.0,2524.0,2482.0,2523.0,684600.0,2523.0
20,2017-02-02,2534.0,2540.0,2470.0,2474.0,666600.0,2474.0
21,2017-02-03,2463.0,2526.0,2457.0,2524.0,832500.0,2524.0
22,2017-02-06,2543.0,2559.0,2496.0,2504.0,503200.0,2504.0
23,2017-02-07,2486.0,2509.0,2481.0,2494.0,438900.0,2494.0
24,2017-02-08,2466.0,2496.0,2464.0,2489.0,559900.0,2489.0
25,2017-02-09,2467.0,2467.0,2427.0,2440.0,844300.0,2440.0
26,2017-02-10,2473.0,2493.0,2456.0,2490.0,732100.0,2490.0
27,2017-02-13,2589.0,2723.0,2583.0,2698.0,2690200.0,2698.0
28,2017-02-14,2709.0,2710.0,2624.0,2631.0,1143300.0,2631.0
29,2017-02-15,2675.0,2719.0,2675.0,2683.0,659000.0,2683.0
30,2017-02-16,2681.0,2698.0,2645.0,2680.0,515000.0,2680.0
31,2017-02-17,2669.0,2738.0,2650.0,2733.0,844300.0,2733.0
32,2017-02-20,2706.0,2720.0,2667.0,2706.0,701500.0,2706.0
33,2017-02-21,2700.0,2700.0,2668.0,2677.0,706700.0,2677.0
34,2017-02-22,2695.0,2703.0,2660.0,2661.0,722400.0,2661.0
35,2017-02-23,2656.0,2670.0,2641.0,2668.0,608800.0,2668.0
36,2017-02-24,2637.0,2669.0,2604.0,2626.0,906000.0,2626.0
37,2017-02-27,2625.0,2626.0,2592.0,2612.0,838400.0,2612.0
38,2017-02-28,2648.0,2651.0,2623.0,2624.0,762100.0,2624.0
39,2017-03-01,2624.0,2704.0,2616.0,2691.0,1122400.0,2691.0
40,2017-03-02,2750.0,2762.0,2716.0,2727.0,940700.0,2727.0
41,2017-03-03,2750.0,2756.0,2719.0,2755.0,767300.0,2755.0
42,2017-03-06,2756.0,2794.0,2745.0,2759.0,780000.0,2759.0
43,2017-03-07,2755.0,2792.0,2750.0,2776.0,507300.0,2776.0
44,2017-03-08,2779.0,2787.0,2760.0,2778.0,613300.0,2778.0
45,2017-03-09,2792.0,2820.0,2782.0,2782.0,689900.0,2782.0
46,2017-03-10,2808.0,2833.0,2790.0,2812.0,805700.0,2812.0
47,2017-03-13,2822.0,2827.0,2799.0,2811.0,727600.0,2811.0
48,2017-03-14,2816.0,2824.0,2804.0,2811.0,477000.0,2811.0
49,2017-03-15,2810.0,2811.0,2776.0,2802.0,703800.0,2802.0
50,2017-03-16,2778.0,2865.0,2778.0,2861.0,875200.0,2861.0
51,2017-03-17,2845.0,2883.0,2836.0,2838.0,850000.0,2838.0
52,2017-03-21,2855.0,2880.0,2838.0,2876.0,715700.0,2876.0
53,2017-03-22,2814.0,2831.0,2798.0,2800.0,849900.0,2800.0
54,2017-03-23,2800.0,2818.0,2793.0,2800.0,541500.0,2800.0
55,2017-03-24,2795.0,2823.0,2790.0,2806.0,687000.0,2806.0
56,2017-03-27,2776.0,2786.0,2750.0,2757.0,552400.0,2757.0
57,2017-03-28,2795.0,2808.0,2771.0,2807.0,608600.0,2807.0
58,2017-03-29,2801.0,2832.0,2778.0,2796.0,635300.0,2796.0
59,2017-03-30,2786.0,2797.0,2756.0,2763.0,448000.0,2763.0
60,2017-03-31,2801.0,2829.0,2775.0,2775.0,760100.0,2775.0
61,2017-04-03,2765.0,2771.0,2742.0,2761.0,575200.0,2761.0
62,2017-04-04,2746.0,2755.0,2680.0,2705.0,856700.0,2705.0
63,2017-04-05,2697.0,2723.0,2680.0,2707.0,1193400.0,2707.0
64,2017-04-06,2701.0,2708.0,2664.0,2695.0,1024700.0,2695.0
65,2017-04-07,2759.0,2792.0,2707.0,2745.0,1234800.0,2745.0
66,2017-04-10,2758.0,2805.0,2756.0,2784.0,967500.0,2784.0
67,2017-04-11,2770.0,2779.0,2709.0,2730.0,759300.0,2730.0
68,2017-04-12,2680.0,2684.0,2571.0,2582.0,2190500.0,2582.0
69,2017-04-13,2546.0,2603.0,2544.0,2602.0,1006500.0,2602.0
70,2017-04-14,2578.0,2594.0,2555.0,2562.0,653200.0,2562.0
71,2017-04-17,2543.0,2574.0,2527.0,2564.0,506400.0,2564.0
72,2017-04-18,2604.0,2623.0,2562.0,2575.0,488200.0,2575.0
73,2017-04-19,2562.0,2593.0,2562.0,2569.0,629700.0,2569.0
74,2017-04-20,2582.0,2619.0,2577.0,2584.0,548100.0,2584.0
75,2017-04-21,2642.0,2665.0,2630.0,2662.0,879700.0,2662.0
76,2017-04-24,2714.0,2734.0,2669.0,2686.0,678300.0,2686.0
77,2017-04-25,2676.0,2711.0,2659.0,2709.0,797600.0,2709.0
78,2017-04-26,2739.0,2754.0,2723.0,2752.0,867000.0,2752.0
79,2017-04-27,2800.0,2826.0,2792.0,2809.0,1076200.0,2809.0
80,2017-04-28,2811.0,2840.0,2811.0,2817.0,724600.0,2817.0
81,2017-05-01,2825.0,2865.0,2822.0,2861.0,709400.0,2861.0
