,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1759.0,1768.0,1753.0,1767.0,2310500.0,1767.0
1,2017-01-05,1773.0,1793.0,1768.0,1782.0,1248800.0,1782.0
2,2017-01-06,1775.0,1839.0,1771.0,1838.0,2349300.0,1838.0
3,2017-01-10,1830.0,1848.0,1807.0,1813.0,1725800.0,1813.0
4,2017-01-11,1819.0,1822.0,1812.0,1813.0,843300.0,1813.0
5,2017-01-12,1802.0,1807.0,1786.0,1803.0,1003600.0,1803.0
6,2017-01-13,1795.0,1810.0,1782.0,1798.0,1149100.0,1798.0
7,2017-01-16,1798.0,1798.0,1763.0,1770.0,1423100.0,1770.0
8,2017-01-17,1758.0,1766.0,1727.0,1728.0,1870900.0,1728.0
9,2017-01-18,1708.0,1725.0,1696.0,1717.0,1797300.0,1717.0
10,2017-01-19,1724.0,1742.0,1714.0,1730.0,1863500.0,1730.0
11,2017-01-20,1711.0,1751.0,1711.0,1743.0,1190500.0,1743.0
12,2017-01-23,1717.0,1740.0,1713.0,1727.0,883800.0,1727.0
13,2017-01-24,1749.0,1759.0,1730.0,1734.0,1344900.0,1734.0
14,2017-01-25,1758.0,1763.0,1745.0,1754.0,1040400.0,1754.0
15,2017-01-26,1776.0,1814.0,1769.0,1812.0,1674000.0,1812.0
16,2017-01-27,1815.0,1818.0,1785.0,1785.0,1153000.0,1785.0
17,2017-01-30,1799.0,1805.0,1790.0,1792.0,824100.0,1792.0
18,2017-01-31,1772.0,1782.0,1765.0,1776.0,1006100.0,1776.0
19,2017-02-01,1767.0,1793.0,1756.0,1788.0,926300.0,1788.0
20,2017-02-02,1781.0,1783.0,1761.0,1764.0,1047300.0,1764.0
21,2017-02-03,1768.0,1773.0,1752.0,1762.0,975200.0,1762.0
22,2017-02-06,1765.0,1781.0,1741.0,1779.0,1390000.0,1779.0
23,2017-02-07,1800.0,1800.0,1636.0,1680.0,4224300.0,1680.0
24,2017-02-08,1695.0,1701.0,1672.0,1694.0,2061000.0,1694.0
25,2017-02-09,1700.0,1710.0,1692.0,1701.0,1330300.0,1701.0
26,2017-02-10,1723.0,1726.0,1704.0,1717.0,1051800.0,1717.0
27,2017-02-13,1723.0,1737.0,1717.0,1735.0,803600.0,1735.0
28,2017-02-14,1735.0,1735.0,1720.0,1729.0,1098000.0,1729.0
29,2017-02-15,1740.0,1742.0,1699.0,1706.0,1487300.0,1706.0
30,2017-02-16,1694.0,1703.0,1683.0,1696.0,1306300.0,1696.0
31,2017-02-17,1691.0,1702.0,1673.0,1699.0,1130700.0,1699.0
32,2017-02-20,1687.0,1692.0,1671.0,1678.0,1167400.0,1678.0
33,2017-02-21,1670.0,1690.0,1662.0,1689.0,1320100.0,1689.0
34,2017-02-22,1698.0,1700.0,1676.0,1683.0,1036800.0,1683.0
35,2017-02-23,1686.0,1691.0,1672.0,1689.0,796300.0,1689.0
36,2017-02-24,1675.0,1683.0,1656.0,1663.0,1475400.0,1663.0
37,2017-02-27,1647.0,1671.0,1636.0,1668.0,1329300.0,1668.0
38,2017-02-28,1669.0,1670.0,1652.0,1653.0,1283600.0,1653.0
39,2017-03-01,1656.0,1672.0,1648.0,1670.0,891700.0,1670.0
40,2017-03-02,1688.0,1706.0,1671.0,1704.0,1287700.0,1704.0
41,2017-03-03,1679.0,1679.0,1636.0,1644.0,2605800.0,1644.0
42,2017-03-06,1634.0,1635.0,1611.0,1620.0,1450300.0,1620.0
43,2017-03-07,1616.0,1618.0,1601.0,1614.0,1686300.0,1614.0
44,2017-03-08,1605.0,1638.0,1604.0,1633.0,1852500.0,1633.0
45,2017-03-09,1617.0,1644.0,1617.0,1638.0,1230000.0,1638.0
46,2017-03-10,1655.0,1658.0,1621.0,1625.0,1505000.0,1625.0
47,2017-03-13,1621.0,1652.0,1620.0,1644.0,1140500.0,1644.0
48,2017-03-14,1650.0,1661.0,1644.0,1651.0,773800.0,1651.0
49,2017-03-15,1650.0,1658.0,1648.0,1651.0,664000.0,1651.0
50,2017-03-16,1644.0,1653.0,1637.0,1651.0,894000.0,1651.0
51,2017-03-17,1635.0,1639.0,1615.0,1625.0,1567000.0,1625.0
52,2017-03-21,1632.0,1656.0,1621.0,1653.0,1183700.0,1653.0
53,2017-03-22,1625.0,1640.0,1595.0,1597.0,1581200.0,1597.0
54,2017-03-23,1591.0,1599.0,1576.0,1582.0,1375500.0,1582.0
55,2017-03-24,1586.0,1593.0,1572.0,1582.0,1437900.0,1582.0
56,2017-03-27,1576.0,1596.0,1562.0,1580.0,1530500.0,1580.0
57,2017-03-28,1592.0,1603.0,1584.0,1602.0,1352300.0,1602.0
58,2017-03-29,1590.0,1599.0,1573.0,1583.0,1372600.0,1583.0
59,2017-03-30,1563.0,1565.0,1535.0,1539.0,1883600.0,1539.0
60,2017-03-31,1540.0,1540.0,1490.0,1492.0,2638500.0,1492.0
61,2017-04-03,1510.0,1525.0,1479.0,1517.0,1819200.0,1517.0
62,2017-04-04,1509.0,1512.0,1480.0,1493.0,1679100.0,1493.0
63,2017-04-05,1501.0,1515.0,1493.0,1499.0,1477700.0,1499.0
64,2017-04-06,1498.0,1508.0,1474.0,1481.0,1522200.0,1481.0
65,2017-04-07,1486.0,1494.0,1475.0,1478.0,1466900.0,1478.0
66,2017-04-10,1490.0,1505.0,1488.0,1495.0,1518700.0,1495.0
67,2017-04-11,1478.0,1498.0,1468.0,1480.0,1560200.0,1480.0
68,2017-04-12,1467.0,1471.0,1443.0,1455.0,1744000.0,1455.0
69,2017-04-13,1441.0,1460.0,1431.0,1454.0,1576900.0,1454.0
70,2017-04-14,1446.0,1458.0,1438.0,1443.0,1028300.0,1443.0
71,2017-04-17,1430.0,1448.0,1424.0,1446.0,2033600.0,1446.0
72,2017-04-18,1453.0,1456.0,1411.0,1425.0,2641600.0,1425.0
73,2017-04-19,1420.0,1441.0,1411.0,1420.0,2267600.0,1420.0
74,2017-04-20,1415.0,1426.0,1396.0,1404.0,2569100.0,1404.0
75,2017-04-21,1404.0,1420.0,1399.0,1414.0,2285300.0,1414.0
76,2017-04-24,1430.0,1468.0,1418.0,1460.0,2273400.0,1460.0
77,2017-04-25,1455.0,1478.0,1455.0,1477.0,1325900.0,1477.0
78,2017-04-26,1493.0,1532.0,1491.0,1510.0,1781500.0,1510.0
79,2017-04-27,1510.0,1518.0,1500.0,1507.0,1163800.0,1507.0
80,2017-04-28,1512.0,1523.0,1494.0,1497.0,1826200.0,1497.0
81,2017-05-01,1500.0,1507.0,1493.0,1499.0,1010100.0,1499.0
