,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,644.0,656.0,641.9,655.9,23887000.0,3279.5
1,2017-01-05,670.0,670.7,655.1,659.0,35734000.0,3295.0
2,2017-01-06,650.1,660.7,648.2,656.4,19592000.0,3282.0
3,2017-01-10,654.5,660.5,652.1,652.7,16253000.0,3263.5
4,2017-01-11,659.0,666.2,657.1,665.1,18216000.0,3325.5
5,2017-01-12,660.5,662.9,653.6,657.3,17433000.0,3286.5
6,2017-01-13,653.9,658.8,651.5,657.9,12734000.0,3289.5
7,2017-01-16,654.2,659.1,650.1,652.3,11096000.0,3261.5
8,2017-01-17,650.4,652.7,643.4,644.4,13475000.0,3222.0
9,2017-01-18,634.4,653.6,633.5,651.4,19359000.0,3257.0
10,2017-01-19,659.3,661.0,652.7,657.7,13666000.0,3288.5
11,2017-01-20,657.3,661.0,654.3,658.6,16338000.0,3293.0
12,2017-01-23,650.2,653.4,646.5,649.0,12782000.0,3245.0
13,2017-01-24,648.0,650.4,643.4,643.9,13765000.0,3219.5
14,2017-01-25,656.8,659.8,654.9,657.0,15207000.0,3285.0
15,2017-01-26,664.1,677.7,662.4,674.8,24369000.0,3374.0
16,2017-01-27,676.4,676.9,672.3,673.6,14476000.0,3368.0
17,2017-01-30,670.0,671.7,663.6,667.9,11947000.0,3339.5
18,2017-01-31,656.5,657.4,647.6,647.6,22222000.0,3238.0
19,2017-02-01,636.0,651.5,635.1,648.2,16214000.0,3241.0
20,2017-02-02,671.0,679.5,653.7,655.7,40597000.0,3278.5
21,2017-02-03,660.1,671.6,656.5,660.7,22874000.0,3303.5
22,2017-02-06,667.9,670.9,658.3,664.7,14286000.0,3323.5
23,2017-02-07,659.0,678.0,658.8,672.3,19894000.0,3361.5
24,2017-02-08,669.6,677.3,669.3,676.7,15223000.0,3383.5
25,2017-02-09,640.0,643.6,619.4,622.3,76443000.0,3111.5
26,2017-02-10,635.0,635.7,624.7,627.4,40918000.0,3137.0
27,2017-02-13,630.0,638.0,628.4,636.6,24123000.0,3183.0
28,2017-02-14,641.7,642.8,632.2,632.7,21944000.0,3163.5
29,2017-02-15,642.7,646.9,640.6,641.0,21606000.0,3205.0
30,2017-02-16,643.8,649.0,639.6,642.9,21158000.0,3214.5
31,2017-02-17,635.0,637.0,628.7,631.1,19342000.0,3155.5
32,2017-02-20,624.9,627.6,619.4,626.7,16379000.0,3133.5
33,2017-02-21,626.7,634.2,624.7,633.8,13514000.0,3169.0
34,2017-02-22,638.0,641.5,635.5,637.0,13311000.0,3185.0
35,2017-02-23,638.6,638.6,631.2,634.0,15991000.0,3170.0
36,2017-02-24,632.1,638.5,629.3,633.0,16308000.0,3165.0
37,2017-02-27,620.9,622.5,613.0,616.9,24164000.0,3084.5
38,2017-02-28,621.9,627.6,618.7,618.8,22249000.0,3094.0
39,2017-03-01,625.8,631.5,622.2,630.9,15914000.0,3154.5
40,2017-03-02,642.7,642.7,634.0,634.2,18983000.0,3171.0
41,2017-03-03,630.9,632.3,622.5,626.5,22686000.0,3132.5
42,2017-03-06,624.2,626.6,620.5,621.3,18531000.0,3106.5
43,2017-03-07,623.0,631.9,622.6,631.7,21306000.0,3158.5
44,2017-03-08,631.0,632.6,626.4,629.2,13690000.0,3146.0
45,2017-03-09,632.3,632.9,628.4,631.8,14067000.0,3159.0
46,2017-03-10,631.9,634.5,629.7,630.0,27499000.0,3150.0
47,2017-03-13,629.3,634.7,628.4,633.7,15270000.0,3168.5
48,2017-03-14,636.9,640.1,634.0,636.7,16540000.0,3183.5
49,2017-03-15,635.3,638.5,631.2,638.5,12443000.0,3192.5
50,2017-03-16,634.0,639.6,629.3,634.8,17166000.0,3174.0
51,2017-03-17,627.2,628.6,621.5,624.7,25922000.0,3123.5
52,2017-03-21,623.0,629.6,620.9,627.9,14148000.0,3139.5
53,2017-03-22,620.5,620.9,611.4,611.6,18856000.0,3058.0
54,2017-03-23,605.4,615.9,605.0,614.0,15660000.0,3070.0
