,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1213.0,1223.0,1210.0,1217.0,8892100.0,1217.0
1,2017-01-05,1227.0,1237.5,1213.5,1219.0,9136100.0,1219.0
2,2017-01-06,1216.0,1216.5,1205.5,1212.5,7740700.0,1212.5
3,2017-01-10,1210.0,1211.0,1197.5,1197.5,9803900.0,1197.5
4,2017-01-11,1213.0,1216.0,1204.5,1211.5,8906900.0,1211.5
5,2017-01-12,1204.0,1228.0,1201.0,1214.0,9222100.0,1214.0
6,2017-01-13,1208.5,1217.5,1207.0,1215.0,7239900.0,1215.0
7,2017-01-16,1211.0,1215.0,1200.5,1206.0,5995700.0,1206.0
8,2017-01-17,1202.5,1206.5,1190.5,1191.0,6915300.0,1191.0
9,2017-01-18,1175.0,1185.5,1165.0,1182.5,9315600.0,1182.5
10,2017-01-19,1195.0,1201.0,1186.5,1191.5,6538000.0,1191.5
11,2017-01-20,1193.0,1213.0,1192.0,1206.5,6999800.0,1206.5
12,2017-01-23,1194.0,1198.5,1185.0,1187.0,6735500.0,1187.0
13,2017-01-24,1185.0,1187.0,1167.0,1177.5,8007200.0,1177.5
14,2017-01-25,1199.0,1200.0,1181.5,1187.5,6346300.0,1187.5
15,2017-01-26,1199.5,1211.0,1191.0,1207.0,7856200.0,1207.0
16,2017-01-27,1210.0,1215.0,1201.0,1210.0,6166500.0,1210.0
17,2017-01-30,1212.5,1214.0,1202.5,1210.0,4894600.0,1210.0
18,2017-01-31,1190.0,1196.0,1178.5,1178.5,8738300.0,1178.5
19,2017-02-01,1165.0,1186.5,1159.0,1185.0,7904000.0,1185.0
20,2017-02-02,1190.0,1192.5,1163.5,1168.5,6685800.0,1168.5
21,2017-02-03,1145.0,1177.5,1137.0,1166.0,12198900.0,1166.0
22,2017-02-06,1179.0,1183.5,1165.0,1180.0,7109200.0,1180.0
23,2017-02-07,1169.0,1182.0,1160.5,1175.5,4440200.0,1175.5
24,2017-02-08,1177.0,1192.5,1170.0,1192.0,6042700.0,1192.0
25,2017-02-09,1187.5,1187.5,1165.5,1172.5,6233200.0,1172.5
26,2017-02-10,1198.5,1221.0,1185.0,1218.0,12329600.0,1218.0
27,2017-02-13,1244.5,1246.0,1230.0,1242.5,10266500.0,1242.5
28,2017-02-14,1250.0,1258.0,1231.5,1235.5,9656100.0,1235.5
29,2017-02-15,1259.0,1283.5,1256.0,1275.0,13613400.0,1275.0
30,2017-02-16,1267.5,1272.5,1252.5,1265.5,6912100.0,1265.5
31,2017-02-17,1257.5,1259.5,1243.0,1252.0,6701300.0,1252.0
32,2017-02-20,1245.5,1249.5,1235.0,1247.0,3997900.0,1247.0
33,2017-02-21,1250.5,1260.5,1247.0,1252.0,3793400.0,1252.0
34,2017-02-22,1261.0,1267.0,1255.5,1259.0,6248800.0,1259.0
35,2017-02-23,1263.0,1271.0,1257.0,1261.5,5539000.0,1261.5
36,2017-02-24,1248.5,1262.0,1248.5,1258.5,5208700.0,1258.5
37,2017-02-27,1240.5,1247.0,1212.5,1229.5,10158800.0,1229.5
38,2017-02-28,1239.0,1254.5,1231.5,1233.0,9376100.0,1233.0
39,2017-03-01,1239.5,1267.0,1238.5,1265.0,11870400.0,1265.0
40,2017-03-02,1290.0,1292.0,1271.5,1271.5,8669600.0,1271.5
41,2017-03-03,1275.0,1276.5,1259.0,1267.0,5785500.0,1267.0
42,2017-03-06,1255.0,1259.0,1247.5,1253.0,4350500.0,1253.0
43,2017-03-07,1246.0,1253.0,1237.0,1247.5,6342400.0,1247.5
44,2017-03-08,1258.5,1264.5,1237.5,1251.0,7017000.0,1251.0
45,2017-03-09,1260.0,1273.0,1254.5,1268.5,6687900.0,1268.5
46,2017-03-10,1280.5,1287.0,1274.5,1284.5,9675000.0,1284.5
47,2017-03-13,1281.0,1292.5,1272.0,1292.5,6369600.0,1292.5
48,2017-03-14,1284.5,1284.5,1270.0,1272.0,7854200.0,1272.0
49,2017-03-15,1263.5,1274.5,1262.0,1270.0,5280100.0,1270.0
50,2017-03-16,1259.0,1273.5,1247.0,1267.5,9460100.0,1267.5
51,2017-03-17,1260.0,1265.0,1247.5,1256.5,9059600.0,1256.5
52,2017-03-21,1249.0,1252.5,1238.5,1245.0,6991200.0,1245.0
53,2017-03-22,1210.0,1218.0,1205.0,1205.0,10699300.0,1205.0
54,2017-03-23,1205.0,1214.5,1198.0,1200.0,8462400.0,1200.0
55,2017-03-24,1196.0,1205.5,1191.0,1193.5,10379000.0,1193.5
56,2017-03-27,1193.5,1201.0,1188.0,1195.5,11594000.0,1195.5
57,2017-03-28,1216.5,1241.5,1214.5,1232.0,19632000.0,1232.0
58,2017-03-29,1251.5,1271.5,1248.5,1267.5,15164900.0,1267.5
59,2017-03-30,1260.0,1280.5,1259.5,1265.0,9135900.0,1265.0
60,2017-03-31,1272.5,1279.5,1258.0,1258.0,10975100.0,1258.0
61,2017-04-03,1264.0,1278.5,1261.0,1271.0,8779700.0,1271.0
