,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3305.0,3333.0,3274.0,3333.0,5914000.0,3333.0
1,2017-01-05,3335.0,3337.0,3269.0,3296.0,7201700.0,3296.0
2,2017-01-06,3328.0,3374.0,3311.0,3316.0,8873600.0,3316.0
3,2017-01-10,3345.0,3439.0,3344.0,3394.0,11461200.0,3394.0
4,2017-01-11,3464.0,3550.0,3462.0,3510.0,13620000.0,3510.0
5,2017-01-12,3524.0,3562.0,3500.0,3532.0,10792300.0,3532.0
6,2017-01-13,3531.0,3549.0,3499.0,3549.0,6291400.0,3549.0
7,2017-01-16,3517.0,3555.0,3504.0,3514.0,4661500.0,3514.0
8,2017-01-17,3514.0,3570.0,3491.0,3504.0,8670400.0,3504.0
9,2017-01-18,3450.0,3496.0,3433.0,3484.0,5916700.0,3484.0
10,2017-01-19,3525.0,3525.0,3467.0,3498.0,4824900.0,3498.0
11,2017-01-20,3488.0,3493.0,3456.0,3472.0,5136900.0,3472.0
12,2017-01-23,3472.0,3473.0,3418.0,3432.0,4635800.0,3432.0
13,2017-01-24,3443.0,3470.0,3410.0,3418.0,5296500.0,3418.0
14,2017-01-25,3465.0,3472.0,3421.0,3445.0,4184300.0,3445.0
15,2017-01-26,3500.0,3525.0,3485.0,3520.0,7162400.0,3520.0
16,2017-01-27,3530.0,3540.0,3488.0,3505.0,4833600.0,3505.0
17,2017-01-30,3478.0,3506.0,3463.0,3502.0,4475900.0,3502.0
18,2017-01-31,3362.0,3453.0,3362.0,3423.0,11075000.0,3423.0
19,2017-02-01,3351.0,3423.0,3351.0,3410.0,5793200.0,3410.0
20,2017-02-02,3420.0,3435.0,3352.0,3369.0,4920200.0,3369.0
21,2017-02-03,3537.0,3600.0,3507.0,3537.0,18522300.0,3537.0
22,2017-02-06,3585.0,3610.0,3572.0,3589.0,8769400.0,3589.0
23,2017-02-07,3619.0,3626.0,3591.0,3599.0,7352800.0,3599.0
24,2017-02-08,3585.0,3588.0,3550.0,3573.0,4480600.0,3573.0
25,2017-02-09,3564.0,3589.0,3542.0,3561.0,4213500.0,3561.0
26,2017-02-10,3604.0,3608.0,3575.0,3590.0,4913600.0,3590.0
27,2017-02-13,3606.0,3616.0,3568.0,3587.0,4150500.0,3587.0
28,2017-02-14,3607.0,3607.0,3569.0,3572.0,3716300.0,3572.0
29,2017-02-15,3604.0,3604.0,3575.0,3595.0,3478400.0,3595.0
30,2017-02-16,3600.0,3600.0,3538.0,3560.0,5843800.0,3560.0
31,2017-02-17,3527.0,3562.0,3516.0,3547.0,3378800.0,3547.0
32,2017-02-20,3526.0,3531.0,3501.0,3508.0,3884400.0,3508.0
33,2017-02-21,3517.0,3532.0,3491.0,3521.0,2663600.0,3521.0
34,2017-02-22,3569.0,3591.0,3526.0,3535.0,5128400.0,3535.0
35,2017-02-23,3513.0,3525.0,3500.0,3515.0,3179100.0,3515.0
36,2017-02-24,3514.0,3525.0,3482.0,3486.0,3575400.0,3486.0
37,2017-02-27,3442.0,3475.0,3430.0,3454.0,3889300.0,3454.0
38,2017-02-28,3473.0,3532.0,3473.0,3478.0,5951700.0,3478.0
39,2017-03-01,3491.0,3542.0,3490.0,3529.0,4228100.0,3529.0
40,2017-03-02,3593.0,3614.0,3568.0,3583.0,5829100.0,3583.0
41,2017-03-03,3620.0,3649.0,3589.0,3602.0,6400000.0,3602.0
42,2017-03-06,3588.0,3596.0,3552.0,3560.0,3436000.0,3560.0
43,2017-03-07,3534.0,3540.0,3511.0,3522.0,4356600.0,3522.0
44,2017-03-08,3512.0,3519.0,3481.0,3513.0,3710200.0,3513.0
45,2017-03-09,3531.0,3545.0,3524.0,3532.0,3218500.0,3532.0
46,2017-03-10,3630.0,3664.0,3613.0,3661.0,11681800.0,3661.0
47,2017-03-13,3638.0,3665.0,3617.0,3659.0,5237600.0,3659.0
48,2017-03-14,3650.0,3657.0,3620.0,3635.0,3905700.0,3635.0
49,2017-03-15,3601.0,3609.0,3585.0,3604.0,3641000.0,3604.0
50,2017-03-16,3581.0,3626.0,3581.0,3619.0,5151800.0,3619.0
51,2017-03-17,3614.0,3655.0,3604.0,3639.0,5517500.0,3639.0
52,2017-03-21,3650.0,3653.0,3613.0,3627.0,3805300.0,3627.0
53,2017-03-22,3580.0,3591.0,3545.0,3553.0,6345600.0,3553.0
54,2017-03-23,3557.0,3573.0,3522.0,3540.0,4283600.0,3540.0
55,2017-03-24,3538.0,3622.0,3527.0,3603.0,5787100.0,3603.0
56,2017-03-27,3569.0,3594.0,3555.0,3577.0,5320800.0,3577.0
57,2017-03-28,3581.0,3610.0,3581.0,3605.0,5905300.0,3605.0
58,2017-03-29,3630.0,3721.0,3629.0,3704.0,11163400.0,3704.0
59,2017-03-30,3712.0,3737.0,3710.0,3734.0,7935600.0,3734.0
60,2017-03-31,3750.0,3792.0,3747.0,3766.0,12478000.0,3766.0
61,2017-04-03,3725.0,3728.0,3646.0,3664.0,10377700.0,3664.0
