,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,81000.0,81780.0,80330.0,81000.0,242300.0,40500.0
1,2017-01-05,81380.0,82900.0,81000.0,82890.0,325200.0,41445.0
2,2017-01-06,82880.0,83590.0,82820.0,83400.0,259500.0,41700.0
3,2017-01-10,84230.0,84300.0,82510.0,82840.0,222900.0,41420.0
4,2017-01-11,82900.0,83210.0,82530.0,83170.0,141500.0,41585.0
5,2017-01-12,83000.0,83250.0,82300.0,82660.0,142400.0,41330.0
6,2017-01-13,82880.0,83800.0,82610.0,83790.0,164000.0,41895.0
7,2017-01-16,83900.0,84630.0,83600.0,83610.0,232000.0,41805.0
8,2017-01-17,83610.0,83610.0,82540.0,82600.0,146400.0,41300.0
9,2017-01-18,41660.0,41660.0,40500.0,40920.0,316800.0,40920.0
10,2017-01-19,41540.0,41550.0,41010.0,41190.0,267500.0,41190.0
11,2017-01-20,41310.0,41620.0,41050.0,41200.0,282000.0,41200.0
12,2017-01-23,41200.0,42210.0,41120.0,42010.0,482800.0,42010.0
13,2017-01-24,42020.0,43150.0,42020.0,43060.0,746100.0,43060.0
14,2017-01-25,44000.0,44150.0,43180.0,43810.0,727500.0,43810.0
15,2017-01-26,44000.0,44500.0,43740.0,43800.0,571000.0,43800.0
16,2017-01-27,44190.0,44370.0,43750.0,43850.0,399400.0,43850.0
17,2017-01-30,43770.0,44180.0,43720.0,44020.0,263500.0,44020.0
18,2017-01-31,43500.0,44320.0,43350.0,43870.0,424300.0,43870.0
19,2017-02-01,43800.0,44070.0,43720.0,43860.0,388700.0,43860.0
20,2017-02-02,44330.0,44840.0,43530.0,43640.0,459300.0,43640.0
21,2017-02-03,44000.0,44460.0,43860.0,44140.0,314400.0,44140.0
22,2017-02-06,44500.0,44540.0,43570.0,44010.0,361300.0,44010.0
23,2017-02-07,43570.0,43990.0,43440.0,43880.0,212600.0,43880.0
24,2017-02-08,43600.0,43760.0,43140.0,43760.0,315500.0,43760.0
25,2017-02-09,43760.0,43880.0,43540.0,43720.0,273900.0,43720.0
26,2017-02-10,44000.0,44590.0,43900.0,44570.0,381200.0,44570.0
27,2017-02-13,44850.0,44880.0,44160.0,44260.0,329900.0,44260.0
28,2017-02-14,44260.0,44260.0,43450.0,43600.0,427600.0,43600.0
29,2017-02-15,44010.0,44430.0,43750.0,44340.0,301300.0,44340.0
30,2017-02-16,44400.0,44450.0,43980.0,44170.0,288100.0,44170.0
31,2017-02-17,43970.0,44450.0,43890.0,44350.0,232700.0,44350.0
