,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,19700.0,20220.0,19655.0,20210.0,1034900.0,20210.0
1,2017-01-05,20220.0,20270.0,20045.0,20115.0,603200.0,20115.0
2,2017-01-06,20140.0,20285.0,20065.0,20250.0,532300.0,20250.0
3,2017-01-10,20255.0,20295.0,20050.0,20070.0,620400.0,20070.0
4,2017-01-11,20160.0,20350.0,20140.0,20275.0,632000.0,20275.0
5,2017-01-12,20080.0,20230.0,20045.0,20145.0,817200.0,20145.0
6,2017-01-13,20105.0,20550.0,20080.0,20545.0,1094600.0,20545.0
7,2017-01-16,20720.0,20840.0,20535.0,20575.0,833900.0,20575.0
8,2017-01-17,20500.0,20760.0,20380.0,20430.0,885800.0,20430.0
9,2017-01-18,20430.0,20660.0,20185.0,20590.0,924000.0,20590.0
10,2017-01-19,20910.0,21390.0,20745.0,21345.0,1468700.0,21345.0
11,2017-01-20,21400.0,21665.0,21305.0,21355.0,1091600.0,21355.0
12,2017-01-23,21230.0,21500.0,21125.0,21350.0,1222600.0,21350.0
13,2017-01-24,21450.0,21495.0,21240.0,21315.0,966600.0,21315.0
14,2017-01-25,21750.0,22085.0,21715.0,21920.0,1104200.0,21920.0
15,2017-01-26,22200.0,22765.0,22190.0,22650.0,1959400.0,22650.0
16,2017-01-27,22440.0,22765.0,22270.0,22690.0,1482000.0,22690.0
17,2017-01-30,22565.0,22665.0,22400.0,22470.0,714300.0,22470.0
18,2017-01-31,22155.0,22390.0,22080.0,22165.0,887400.0,22165.0
19,2017-02-01,21950.0,22240.0,21820.0,22155.0,872300.0,22155.0
20,2017-02-02,22255.0,22270.0,21760.0,21825.0,1018300.0,21825.0
21,2017-02-03,21830.0,21965.0,21615.0,21815.0,658700.0,21815.0
22,2017-02-06,21975.0,21990.0,21600.0,21660.0,601400.0,21660.0
23,2017-02-07,21500.0,21655.0,21360.0,21565.0,784800.0,21565.0
24,2017-02-08,21770.0,22015.0,21765.0,22010.0,700100.0,22010.0
25,2017-02-09,21825.0,21950.0,21730.0,21840.0,503700.0,21840.0
26,2017-02-10,22445.0,22795.0,22275.0,22750.0,1314500.0,22750.0
27,2017-02-13,22790.0,22920.0,22620.0,22705.0,687200.0,22705.0
28,2017-02-14,22700.0,22735.0,22265.0,22280.0,865400.0,22280.0
29,2017-02-15,22665.0,22710.0,22485.0,22560.0,630600.0,22560.0
30,2017-02-16,22550.0,22690.0,22360.0,22595.0,707500.0,22595.0
31,2017-02-17,22485.0,22615.0,22420.0,22455.0,514500.0,22455.0
32,2017-02-20,22400.0,22415.0,22100.0,22345.0,628900.0,22345.0
33,2017-02-21,22290.0,22510.0,22225.0,22475.0,446300.0,22475.0
34,2017-02-22,22430.0,22435.0,22135.0,22180.0,704100.0,22180.0
35,2017-02-23,22100.0,22195.0,22025.0,22160.0,494000.0,22160.0
36,2017-02-24,22085.0,22280.0,22035.0,22160.0,489800.0,22160.0
37,2017-02-27,21935.0,22040.0,21680.0,21965.0,637200.0,21965.0
38,2017-02-28,22180.0,22270.0,22035.0,22125.0,678800.0,22125.0
