,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,15540.0,15735.0,15535.0,15720.0,1135700.0,5240.0
1,2017-01-05,15730.0,15875.0,15630.0,15715.0,900400.0,5238.3
2,2017-01-06,15525.0,15675.0,15505.0,15625.0,644600.0,5208.3
3,2017-01-10,15300.0,15315.0,14965.0,15050.0,1627300.0,5016.7
4,2017-01-11,15185.0,15500.0,15155.0,15355.0,1027100.0,5118.3
5,2017-01-12,15150.0,15295.0,15050.0,15125.0,744400.0,5041.7
6,2017-01-13,15140.0,15195.0,14970.0,15105.0,527700.0,5035.0
7,2017-01-16,15070.0,15230.0,15050.0,15070.0,547900.0,5023.3
8,2017-01-17,14980.0,15030.0,14740.0,14745.0,683400.0,4915.0
9,2017-01-18,14600.0,14980.0,14560.0,14920.0,755600.0,4973.3
10,2017-01-19,15040.0,15095.0,14905.0,15040.0,601100.0,5013.3
11,2017-01-20,15010.0,15160.0,14965.0,15095.0,588600.0,5031.7
12,2017-01-23,15045.0,15075.0,14900.0,14900.0,536300.0,4966.7
13,2017-01-24,14900.0,15095.0,14855.0,14880.0,576700.0,4960.0
14,2017-01-25,15180.0,15225.0,15090.0,15225.0,773500.0,5075.0
15,2017-01-26,15400.0,15670.0,15330.0,15475.0,846600.0,5158.3
16,2017-01-27,15620.0,15635.0,15450.0,15485.0,735600.0,5161.7
17,2017-01-30,15400.0,15490.0,15330.0,15450.0,453800.0,5150.0
18,2017-01-31,15290.0,15430.0,15235.0,15255.0,686600.0,5085.0
19,2017-02-01,14490.0,14810.0,14390.0,14640.0,1772300.0,4880.0
20,2017-02-02,14705.0,14890.0,14705.0,14755.0,1153200.0,4918.3
21,2017-02-03,15195.0,15450.0,15135.0,15420.0,1613000.0,5140.0
22,2017-02-06,15665.0,15775.0,15335.0,15425.0,896000.0,5141.7
23,2017-02-07,15315.0,15460.0,15285.0,15385.0,595200.0,5128.3
24,2017-02-08,15505.0,15740.0,15500.0,15740.0,755800.0,5246.7
25,2017-02-09,15745.0,15850.0,15685.0,15730.0,756700.0,5243.3
26,2017-02-10,16000.0,16045.0,15925.0,15960.0,751700.0,5320.0
27,2017-02-13,16165.0,16165.0,16010.0,16060.0,583900.0,5353.3
28,2017-02-14,16145.0,16145.0,15815.0,15825.0,886500.0,5275.0
29,2017-02-15,16085.0,16350.0,15990.0,16275.0,940100.0,5425.0
30,2017-02-16,16350.0,16490.0,16250.0,16355.0,910900.0,5451.7
31,2017-02-17,16280.0,16350.0,16205.0,16265.0,632900.0,5421.7
32,2017-02-20,16255.0,16405.0,16150.0,16390.0,545400.0,5463.3
33,2017-02-21,16410.0,16485.0,16340.0,16455.0,413600.0,5485.0
34,2017-02-22,16485.0,16490.0,16315.0,16435.0,641300.0,5478.3
35,2017-02-23,16360.0,16385.0,16235.0,16375.0,507200.0,5458.3
36,2017-02-24,16300.0,16565.0,16270.0,16390.0,666400.0,5463.3
37,2017-02-27,16180.0,16290.0,16080.0,16130.0,604000.0,5376.7
38,2017-02-28,16340.0,16430.0,16145.0,16150.0,832400.0,5383.3
39,2017-03-01,16290.0,16530.0,16150.0,16505.0,788300.0,5501.7
40,2017-03-02,16785.0,16790.0,16580.0,16610.0,842100.0,5536.7
41,2017-03-03,16540.0,16650.0,16340.0,16405.0,634600.0,5468.3
42,2017-03-06,16385.0,16400.0,16220.0,16250.0,430600.0,5416.7
43,2017-03-07,16220.0,16295.0,16125.0,16285.0,507800.0,5428.3
44,2017-03-08,16215.0,16285.0,16090.0,16170.0,490600.0,5390.0
45,2017-03-09,16270.0,16295.0,16140.0,16230.0,594100.0,5410.0
46,2017-03-10,16355.0,16420.0,16275.0,16380.0,828500.0,5460.0
47,2017-03-13,16385.0,16410.0,16305.0,16340.0,402000.0,5446.7
48,2017-03-14,16395.0,16395.0,16265.0,16340.0,443000.0,5446.7
49,2017-03-15,16250.0,16310.0,16150.0,16185.0,502900.0,5395.0
50,2017-03-16,15990.0,16285.0,15965.0,16260.0,561100.0,5420.0
51,2017-03-17,16155.0,16235.0,15985.0,16025.0,854700.0,5341.7
52,2017-03-21,16000.0,16040.0,15825.0,15930.0,628700.0,5310.0
53,2017-03-22,15655.0,15735.0,15520.0,15575.0,766000.0,5191.7
54,2017-03-23,15535.0,15715.0,15515.0,15655.0,532800.0,5218.3
55,2017-03-24,15510.0,15670.0,15435.0,15620.0,794000.0,5206.7
