,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,535.0,543.9,534.9,543.9,14380000.0,5439.0
1,2017-01-05,547.9,549.6,535.2,538.3,15292000.0,5383.0
2,2017-01-06,526.0,529.0,523.1,527.7,16834000.0,5277.0
3,2017-01-10,526.0,529.2,522.7,524.4,14315000.0,5244.0
4,2017-01-11,527.0,531.7,525.1,530.7,9801000.0,5307.0
5,2017-01-12,523.6,530.0,520.4,524.6,10342000.0,5246.0
6,2017-01-13,527.2,534.5,526.1,533.9,15483000.0,5339.0
7,2017-01-16,532.3,533.9,524.0,525.7,9319000.0,5257.0
8,2017-01-17,524.0,524.6,517.1,518.4,10608000.0,5184.0
9,2017-01-18,514.9,523.1,512.9,522.0,10135000.0,5220.0
10,2017-01-19,527.5,530.7,524.0,527.1,9862000.0,5271.0
11,2017-01-20,527.3,535.3,526.2,532.6,14245000.0,5326.0
12,2017-01-23,527.0,529.1,522.8,524.1,12561000.0,5241.0
13,2017-01-24,511.5,518.4,509.4,515.5,17282000.0,5155.0
14,2017-01-25,525.5,529.5,523.0,525.0,9943000.0,5250.0
15,2017-01-26,531.0,534.6,528.7,530.5,14173000.0,5305.0
16,2017-01-27,534.6,534.6,529.5,530.6,10332000.0,5306.0
17,2017-01-30,528.0,528.0,521.0,523.6,10652000.0,5236.0
18,2017-01-31,515.8,517.3,508.7,508.9,17023000.0,5089.0
19,2017-02-01,500.0,509.2,496.4,509.0,17048000.0,5090.0
20,2017-02-02,511.5,511.6,484.0,485.6,29233000.0,4856.0
21,2017-02-03,485.0,485.5,466.9,472.7,35887000.0,4727.0
22,2017-02-06,480.0,481.1,468.7,473.0,20979000.0,4730.0
23,2017-02-07,469.1,470.7,465.4,468.4,16886000.0,4684.0
24,2017-02-08,470.6,471.8,464.4,467.1,18503000.0,4671.0
25,2017-02-09,458.9,459.3,449.5,451.0,30425000.0,4510.0
26,2017-02-10,457.6,460.0,452.2,459.5,29466000.0,4595.0
27,2017-02-13,467.3,470.3,462.5,469.2,20372000.0,4692.0
28,2017-02-14,470.0,470.9,455.1,456.1,22934000.0,4561.0
29,2017-02-15,456.3,460.7,455.5,455.8,20526000.0,4558.0
30,2017-02-16,450.9,451.5,441.1,444.9,33020000.0,4449.0
31,2017-02-17,441.0,447.3,440.0,446.5,19516000.0,4465.0
32,2017-02-20,448.1,448.1,442.3,445.1,11750000.0,4451.0
33,2017-02-21,447.0,451.7,446.1,449.8,12915000.0,4498.0
34,2017-02-22,451.3,451.5,445.0,446.0,19916000.0,4460.0
35,2017-02-23,446.0,447.4,442.1,445.7,14713000.0,4457.0
36,2017-02-24,444.4,447.1,442.2,443.7,12288000.0,4437.0
37,2017-02-27,441.0,441.6,436.1,438.3,15768000.0,4383.0
38,2017-02-28,441.3,448.6,441.3,444.0,19123000.0,4440.0
39,2017-03-01,445.1,448.5,441.7,446.9,20994000.0,4469.0
40,2017-03-02,453.2,454.3,448.0,449.6,19149000.0,4496.0
41,2017-03-03,448.5,448.6,443.5,445.9,14957000.0,4459.0
42,2017-03-06,446.9,449.8,444.9,446.7,11723000.0,4467.0
43,2017-03-07,446.5,447.3,442.6,444.7,12699000.0,4447.0
44,2017-03-08,443.7,446.5,441.1,441.6,15131000.0,4416.0
45,2017-03-09,444.0,445.8,441.4,442.1,13826000.0,4421.0
46,2017-03-10,441.1,445.6,438.7,444.8,22468000.0,4448.0
47,2017-03-13,445.9,449.7,444.8,448.8,12277000.0,4488.0
48,2017-03-14,472.8,485.6,465.1,470.8,78715000.0,4708.0
49,2017-03-15,475.7,492.9,475.4,490.4,60134000.0,4904.0
50,2017-03-16,486.2,494.1,484.1,491.1,31548000.0,4911.0
51,2017-03-17,483.4,484.9,477.6,482.6,44128000.0,4826.0
52,2017-03-21,480.6,481.9,477.1,479.1,16529000.0,4791.0
53,2017-03-22,468.4,469.0,463.8,465.1,26141000.0,4651.0
54,2017-03-23,464.8,470.4,464.1,465.6,16349000.0,4656.0
55,2017-03-24,465.0,468.5,464.2,467.1,21029000.0,4671.0
56,2017-03-27,464.0,465.0,457.1,461.0,15989000.0,4610.0
57,2017-03-28,465.3,468.4,463.7,465.1,17003000.0,4651.0
58,2017-03-29,465.9,470.7,456.9,458.3,21120000.0,4583.0
59,2017-03-30,456.8,459.0,452.8,452.8,14077000.0,4528.0
60,2017-03-31,456.0,457.6,446.4,446.6,16958000.0,4466.0
61,2017-04-03,446.9,451.8,445.5,448.6,13576000.0,4486.0
62,2017-04-04,446.6,448.5,440.3,445.2,15657000.0,4452.0
63,2017-04-05,447.7,448.7,438.2,440.3,15477000.0,4403.0
64,2017-04-06,440.6,440.8,432.7,435.6,18178000.0,4356.0
65,2017-04-07,438.5,445.0,436.5,440.8,18899000.0,4408.0
66,2017-04-10,445.9,451.6,443.1,448.4,17378000.0,4484.0
67,2017-04-11,443.0,443.5,438.0,443.2,15690000.0,4432.0
68,2017-04-12,440.9,441.0,432.8,437.1,15950000.0,4371.0
69,2017-04-13,430.5,434.3,427.5,431.5,16222000.0,4315.0
70,2017-04-14,429.0,434.3,425.3,431.6,10622000.0,4316.0
71,2017-04-17,429.0,430.6,423.2,430.1,10002000.0,4301.0
72,2017-04-18,434.0,437.1,430.0,432.2,12075000.0,4322.0
73,2017-04-19,430.0,432.8,427.7,427.8,12758000.0,4278.0
74,2017-04-20,425.0,433.5,424.4,432.8,15202000.0,4328.0
75,2017-04-21,436.1,440.4,434.3,436.3,18788000.0,4363.0
76,2017-04-24,440.8,443.0,434.5,437.9,13444000.0,4379.0
77,2017-04-25,437.0,448.2,437.0,446.7,17694000.0,4467.0
78,2017-04-26,450.0,455.4,448.9,455.3,17707000.0,4553.0
79,2017-04-27,438.0,442.9,432.2,442.2,37260000.0,4422.0
80,2017-04-28,443.3,449.7,443.1,446.0,20207000.0,4460.0
81,2017-05-01,447.2,448.4,444.3,448.0,11279000.0,4480.0
82,2017-05-02,448.0,454.8,446.5,451.5,17530000.0,4515.0
83,2017-05-08,459.5,461.6,455.8,455.9,19547000.0,4559.0
84,2017-05-09,456.3,462.9,451.5,458.0,26302000.0,4580.0
85,2017-05-10,458.0,477.5,458.0,475.8,39693000.0,4758.0
86,2017-05-11,474.1,474.1,464.0,466.7,17812000.0,4667.0
87,2017-05-12,466.5,466.7,460.4,462.9,14250000.0,4629.0
88,2017-05-15,459.7,459.7,451.4,453.5,15526000.0,4535.0
89,2017-05-16,455.8,459.1,454.4,457.9,13715000.0,4579.0
90,2017-05-17,453.8,453.9,447.1,450.6,13735000.0,4506.0
91,2017-05-18,441.5,444.6,437.3,439.3,17217000.0,4393.0
92,2017-05-19,440.0,440.9,435.6,439.4,14893000.0,4394.0
93,2017-05-22,445.0,448.3,443.1,443.9,12053000.0,4439.0
94,2017-05-23,442.5,446.8,442.1,445.4,7991000.0,4454.0
95,2017-05-24,448.1,449.4,443.3,444.8,10308000.0,4448.0
96,2017-05-25,444.8,447.9,442.6,445.0,10611000.0,4450.0
97,2017-05-26,445.1,445.1,438.0,438.5,12758000.0,4385.0
98,2017-05-29,440.7,444.2,438.8,438.8,9931000.0,4388.0
99,2017-05-30,438.5,439.8,434.3,438.5,13004000.0,4385.0
100,2017-05-31,436.4,438.8,434.2,436.7,12298000.0,4367.0
101,2017-06-01,436.8,442.5,435.1,438.7,13455000.0,4387.0
102,2017-06-02,442.5,453.7,442.0,451.4,19411000.0,4514.0
103,2017-06-05,449.0,449.7,441.7,442.6,13043000.0,4426.0
104,2017-06-06,438.3,442.8,434.2,434.4,18601000.0,4344.0
105,2017-06-07,433.6,437.0,432.3,433.7,15744000.0,4337.0
106,2017-06-08,434.9,435.9,426.6,427.2,25361000.0,4272.0
107,2017-06-09,428.3,431.6,424.1,427.7,20809000.0,4277.0
108,2017-06-12,427.5,433.5,427.2,429.7,13025000.0,4297.0
109,2017-06-13,430.1,434.0,428.6,431.6,12700000.0,4316.0
110,2017-06-14,430.3,434.2,428.9,433.3,11897000.0,4333.0
111,2017-06-15,432.1,433.0,426.6,428.1,14760000.0,4281.0
112,2017-06-16,431.1,441.9,430.4,436.6,26310000.0,4366.0
113,2017-06-19,437.0,440.6,437.0,438.1,8042000.0,4381.0
114,2017-06-20,444.0,447.4,440.3,440.3,17193000.0,4403.0
115,2017-06-21,440.2,441.5,437.2,440.5,12326000.0,4405.0
116,2017-06-22,438.2,440.7,436.0,436.1,10800000.0,4361.0
117,2017-06-23,436.0,440.8,435.8,438.3,9612000.0,4383.0
118,2017-06-26,437.0,438.9,436.0,436.9,9452000.0,4369.0
119,2017-06-27,439.9,443.4,438.7,440.7,12379000.0,4407.0
120,2017-06-28,439.8,444.5,438.8,441.7,10821000.0,4417.0
121,2017-06-29,444.8,453.5,443.8,452.1,20313000.0,4521.0
122,2017-06-30,450.1,459.9,448.7,459.8,30075000.0,4598.0
123,2017-07-03,461.2,461.6,451.3,454.9,16102000.0,4549.0
124,2017-07-04,459.0,461.5,454.9,457.7,13035000.0,4577.0
125,2017-07-05,460.1,468.8,460.1,465.2,19074000.0,4652.0
126,2017-07-06,464.8,464.8,460.7,462.2,16833000.0,4622.0
127,2017-07-07,460.0,466.3,459.8,463.1,12823000.0,4631.0
128,2017-07-10,465.1,469.4,459.4,460.0,14397000.0,4600.0
129,2017-07-11,460.4,460.9,455.2,456.7,20563000.0,4567.0
130,2017-07-12,455.3,462.2,455.3,458.4,20929000.0,4584.0
131,2017-07-13,459.6,460.6,455.3,455.8,10400000.0,4558.0
132,2017-07-14,458.6,462.5,457.8,460.8,15448000.0,4608.0
133,2017-07-18,458.1,458.8,450.5,454.4,16046000.0,4544.0
134,2017-07-19,453.4,455.1,450.6,452.3,12459000.0,4523.0
135,2017-07-20,453.0,457.8,452.0,456.3,10501000.0,4563.0
136,2017-07-21,456.9,457.6,452.8,456.1,9572000.0,4561.0
137,2017-07-24,453.4,458.7,450.7,458.3,13510000.0,4583.0
138,2017-07-25,455.0,457.7,453.3,456.4,10875000.0,4564.0
139,2017-07-26,460.0,461.5,457.1,458.6,12946000.0,4586.0
140,2017-07-27,457.6,459.7,454.2,455.9,13405000.0,4559.0
141,2017-07-28,455.0,458.3,454.1,455.5,11392000.0,4555.0
142,2017-07-31,454.9,464.5,435.8,439.3,38546000.0,4393.0
143,2017-08-01,435.6,446.3,435.4,442.9,28792000.0,4429.0
144,2017-08-02,441.4,444.4,438.7,439.2,16452000.0,4392.0
145,2017-08-03,438.0,439.8,436.3,437.5,15998000.0,4375.0
146,2017-08-04,436.4,438.8,434.3,436.8,13997000.0,4368.0
147,2017-08-07,438.9,445.4,438.4,443.0,16381000.0,4430.0
148,2017-08-08,442.1,445.7,439.3,440.3,13002000.0,4403.0
149,2017-08-09,439.5,441.6,436.8,441.1,14597000.0,4411.0
150,2017-08-10,440.8,442.5,439.1,440.5,11878000.0,4405.0
151,2017-08-14,436.9,437.5,432.3,432.3,17979000.0,4323.0
152,2017-08-15,435.0,436.0,431.7,432.8,12971000.0,4328.0
153,2017-08-16,434.9,435.1,432.4,432.9,9032000.0,4329.0
154,2017-08-17,432.4,433.8,432.0,432.0,7112000.0,4320.0
155,2017-08-18,429.8,429.8,425.7,427.9,17335000.0,4279.0
156,2017-08-21,428.6,428.6,419.2,419.6,19168000.0,4196.0
157,2017-08-22,417.9,418.5,415.4,417.3,14210000.0,4173.0
158,2017-08-23,420.8,423.4,418.2,418.4,11800000.0,4184.0
159,2017-08-24,415.7,418.3,414.3,415.6,12157000.0,4156.0
160,2017-08-25,416.6,419.3,416.2,416.6,8698000.0,4166.0
161,2017-08-28,416.6,417.2,411.7,413.3,15126000.0,4133.0
162,2017-08-29,412.5,413.2,408.3,413.0,13336000.0,4130.0
163,2017-08-30,415.8,420.0,415.1,416.6,14052000.0,4166.0
164,2017-08-31,419.9,422.9,419.4,420.9,11722000.0,4209.0
165,2017-09-01,417.0,420.0,412.4,418.2,17669000.0,4182.0
166,2017-09-04,418.0,421.1,415.3,416.8,12473000.0,4168.0
167,2017-09-05,417.5,419.3,414.4,417.7,11278000.0,4177.0
168,2017-09-06,414.0,420.3,413.2,418.6,11212000.0,4186.0
169,2017-09-07,420.3,421.6,418.8,420.9,10041000.0,4209.0
170,2017-09-08,421.5,425.5,417.5,418.7,15407000.0,4187.0
171,2017-09-11,420.1,421.5,417.7,418.3,11328000.0,4183.0
172,2017-09-12,421.7,426.8,420.5,423.5,15589000.0,4235.0
173,2017-09-13,426.3,431.6,425.5,425.5,15465000.0,4255.0
174,2017-09-14,426.9,435.7,425.1,429.3,17390000.0,4293.0
175,2017-09-15,429.9,433.0,427.0,431.9,16058000.0,4319.0
176,2017-09-19,438.2,439.6,435.5,436.7,15082000.0,4367.0
177,2017-09-20,437.0,442.6,436.8,440.6,15937000.0,4406.0
178,2017-09-21,445.0,448.8,444.0,445.6,18444000.0,4456.0
179,2017-09-22,448.0,448.6,441.6,446.1,12989000.0,4461.0
180,2017-09-25,449.0,450.9,445.9,447.8,13050000.0,4478.0
181,2017-09-26,447.3,448.2,444.5,447.1,10603000.0,4471.0
182,2017-09-27,4393.0,4427.0,4376.0,4399.0,1582700.0,4399.0
183,2017-09-28,4415.0,4435.0,4408.0,4433.0,1262400.0,4433.0
184,2017-09-29,4410.0,4450.0,4385.0,4449.0,1383100.0,4449.0
185,2017-10-02,4479.0,4498.0,4454.0,4469.0,1003000.0,4469.0
186,2017-10-03,4481.0,4490.0,4456.0,4469.0,1142300.0,4469.0
187,2017-10-04,4455.0,4471.0,4419.0,4468.0,1505600.0,4468.0
188,2017-10-05,4461.0,4479.0,4452.0,4477.0,1205700.0,4477.0
189,2017-10-06,4477.0,4489.0,4462.0,4467.0,1217500.0,4467.0
190,2017-10-10,4462.0,4475.0,4450.0,4465.0,1169500.0,4465.0
191,2017-10-11,4450.0,4483.0,4441.0,4465.0,1186700.0,4465.0
192,2017-10-12,4466.0,4472.0,4438.0,4457.0,910700.0,4457.0
193,2017-10-13,4400.0,4461.0,4392.0,4439.0,1268200.0,4439.0
194,2017-10-16,4440.0,4494.0,4437.0,4479.0,1399800.0,4479.0
195,2017-10-17,4500.0,4534.0,4484.0,4496.0,1266500.0,4496.0
196,2017-10-18,4504.0,4548.0,4494.0,4530.0,1581700.0,4530.0
197,2017-10-19,4550.0,4564.0,4527.0,4540.0,1020700.0,4540.0
198,2017-10-20,4524.0,4557.0,4515.0,4523.0,1195900.0,4523.0
199,2017-10-23,4556.0,4564.0,4532.0,4545.0,1387300.0,4545.0
200,2017-10-24,4535.0,4595.0,4522.0,4595.0,1370900.0,4595.0
201,2017-10-25,4606.0,4619.0,4532.0,4544.0,1541600.0,4544.0
202,2017-10-26,4528.0,4564.0,4526.0,4546.0,1032300.0,4546.0
203,2017-10-27,4571.0,4586.0,4533.0,4586.0,1607700.0,4586.0
204,2017-10-30,4591.0,4614.0,4566.0,4578.0,1571800.0,4578.0
205,2017-10-31,4596.0,4596.0,4400.0,4419.0,3232100.0,4419.0
206,2017-11-01,4300.0,4345.0,4272.0,4321.0,4041700.0,4321.0
207,2017-11-02,4330.0,4333.0,4296.0,4308.0,2412900.0,4308.0
208,2017-11-06,4315.0,4407.0,4315.0,4382.0,2200700.0,4382.0
209,2017-11-07,4395.0,4453.0,4389.0,4449.0,1714000.0,4449.0
210,2017-11-08,4426.0,4428.0,4382.0,4417.0,1448300.0,4417.0
211,2017-11-09,4382.0,4425.0,4327.0,4393.0,2823100.0,4393.0
212,2017-11-10,4324.0,4386.0,4321.0,4342.0,1656600.0,4342.0
213,2017-11-13,4305.0,4320.0,4273.0,4273.0,1742600.0,4273.0
214,2017-11-15,4196.0,4196.0,4133.0,4148.0,2587400.0,4148.0
215,2017-11-16,4139.0,4148.0,4111.0,4136.0,1899500.0,4136.0
216,2017-11-17,4174.0,4185.0,4131.0,4137.0,1682000.0,4137.0
217,2017-11-20,4131.0,4146.0,4108.0,4119.0,1265300.0,4119.0
218,2017-11-21,4152.0,4169.0,4138.0,4138.0,1167400.0,4138.0
219,2017-11-22,4130.0,4138.0,4090.0,4120.0,2291300.0,4120.0
220,2017-11-24,4090.0,4098.0,4051.0,4083.0,2166900.0,4083.0
221,2017-11-27,4085.0,4092.0,4058.0,4061.0,1384000.0,4061.0
222,2017-11-28,4056.0,4070.0,4045.0,4057.0,1403000.0,4057.0
223,2017-11-29,4092.0,4103.0,4075.0,4098.0,1557200.0,4098.0
224,2017-11-30,4120.0,4166.0,4116.0,4150.0,2592900.0,4150.0
225,2017-12-01,4200.0,4234.0,4176.0,4183.0,2202200.0,4183.0
226,2017-12-04,4182.0,4201.0,4151.0,4176.0,1421400.0,4176.0
227,2017-12-05,4171.0,4226.0,4163.0,4197.0,1658600.0,4197.0
228,2017-12-06,4204.0,4220.0,4170.0,4190.0,2446400.0,4190.0
229,2017-12-07,4215.0,4234.0,4191.0,4202.0,1586600.0,4202.0
230,2017-12-08,4132.0,4188.0,4132.0,4163.0,2860500.0,4163.0
231,2017-12-11,4171.0,4240.0,4168.0,4223.0,2090300.0,4223.0
232,2017-12-12,4222.0,4286.0,4220.0,4267.0,1805800.0,4267.0
233,2017-12-13,4281.0,4321.0,4281.0,4284.0,2005000.0,4284.0
234,2017-12-14,4265.0,4276.0,4230.0,4258.0,1717700.0,4258.0
235,2017-12-15,4235.0,4246.0,4188.0,4199.0,2582300.0,4199.0
236,2017-12-18,4172.0,4199.0,4164.0,4177.0,1589300.0,4177.0
237,2017-12-19,4188.0,4263.0,4188.0,4227.0,1659900.0,4227.0
238,2017-12-20,4206.0,4250.0,4203.0,4243.0,940000.0,4243.0
239,2017-12-21,4235.0,4239.0,4198.0,4214.0,1256600.0,4214.0
240,2017-12-22,4198.0,4289.0,4198.0,4272.0,1943300.0,4272.0
241,2017-12-25,4270.0,4271.0,4226.0,4245.0,930100.0,4245.0
242,2017-12-26,4245.0,4255.0,4212.0,4228.0,943500.0,4228.0
243,2017-12-27,4232.0,4276.0,4232.0,4242.0,1483600.0,4242.0
244,2017-12-28,4242.0,4258.0,4215.0,4223.0,996100.0,4223.0
245,2017-12-29,4223.0,4235.0,4205.0,4210.0,661000.0,4210.0
246,2018-01-04,4267.0,4328.0,4267.0,4318.0,2104200.0,4318.0
247,2018-01-05,4340.0,4345.0,4315.0,4339.0,1144100.0,4339.0
248,2018-01-09,4371.0,4380.0,4317.0,4332.0,1310600.0,4332.0
249,2018-01-10,4341.0,4349.0,4306.0,4335.0,1019200.0,4335.0
250,2018-01-11,4300.0,4331.0,4282.0,4320.0,1154100.0,4320.0
251,2018-01-12,4322.0,4330.0,4273.0,4303.0,1701900.0,4303.0
252,2018-01-15,4329.0,4337.0,4265.0,4272.0,1526100.0,4272.0
253,2018-01-16,4260.0,4272.0,4222.0,4243.0,1498700.0,4243.0
254,2018-01-17,4235.0,4241.0,4194.0,4233.0,2131600.0,4233.0
255,2018-01-18,4250.0,4253.0,4180.0,4189.0,2619400.0,4189.0
256,2018-01-19,4203.0,4233.0,4190.0,4233.0,1724900.0,4233.0
257,2018-01-22,4230.0,4255.0,4203.0,4255.0,1366200.0,4255.0
258,2018-01-23,4278.0,4397.0,4277.0,4379.0,3102900.0,4379.0
259,2018-01-24,4366.0,4422.0,4344.0,4401.0,2175500.0,4401.0
260,2018-01-25,4345.0,4351.0,4242.0,4262.0,3073000.0,4262.0
261,2018-01-26,4279.0,4286.0,4222.0,4227.0,2362200.0,4227.0
262,2018-01-29,4212.0,4217.0,4186.0,4188.0,1645800.0,4188.0
263,2018-01-30,4189.0,4196.0,4137.0,4145.0,1978500.0,4145.0
264,2018-01-31,4140.0,4146.0,4102.0,4102.0,2980300.0,4102.0
265,2018-02-01,4139.0,4148.0,4107.0,4138.0,1962000.0,4138.0
266,2018-02-02,4137.0,4156.0,4125.0,4146.0,1856500.0,4146.0
267,2018-02-05,4100.0,4122.0,4068.0,4090.0,2689200.0,4090.0
268,2018-02-06,3980.0,4007.0,3845.0,3927.0,6036300.0,3927.0
269,2018-02-07,4100.0,4214.0,4080.0,4159.0,6743600.0,4159.0
270,2018-02-08,4201.0,4286.0,4196.0,4268.0,4044000.0,4268.0
271,2018-02-09,4128.0,4226.0,4110.0,4225.0,2979800.0,4225.0
272,2018-02-13,4273.0,4293.0,4207.0,4219.0,2452700.0,4219.0
273,2018-02-14,4212.0,4272.0,4172.0,4203.0,2251800.0,4203.0
274,2018-02-15,4247.0,4272.0,4194.0,4197.0,2033100.0,4197.0
275,2018-02-16,4248.0,4266.0,4226.0,4247.0,1643100.0,4247.0
276,2018-02-19,4277.0,4354.0,4268.0,4354.0,2253100.0,4354.0
277,2018-02-20,4324.0,4373.0,4317.0,4368.0,1414300.0,4368.0
278,2018-02-21,4383.0,4387.0,4348.0,4377.0,1513700.0,4377.0
279,2018-02-22,4318.0,4328.0,4289.0,4320.0,1512900.0,4320.0
280,2018-02-23,4291.0,4361.0,4288.0,4357.0,1193400.0,4357.0
281,2018-02-26,4375.0,4426.0,4366.0,4404.0,1599000.0,4404.0
282,2018-02-27,4404.0,4447.0,4372.0,4393.0,1723300.0,4393.0
283,2018-02-28,4389.0,4411.0,4372.0,4382.0,1513200.0,4382.0
284,2018-03-01,4345.0,4354.0,4240.0,4267.0,2101700.0,4267.0
285,2018-03-02,4141.0,4158.0,4082.0,4129.0,2688100.0,4129.0
286,2018-03-05,4094.0,4099.0,4021.0,4039.0,1660600.0,4039.0
287,2018-03-06,4119.0,4123.0,4041.0,4041.0,1475300.0,4041.0
288,2018-03-07,4020.0,4062.0,4007.0,4018.0,1523200.0,4018.0
289,2018-03-08,4050.0,4056.0,3973.0,3996.0,1583500.0,3996.0
290,2018-03-09,4050.0,4054.0,3986.0,4020.0,1745900.0,4020.0
291,2018-03-12,4060.0,4106.0,4050.0,4083.0,1277300.0,4083.0
292,2018-03-13,4067.0,4113.0,4057.0,4102.0,948500.0,4102.0
293,2018-03-14,4102.0,4116.0,4070.0,4099.0,1216100.0,4099.0
294,2018-03-15,4079.0,4081.0,4026.0,4039.0,1864100.0,4039.0
295,2018-03-16,4058.0,4058.0,4020.0,4034.0,1385700.0,4034.0
296,2018-03-19,4026.0,4028.0,3975.0,4022.0,1287800.0,4022.0
297,2018-03-20,4013.0,4050.0,4002.0,4025.0,1635300.0,4025.0
298,2018-03-22,4034.0,4075.0,4027.0,4069.0,1535400.0,4069.0
299,2018-03-23,4000.0,4005.0,3908.0,3933.0,3453800.0,3933.0
300,2018-03-26,3917.0,3965.0,3882.0,3965.0,1932800.0,3965.0
301,2018-03-27,3992.0,4024.0,3971.0,4015.0,1871100.0,4015.0
302,2018-03-28,3946.0,4035.0,3946.0,4033.0,1832300.0,4033.0
303,2018-03-29,4079.0,4092.0,4026.0,4059.0,1530400.0,4059.0
304,2018-03-30,4086.0,4092.0,4039.0,4074.0,1676400.0,4074.0
