,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,7010.0,7103.0,6975.0,7097.0,9547600.0,7097.0
1,2017-01-05,7090.0,7091.0,7023.0,7049.0,7644000.0,7049.0
2,2017-01-06,6840.0,6948.0,6830.0,6930.0,11586100.0,6930.0
3,2017-01-10,6922.0,6958.0,6861.0,6861.0,8931100.0,6861.0
4,2017-01-11,6899.0,6924.0,6875.0,6912.0,6605300.0,6912.0
5,2017-01-12,6870.0,6885.0,6800.0,6845.0,7406000.0,6845.0
6,2017-01-13,6830.0,6885.0,6823.0,6882.0,6819700.0,6882.0
7,2017-01-16,6851.0,6866.0,6802.0,6827.0,5539200.0,6827.0
8,2017-01-17,6805.0,6823.0,6718.0,6719.0,8391800.0,6719.0
9,2017-01-18,6631.0,6768.0,6621.0,6736.0,8996300.0,6736.0
10,2017-01-19,6850.0,6875.0,6813.0,6855.0,7232900.0,6855.0
11,2017-01-20,6845.0,6858.0,6794.0,6801.0,7531200.0,6801.0
12,2017-01-23,6701.0,6730.0,6683.0,6690.0,7764500.0,6690.0
13,2017-01-24,6646.0,6673.0,6575.0,6579.0,9614000.0,6579.0
14,2017-01-25,6709.0,6739.0,6677.0,6706.0,7894200.0,6706.0
15,2017-01-26,6791.0,6799.0,6746.0,6764.0,7030500.0,6764.0
16,2017-01-27,6769.0,6769.0,6677.0,6704.0,7387400.0,6704.0
17,2017-01-30,6658.0,6713.0,6652.0,6705.0,4664800.0,6705.0
18,2017-01-31,6605.0,6637.0,6584.0,6584.0,6703300.0,6584.0
19,2017-02-01,6490.0,6558.0,6432.0,6546.0,8028800.0,6546.0
20,2017-02-02,6472.0,6499.0,6406.0,6430.0,8342600.0,6430.0
21,2017-02-03,6450.0,6488.0,6405.0,6445.0,7038200.0,6445.0
22,2017-02-06,6496.0,6527.0,6446.0,6493.0,6349600.0,6493.0
23,2017-02-07,6390.0,6410.0,6312.0,6346.0,10372200.0,6346.0
24,2017-02-08,6358.0,6386.0,6324.0,6385.0,5395500.0,6385.0
25,2017-02-09,6300.0,6325.0,6220.0,6255.0,11727100.0,6255.0
26,2017-02-10,6337.0,6456.0,6331.0,6446.0,9579300.0,6446.0
27,2017-02-13,6546.0,6546.0,6480.0,6491.0,6989400.0,6491.0
28,2017-02-14,6529.0,6529.0,6445.0,6454.0,6693800.0,6454.0
29,2017-02-15,6518.0,6518.0,6479.0,6491.0,4299200.0,6491.0
30,2017-02-16,6491.0,6496.0,6410.0,6457.0,5247200.0,6457.0
31,2017-02-17,6410.0,6413.0,6358.0,6400.0,5262900.0,6400.0
32,2017-02-20,6450.0,6454.0,6386.0,6432.0,4340800.0,6432.0
33,2017-02-21,6450.0,6479.0,6439.0,6478.0,4099200.0,6478.0
34,2017-02-22,6519.0,6519.0,6462.0,6503.0,6015600.0,6503.0
35,2017-02-23,6480.0,6502.0,6453.0,6498.0,3911500.0,6498.0
36,2017-02-24,6438.0,6470.0,6431.0,6448.0,4338500.0,6448.0
37,2017-02-27,6400.0,6439.0,6358.0,6406.0,5912400.0,6406.0
38,2017-02-28,6449.0,6495.0,6365.0,6365.0,12848500.0,6365.0
39,2017-03-01,6420.0,6480.0,6400.0,6466.0,8577200.0,6466.0
40,2017-03-02,6541.0,6550.0,6470.0,6470.0,7073800.0,6470.0
41,2017-03-03,6481.0,6497.0,6427.0,6455.0,6112100.0,6455.0
42,2017-03-06,6438.0,6454.0,6420.0,6444.0,3596700.0,6444.0
43,2017-03-07,6425.0,6439.0,6414.0,6430.0,4256900.0,6430.0
44,2017-03-08,6399.0,6402.0,6360.0,6370.0,5242600.0,6370.0
45,2017-03-09,6411.0,6439.0,6397.0,6434.0,5010200.0,6434.0
46,2017-03-10,6498.0,6525.0,6480.0,6520.0,8240000.0,6520.0
47,2017-03-13,6490.0,6530.0,6467.0,6530.0,4737800.0,6530.0
48,2017-03-14,6500.0,6508.0,6451.0,6454.0,5582300.0,6454.0
49,2017-03-15,6439.0,6478.0,6423.0,6475.0,3763700.0,6475.0
50,2017-03-16,6420.0,6458.0,6408.0,6453.0,5856600.0,6453.0
51,2017-03-17,6405.0,6410.0,6373.0,6377.0,7951600.0,6377.0
52,2017-03-21,6360.0,6389.0,6329.0,6373.0,5472200.0,6373.0
53,2017-03-22,6222.0,6248.0,6161.0,6161.0,11072700.0,6161.0
54,2017-03-23,6132.0,6175.0,6100.0,6160.0,8336500.0,6160.0
55,2017-03-24,6163.0,6232.0,6145.0,6229.0,6222600.0,6229.0
56,2017-03-27,6150.0,6180.0,6136.0,6158.0,5827200.0,6158.0
57,2017-03-28,6202.0,6229.0,6193.0,6218.0,6873600.0,6218.0
58,2017-03-29,6177.0,6187.0,6117.0,6124.0,7349000.0,6124.0
59,2017-03-30,6101.0,6148.0,6100.0,6111.0,4379800.0,6111.0
60,2017-03-31,6125.0,6154.0,6042.0,6042.0,7722400.0,6042.0
61,2017-04-03,6087.0,6102.0,6026.0,6046.0,5082500.0,6046.0
62,2017-04-04,6001.0,6008.0,5955.0,5984.0,7259400.0,5984.0
63,2017-04-05,5960.0,5987.0,5882.0,5909.0,7635900.0,5909.0
64,2017-04-06,5850.0,5878.0,5804.0,5810.0,9050000.0,5810.0
65,2017-04-07,5841.0,5893.0,5813.0,5832.0,8713800.0,5832.0
66,2017-04-10,5900.0,5933.0,5881.0,5896.0,5626400.0,5896.0
67,2017-04-11,5882.0,5910.0,5840.0,5910.0,4898800.0,5910.0
68,2017-04-12,5835.0,5836.0,5781.0,5798.0,7419600.0,5798.0
69,2017-04-13,5733.0,5754.0,5672.0,5731.0,7925700.0,5731.0
70,2017-04-14,5719.0,5808.0,5670.0,5798.0,7924600.0,5798.0
71,2017-04-17,5747.0,5768.0,5708.0,5759.0,4633500.0,5759.0
72,2017-04-18,5800.0,5821.0,5753.0,5757.0,6033600.0,5757.0
73,2017-04-19,5700.0,5729.0,5687.0,5695.0,7795100.0,5695.0
74,2017-04-20,5715.0,5796.0,5704.0,5754.0,6159800.0,5754.0
75,2017-04-21,5820.0,5880.0,5812.0,5855.0,7722600.0,5855.0
76,2017-04-24,5916.0,5928.0,5864.0,5887.0,5533900.0,5887.0
77,2017-04-25,5890.0,6004.0,5887.0,6000.0,7169800.0,6000.0
78,2017-04-26,6091.0,6154.0,6066.0,6154.0,8289400.0,6154.0
79,2017-04-27,6120.0,6135.0,6095.0,6117.0,6931200.0,6117.0
80,2017-04-28,6112.0,6129.0,6020.0,6035.0,6765800.0,6035.0
81,2017-05-01,6024.0,6062.0,6006.0,6042.0,3793600.0,6042.0
82,2017-05-02,6057.0,6143.0,6048.0,6143.0,5943200.0,6143.0
83,2017-05-08,6190.0,6238.0,6174.0,6235.0,9487200.0,6235.0
84,2017-05-09,6235.0,6242.0,6122.0,6135.0,7563000.0,6135.0
85,2017-05-10,6162.0,6171.0,6081.0,6081.0,7823700.0,6081.0
86,2017-05-11,6113.0,6124.0,5975.0,6123.0,13511900.0,6123.0
87,2017-05-12,6090.0,6094.0,6020.0,6047.0,8216600.0,6047.0
88,2017-05-15,5990.0,6025.0,5983.0,6009.0,5925200.0,6009.0
89,2017-05-16,6060.0,6123.0,6054.0,6093.0,6449300.0,6093.0
90,2017-05-17,6030.0,6044.0,5991.0,6034.0,7185300.0,6034.0
91,2017-05-18,5934.0,5956.0,5923.0,5930.0,6959700.0,5930.0
92,2017-05-19,5955.0,5984.0,5927.0,5965.0,6348300.0,5965.0
93,2017-05-22,5985.0,6023.0,5962.0,5997.0,4445800.0,5997.0
94,2017-05-23,5979.0,6011.0,5961.0,6000.0,4217200.0,6000.0
95,2017-05-24,6051.0,6051.0,5987.0,6001.0,4582400.0,6001.0
96,2017-05-25,5967.0,6012.0,5955.0,5985.0,4717200.0,5985.0
97,2017-05-26,5985.0,5997.0,5940.0,5941.0,5672400.0,5941.0
98,2017-05-29,5945.0,5990.0,5944.0,5970.0,3240900.0,5970.0
99,2017-05-30,5970.0,5987.0,5949.0,5981.0,3258600.0,5981.0
100,2017-05-31,5962.0,5977.0,5925.0,5932.0,5703000.0,5932.0
101,2017-06-01,5935.0,6003.0,5933.0,5989.0,4999500.0,5989.0
102,2017-06-02,6013.0,6097.0,6010.0,6092.0,8205700.0,6092.0
103,2017-06-05,6001.0,6005.0,5964.0,5968.0,7031400.0,5968.0
104,2017-06-06,5964.0,5974.0,5907.0,5910.0,6170500.0,5910.0
105,2017-06-07,5900.0,5917.0,5874.0,5902.0,5571700.0,5902.0
106,2017-06-08,5893.0,5898.0,5800.0,5806.0,9034100.0,5806.0
107,2017-06-09,5800.0,5862.0,5793.0,5838.0,8518900.0,5838.0
108,2017-06-12,5829.0,5901.0,5822.0,5880.0,5744200.0,5880.0
109,2017-06-13,5870.0,5903.0,5839.0,5874.0,5233800.0,5874.0
110,2017-06-14,5899.0,5900.0,5858.0,5859.0,4020600.0,5859.0
111,2017-06-15,5812.0,5838.0,5792.0,5794.0,6404500.0,5794.0
112,2017-06-16,5829.0,5839.0,5790.0,5794.0,12559500.0,5794.0
113,2017-06-19,5785.0,5807.0,5768.0,5787.0,5466200.0,5787.0
114,2017-06-20,5840.0,5858.0,5809.0,5809.0,7112100.0,5809.0
115,2017-06-21,5800.0,5853.0,5790.0,5840.0,7470100.0,5840.0
116,2017-06-22,5836.0,5889.0,5830.0,5877.0,5364600.0,5877.0
117,2017-06-23,5877.0,5896.0,5851.0,5860.0,4185800.0,5860.0
118,2017-06-26,5850.0,5876.0,5838.0,5838.0,3603700.0,5838.0
119,2017-06-27,5861.0,5893.0,5860.0,5876.0,4758000.0,5876.0
120,2017-06-28,5880.0,5915.0,5879.0,5904.0,6937500.0,5904.0
121,2017-06-29,5930.0,5934.0,5886.0,5910.0,6462300.0,5910.0
122,2017-06-30,5896.0,5906.0,5867.0,5893.0,7372400.0,5893.0
123,2017-07-03,5893.0,5996.0,5887.0,5950.0,11484000.0,5950.0
124,2017-07-04,6030.0,6094.0,6028.0,6060.0,11544700.0,6060.0
