,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3504.0,3571.0,3500.0,3571.0,5941300.0,3571.0
1,2017-01-05,3600.0,3604.0,3550.0,3569.0,4479400.0,3569.0
2,2017-01-06,3458.0,3538.0,3453.0,3501.0,4710900.0,3501.0
3,2017-01-10,3500.0,3515.0,3462.0,3462.0,4973700.0,3462.0
4,2017-01-11,3479.0,3486.0,3455.0,3471.0,4354500.0,3471.0
5,2017-01-12,3450.0,3483.0,3421.0,3457.0,3819600.0,3457.0
6,2017-01-13,3438.0,3464.0,3436.0,3446.0,4071500.0,3446.0
7,2017-01-16,3456.0,3466.0,3431.0,3445.0,3245300.0,3445.0
8,2017-01-17,3431.0,3435.0,3353.0,3353.0,6243700.0,3353.0
9,2017-01-18,3330.0,3415.0,3318.0,3403.0,4641600.0,3403.0
10,2017-01-19,3472.0,3496.0,3452.0,3488.0,5517300.0,3488.0
11,2017-01-20,3475.0,3508.0,3475.0,3492.0,4423000.0,3492.0
12,2017-01-23,3425.0,3448.0,3415.0,3432.0,4593100.0,3432.0
13,2017-01-24,3364.0,3396.0,3363.0,3375.0,4637600.0,3375.0
14,2017-01-25,3459.0,3482.0,3436.0,3450.0,4241300.0,3450.0
15,2017-01-26,3545.0,3545.0,3489.0,3502.0,6695700.0,3502.0
16,2017-01-27,3487.0,3488.0,3452.0,3484.0,4674100.0,3484.0
17,2017-01-30,3451.0,3490.0,3449.0,3485.0,3377900.0,3485.0
18,2017-01-31,3380.0,3423.0,3375.0,3387.0,5979200.0,3387.0
19,2017-02-01,3305.0,3417.0,3292.0,3415.0,5165300.0,3415.0
20,2017-02-02,3423.0,3468.0,3397.0,3417.0,6255000.0,3417.0
21,2017-02-03,3401.0,3439.0,3400.0,3423.0,4775900.0,3423.0
22,2017-02-06,3551.0,3552.0,3485.0,3493.0,6356500.0,3493.0
23,2017-02-07,3508.0,3569.0,3482.0,3541.0,5851000.0,3541.0
24,2017-02-08,3533.0,3579.0,3532.0,3574.0,5104700.0,3574.0
25,2017-02-09,3529.0,3533.0,3481.0,3504.0,4034400.0,3504.0
26,2017-02-10,3574.0,3614.0,3556.0,3605.0,6141700.0,3605.0
27,2017-02-13,3638.0,3675.0,3619.0,3650.0,4868200.0,3650.0
28,2017-02-14,3667.0,3669.0,3594.0,3600.0,3626400.0,3600.0
29,2017-02-15,3650.0,3660.0,3630.0,3631.0,3178600.0,3631.0
30,2017-02-16,3625.0,3629.0,3568.0,3609.0,4274900.0,3609.0
31,2017-02-17,3569.0,3598.0,3569.0,3586.0,3258600.0,3586.0
32,2017-02-20,3587.0,3599.0,3545.0,3574.0,3554100.0,3574.0
33,2017-02-21,3590.0,3608.0,3582.0,3596.0,3345500.0,3596.0
34,2017-02-22,3616.0,3635.0,3600.0,3619.0,4157000.0,3619.0
35,2017-02-23,3608.0,3614.0,3555.0,3570.0,3363900.0,3570.0
36,2017-02-24,3555.0,3578.0,3543.0,3553.0,3254100.0,3553.0
37,2017-02-27,3520.0,3523.0,3463.0,3498.0,3879100.0,3498.0
38,2017-02-28,3527.0,3548.0,3488.0,3489.0,4445600.0,3489.0
39,2017-03-01,3500.0,3531.0,3485.0,3521.0,4968400.0,3521.0
40,2017-03-02,3600.0,3600.0,3541.0,3543.0,6180100.0,3543.0
41,2017-03-03,3550.0,3563.0,3532.0,3557.0,4397800.0,3557.0
42,2017-03-06,3527.0,3554.0,3518.0,3536.0,2288200.0,3536.0
43,2017-03-07,3536.0,3564.0,3523.0,3557.0,3156700.0,3557.0
44,2017-03-08,3530.0,3539.0,3501.0,3537.0,3517800.0,3537.0
45,2017-03-09,3557.0,3562.0,3528.0,3542.0,2713400.0,3542.0
46,2017-03-10,3584.0,3602.0,3572.0,3595.0,6815400.0,3595.0
47,2017-03-13,3552.0,3574.0,3547.0,3554.0,3852300.0,3554.0
48,2017-03-14,3554.0,3555.0,3533.0,3536.0,2526400.0,3536.0
49,2017-03-15,3511.0,3576.0,3511.0,3574.0,3155700.0,3574.0
50,2017-03-16,3504.0,3561.0,3495.0,3556.0,5814100.0,3556.0
51,2017-03-17,3537.0,3553.0,3521.0,3534.0,3917400.0,3534.0
52,2017-03-21,3568.0,3568.0,3508.0,3542.0,3692800.0,3542.0
53,2017-03-22,3454.0,3459.0,3413.0,3413.0,4882100.0,3413.0
54,2017-03-23,3417.0,3447.0,3403.0,3434.0,4109400.0,3434.0
55,2017-03-24,3423.0,3446.0,3411.0,3440.0,4650500.0,3440.0
