,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4900.0,5006.0,4893.0,4991.0,5826000.0,4991.0
1,2017-01-05,5000.0,5016.0,4938.0,4966.0,3839500.0,4966.0
2,2017-01-06,4877.0,4955.0,4870.0,4934.0,3094000.0,4934.0
3,2017-01-10,4914.0,4927.0,4843.0,4858.0,3566200.0,4858.0
4,2017-01-11,4888.0,4908.0,4835.0,4874.0,3508600.0,4874.0
5,2017-01-12,4835.0,4865.0,4780.0,4803.0,2927100.0,4803.0
6,2017-01-13,4832.0,4841.0,4798.0,4838.0,2173000.0,4838.0
7,2017-01-16,4815.0,4820.0,4754.0,4779.0,2032000.0,4779.0
8,2017-01-17,4765.0,4774.0,4669.0,4670.0,2796100.0,4670.0
9,2017-01-18,4568.0,4763.0,4562.0,4755.0,4222400.0,4755.0
10,2017-01-19,4865.0,4876.0,4791.0,4825.0,3217700.0,4825.0
11,2017-01-20,4825.0,4856.0,4804.0,4817.0,3104600.0,4817.0
12,2017-01-23,4748.0,4784.0,4720.0,4750.0,2868800.0,4750.0
13,2017-01-24,4680.0,4713.0,4656.0,4679.0,2735100.0,4679.0
14,2017-01-25,4739.0,4777.0,4681.0,4730.0,2575400.0,4730.0
15,2017-01-26,4787.0,4796.0,4739.0,4757.0,2847500.0,4757.0
16,2017-01-27,4810.0,4823.0,4756.0,4818.0,3641500.0,4818.0
17,2017-01-30,4750.0,4777.0,4718.0,4730.0,2739900.0,4730.0
18,2017-01-31,4600.0,4614.0,4540.0,4540.0,5268100.0,4540.0
19,2017-02-01,4450.0,4517.0,4428.0,4470.0,5467000.0,4470.0
20,2017-02-02,4452.0,4457.0,4354.0,4370.0,4784100.0,4370.0
21,2017-02-03,4352.0,4403.0,4308.0,4348.0,5477100.0,4348.0
22,2017-02-06,4356.0,4379.0,4297.0,4333.0,4086400.0,4333.0
23,2017-02-07,4297.0,4345.0,4273.0,4329.0,3511400.0,4329.0
24,2017-02-08,4399.0,4416.0,4323.0,4392.0,5071000.0,4392.0
25,2017-02-09,4340.0,4346.0,4204.0,4229.0,6314000.0,4229.0
26,2017-02-10,4355.0,4433.0,4322.0,4409.0,5948900.0,4409.0
27,2017-02-13,4549.0,4549.0,4438.0,4454.0,4614600.0,4454.0
28,2017-02-14,4454.0,4464.0,4350.0,4355.0,4442900.0,4355.0
29,2017-02-15,4400.0,4410.0,4362.0,4383.0,2644100.0,4383.0
30,2017-02-16,4365.0,4375.0,4302.0,4344.0,4080600.0,4344.0
31,2017-02-17,4300.0,4301.0,4261.0,4275.0,3244000.0,4275.0
32,2017-02-20,4253.0,4291.0,4224.0,4282.0,2005500.0,4282.0
33,2017-02-21,4267.0,4329.0,4262.0,4322.0,2046600.0,4322.0
34,2017-02-22,4350.0,4355.0,4267.0,4290.0,3125100.0,4290.0
35,2017-02-23,4300.0,4302.0,4253.0,4292.0,1880000.0,4292.0
36,2017-02-24,4264.0,4295.0,4251.0,4276.0,2068900.0,4276.0
37,2017-02-27,4249.0,4263.0,4218.0,4229.0,2506400.0,4229.0
38,2017-02-28,4253.0,4292.0,4207.0,4207.0,3152000.0,4207.0
39,2017-03-01,4247.0,4356.0,4226.0,4345.0,4451800.0,4345.0
40,2017-03-02,4485.0,4495.0,4386.0,4391.0,5411300.0,4391.0
41,2017-03-03,4420.0,4429.0,4387.0,4408.0,3059700.0,4408.0
