,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4350.0,4415.0,4310.0,4405.0,516300.0,4405.0
1,2017-01-05,4395.0,4430.0,4320.0,4355.0,536600.0,4355.0
2,2017-01-06,4305.0,4405.0,4305.0,4405.0,356200.0,4405.0
3,2017-01-10,4380.0,4385.0,4330.0,4345.0,444700.0,4345.0
4,2017-01-11,4365.0,4380.0,4325.0,4335.0,280400.0,4335.0
5,2017-01-12,4310.0,4310.0,4200.0,4210.0,654700.0,4210.0
6,2017-01-13,4165.0,4260.0,4165.0,4235.0,506200.0,4235.0
7,2017-01-16,4235.0,4280.0,4180.0,4195.0,300900.0,4195.0
8,2017-01-17,4215.0,4215.0,4125.0,4145.0,342700.0,4145.0
9,2017-01-18,4175.0,4275.0,4140.0,4245.0,753300.0,4245.0
10,2017-01-19,4290.0,4330.0,4240.0,4260.0,496900.0,4260.0
11,2017-01-20,4200.0,4245.0,4165.0,4235.0,404100.0,4235.0
12,2017-01-23,4185.0,4210.0,4160.0,4175.0,273000.0,4175.0
13,2017-01-24,4200.0,4205.0,4150.0,4175.0,252400.0,4175.0
14,2017-01-25,4245.0,4255.0,4135.0,4155.0,369400.0,4155.0
15,2017-01-26,4190.0,4205.0,4170.0,4195.0,417200.0,4195.0
16,2017-01-27,4220.0,4235.0,4185.0,4215.0,281300.0,4215.0
17,2017-01-30,4175.0,4185.0,4140.0,4160.0,318400.0,4160.0
18,2017-01-31,4110.0,4135.0,4085.0,4095.0,479600.0,4095.0
19,2017-02-01,4080.0,4160.0,4055.0,4150.0,422600.0,4150.0
20,2017-02-02,4185.0,4185.0,4070.0,4085.0,322400.0,4085.0
21,2017-02-03,4065.0,4105.0,4060.0,4080.0,339500.0,4080.0
22,2017-02-06,4110.0,4115.0,4015.0,4070.0,677300.0,4070.0
23,2017-02-07,3790.0,3870.0,3765.0,3805.0,2022200.0,3805.0
24,2017-02-08,3735.0,3925.0,3715.0,3910.0,2222700.0,3910.0
25,2017-02-09,3915.0,3965.0,3905.0,3955.0,1089300.0,3955.0
26,2017-02-10,3895.0,3955.0,3895.0,3920.0,964700.0,3920.0
27,2017-02-13,3940.0,3945.0,3880.0,3900.0,766300.0,3900.0
28,2017-02-14,3915.0,3950.0,3900.0,3910.0,635700.0,3910.0
29,2017-02-15,3960.0,4015.0,3935.0,3955.0,528000.0,3955.0
30,2017-02-16,3990.0,4020.0,3950.0,3960.0,596400.0,3960.0
31,2017-02-17,3930.0,3955.0,3885.0,3930.0,654300.0,3930.0
32,2017-02-20,3945.0,3955.0,3895.0,3935.0,373700.0,3935.0
33,2017-02-21,3940.0,3990.0,3925.0,3955.0,370600.0,3955.0
34,2017-02-22,4000.0,4005.0,3950.0,3985.0,726500.0,3985.0
35,2017-02-23,3970.0,3995.0,3945.0,3990.0,357400.0,3990.0
36,2017-02-24,3970.0,4020.0,3955.0,3985.0,426400.0,3985.0
37,2017-02-27,3945.0,3970.0,3910.0,3955.0,746400.0,3955.0
38,2017-02-28,4025.0,4040.0,3980.0,3980.0,646300.0,3980.0
39,2017-03-01,4015.0,4035.0,3980.0,4025.0,450600.0,4025.0
40,2017-03-02,4030.0,4030.0,3955.0,3970.0,833800.0,3970.0
41,2017-03-03,3920.0,3960.0,3870.0,3895.0,1270500.0,3895.0
42,2017-03-06,3910.0,3925.0,3880.0,3885.0,435300.0,3885.0
43,2017-03-07,3855.0,3880.0,3830.0,3850.0,1288600.0,3850.0
44,2017-03-08,3845.0,3865.0,3750.0,3755.0,1037900.0,3755.0
45,2017-03-09,3785.0,3835.0,3785.0,3820.0,718000.0,3820.0
46,2017-03-10,3915.0,3970.0,3865.0,3950.0,1180800.0,3950.0
47,2017-03-13,3930.0,3970.0,3915.0,3925.0,560600.0,3925.0
48,2017-03-14,3915.0,3915.0,3860.0,3885.0,596500.0,3885.0
49,2017-03-15,3850.0,3900.0,3840.0,3875.0,333700.0,3875.0
50,2017-03-16,3795.0,3890.0,3785.0,3880.0,553900.0,3880.0
51,2017-03-17,3875.0,3955.0,3870.0,3875.0,723800.0,3875.0
52,2017-03-21,3875.0,3960.0,3875.0,3940.0,712900.0,3940.0
53,2017-03-22,3900.0,3960.0,3895.0,3925.0,929900.0,3925.0
54,2017-03-23,3900.0,3905.0,3860.0,3860.0,734600.0,3860.0
55,2017-03-24,3855.0,3940.0,3840.0,3900.0,923700.0,3900.0
56,2017-03-27,3860.0,3885.0,3825.0,3865.0,398100.0,3865.0
57,2017-03-28,3920.0,3950.0,3890.0,3940.0,545800.0,3940.0
58,2017-03-29,4000.0,4020.0,3970.0,3995.0,553100.0,3995.0
59,2017-03-30,4060.0,4090.0,3910.0,3920.0,617800.0,3920.0
60,2017-03-31,3915.0,3950.0,3860.0,3860.0,987400.0,3860.0
61,2017-04-03,3920.0,3920.0,3860.0,3885.0,488400.0,3885.0
62,2017-04-04,3875.0,3915.0,3830.0,3850.0,617100.0,3850.0
63,2017-04-05,3850.0,3940.0,3840.0,3920.0,807800.0,3920.0
64,2017-04-06,3925.0,3945.0,3860.0,3880.0,662200.0,3880.0
65,2017-04-07,3910.0,3985.0,3875.0,3900.0,957700.0,3900.0
66,2017-04-10,3950.0,3980.0,3880.0,3890.0,764800.0,3890.0
67,2017-04-11,3990.0,4040.0,3965.0,4020.0,1149100.0,4020.0
68,2017-04-12,4030.0,4085.0,4015.0,4020.0,770100.0,4020.0
69,2017-04-13,3970.0,3990.0,3950.0,3970.0,703400.0,3970.0
70,2017-04-14,3950.0,3950.0,3885.0,3895.0,409500.0,3895.0
71,2017-04-17,3890.0,3955.0,3875.0,3950.0,428300.0,3950.0
72,2017-04-18,3990.0,3990.0,3900.0,3920.0,432900.0,3920.0
73,2017-04-19,3910.0,4010.0,3900.0,4000.0,628200.0,4000.0
74,2017-04-20,3980.0,4000.0,3930.0,3970.0,417300.0,3970.0
75,2017-04-21,3970.0,3990.0,3945.0,3975.0,370100.0,3975.0
76,2017-04-24,4045.0,4065.0,4015.0,4055.0,538500.0,4055.0
77,2017-04-25,4065.0,4105.0,4050.0,4075.0,618100.0,4075.0
78,2017-04-26,4045.0,4080.0,4005.0,4065.0,557300.0,4065.0
79,2017-04-27,4080.0,4115.0,4060.0,4090.0,372500.0,4090.0
80,2017-04-28,4085.0,4100.0,4045.0,4065.0,453200.0,4065.0
81,2017-05-01,4055.0,4065.0,4005.0,4065.0,587000.0,4065.0
82,2017-05-02,4110.0,4135.0,4060.0,4075.0,515500.0,4075.0
83,2017-05-08,4100.0,4130.0,4080.0,4110.0,990800.0,4110.0
84,2017-05-09,4250.0,4315.0,4230.0,4265.0,1581100.0,4265.0
85,2017-05-10,4260.0,4260.0,4180.0,4185.0,1233700.0,4185.0
86,2017-05-11,4245.0,4260.0,4185.0,4195.0,769500.0,4195.0
87,2017-05-12,4200.0,4215.0,4180.0,4200.0,1145900.0,4200.0
88,2017-05-15,4200.0,4330.0,4200.0,4260.0,1320000.0,4260.0
89,2017-05-16,4285.0,4290.0,4235.0,4255.0,584900.0,4255.0
90,2017-05-17,4205.0,4230.0,4190.0,4220.0,458100.0,4220.0
91,2017-05-18,4165.0,4235.0,4165.0,4185.0,396000.0,4185.0
92,2017-05-19,4200.0,4205.0,4155.0,4195.0,378800.0,4195.0
93,2017-05-22,4165.0,4210.0,4165.0,4200.0,331000.0,4200.0
94,2017-05-23,4220.0,4240.0,4200.0,4220.0,372800.0,4220.0
95,2017-05-24,4250.0,4285.0,4240.0,4255.0,395200.0,4255.0
96,2017-05-25,4260.0,4295.0,4260.0,4285.0,384000.0,4285.0
97,2017-05-26,4270.0,4295.0,4235.0,4235.0,346100.0,4235.0
98,2017-05-29,4265.0,4330.0,4265.0,4300.0,387000.0,4300.0
99,2017-05-30,4315.0,4330.0,4275.0,4280.0,277400.0,4280.0
100,2017-05-31,4295.0,4340.0,4295.0,4330.0,613500.0,4330.0
101,2017-06-01,4330.0,4380.0,4320.0,4365.0,575600.0,4365.0
102,2017-06-02,4385.0,4395.0,4365.0,4375.0,504500.0,4375.0
103,2017-06-05,4360.0,4445.0,4360.0,4435.0,369600.0,4435.0
104,2017-06-06,4410.0,4415.0,4345.0,4350.0,428000.0,4350.0
105,2017-06-07,4355.0,4360.0,4300.0,4350.0,442900.0,4350.0
106,2017-06-08,4375.0,4375.0,4295.0,4300.0,426000.0,4300.0
107,2017-06-09,4230.0,4305.0,4230.0,4260.0,601100.0,4260.0
108,2017-06-12,4190.0,4245.0,4145.0,4225.0,599600.0,4225.0
109,2017-06-13,4240.0,4275.0,4225.0,4255.0,302900.0,4255.0
110,2017-06-14,4395.0,4435.0,4315.0,4330.0,792600.0,4330.0
111,2017-06-15,4310.0,4370.0,4305.0,4355.0,359600.0,4355.0
112,2017-06-16,4380.0,4380.0,4290.0,4300.0,483300.0,4300.0
113,2017-06-19,4325.0,4380.0,4310.0,4340.0,227500.0,4340.0
114,2017-06-20,4355.0,4370.0,4335.0,4350.0,270200.0,4350.0
115,2017-06-21,4325.0,4330.0,4275.0,4280.0,319400.0,4280.0
116,2017-06-22,4280.0,4285.0,4250.0,4265.0,305700.0,4265.0
117,2017-06-23,4360.0,4360.0,4255.0,4265.0,502900.0,4265.0
118,2017-06-26,4250.0,4285.0,4225.0,4270.0,267400.0,4270.0
119,2017-06-27,4280.0,4290.0,4250.0,4255.0,280300.0,4255.0
120,2017-06-28,4200.0,4245.0,4185.0,4215.0,552500.0,4215.0
121,2017-06-29,4245.0,4310.0,4215.0,4295.0,690100.0,4295.0
122,2017-06-30,4255.0,4290.0,4225.0,4260.0,661300.0,4260.0
123,2017-07-03,4285.0,4285.0,4215.0,4225.0,378500.0,4225.0
124,2017-07-04,4270.0,4285.0,4190.0,4210.0,495800.0,4210.0
125,2017-07-05,4190.0,4215.0,4150.0,4175.0,524400.0,4175.0
126,2017-07-06,4150.0,4170.0,4130.0,4140.0,412700.0,4140.0
127,2017-07-07,4105.0,4125.0,4085.0,4090.0,345000.0,4090.0
128,2017-07-10,4065.0,4155.0,4060.0,4090.0,530200.0,4090.0
129,2017-07-11,4095.0,4180.0,4090.0,4175.0,589500.0,4175.0
130,2017-07-12,4180.0,4185.0,4125.0,4130.0,400700.0,4130.0
131,2017-07-13,4135.0,4145.0,4090.0,4100.0,466500.0,4100.0
132,2017-07-14,4090.0,4105.0,4060.0,4065.0,414100.0,4065.0
133,2017-07-18,4025.0,4080.0,4020.0,4065.0,404200.0,4065.0
134,2017-07-19,4045.0,4075.0,4005.0,4020.0,813700.0,4020.0
135,2017-07-20,4020.0,4025.0,3995.0,4020.0,588000.0,4020.0
136,2017-07-21,4020.0,4060.0,4015.0,4050.0,556300.0,4050.0
137,2017-07-24,4020.0,4035.0,3995.0,4020.0,480700.0,4020.0
138,2017-07-25,4020.0,4040.0,4005.0,4025.0,513000.0,4025.0
139,2017-07-26,4040.0,4040.0,4005.0,4015.0,394800.0,4015.0
140,2017-07-27,4015.0,4070.0,4010.0,4040.0,513800.0,4040.0
141,2017-07-28,4035.0,4035.0,4010.0,4025.0,472300.0,4025.0
142,2017-07-31,4035.0,4045.0,4015.0,4015.0,380000.0,4015.0
143,2017-08-01,4025.0,4105.0,4025.0,4105.0,787500.0,4105.0
144,2017-08-02,4125.0,4125.0,4085.0,4100.0,617300.0,4100.0
145,2017-08-03,4105.0,4160.0,4105.0,4150.0,835600.0,4150.0
146,2017-08-04,4155.0,4190.0,4130.0,4175.0,530200.0,4175.0
147,2017-08-07,4175.0,4185.0,4135.0,4150.0,598000.0,4150.0
148,2017-08-08,4140.0,4140.0,4075.0,4105.0,493000.0,4105.0
149,2017-08-09,4100.0,4130.0,4035.0,4055.0,738700.0,4055.0
150,2017-08-10,4070.0,4180.0,4070.0,4155.0,1368900.0,4155.0
151,2017-08-14,4155.0,4220.0,4135.0,4180.0,1035000.0,4180.0
152,2017-08-15,4220.0,4260.0,4210.0,4235.0,918100.0,4235.0
153,2017-08-16,4100.0,4220.0,4095.0,4140.0,1240700.0,4140.0
154,2017-08-17,4160.0,4190.0,4035.0,4035.0,1094200.0,4035.0
155,2017-08-18,3990.0,3990.0,3910.0,3925.0,920800.0,3925.0
156,2017-08-21,3940.0,3940.0,3895.0,3915.0,685500.0,3915.0
157,2017-08-22,3885.0,3920.0,3875.0,3905.0,643900.0,3905.0
158,2017-08-23,4040.0,4040.0,3930.0,3935.0,756700.0,3935.0
159,2017-08-24,3930.0,3945.0,3915.0,3915.0,498500.0,3915.0
160,2017-08-25,4005.0,4070.0,3950.0,4035.0,1971900.0,4035.0
161,2017-08-28,4070.0,4150.0,4050.0,4140.0,879800.0,4140.0
162,2017-08-29,4125.0,4170.0,4080.0,4150.0,710000.0,4150.0
163,2017-08-30,4165.0,4215.0,4145.0,4160.0,661900.0,4160.0
164,2017-08-31,4165.0,4190.0,4145.0,4175.0,614900.0,4175.0
165,2017-09-01,4185.0,4225.0,4155.0,4220.0,565000.0,4220.0
166,2017-09-04,4185.0,4200.0,4135.0,4180.0,479100.0,4180.0
167,2017-09-05,4195.0,4195.0,4115.0,4155.0,668000.0,4155.0
168,2017-09-06,4155.0,4225.0,4150.0,4195.0,616300.0,4195.0
169,2017-09-07,4210.0,4275.0,4205.0,4275.0,715500.0,4275.0
170,2017-09-08,4310.0,4320.0,4255.0,4285.0,723800.0,4285.0
171,2017-09-11,4280.0,4315.0,4250.0,4310.0,634600.0,4310.0
172,2017-09-12,4330.0,4330.0,4295.0,4305.0,498900.0,4305.0
