,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3420.0,3460.0,3400.0,3405.0,3100.0,1702.5
1,2017-01-05,3435.0,3440.0,3360.0,3380.0,5300.0,1690.0
2,2017-01-06,3395.0,3430.0,3395.0,3430.0,1100.0,1715.0
3,2017-01-10,3450.0,3455.0,3400.0,3445.0,2600.0,1722.5
4,2017-01-11,3445.0,3445.0,3390.0,3425.0,2600.0,1712.5
5,2017-01-12,3450.0,3450.0,3390.0,3425.0,3800.0,1712.5
6,2017-01-13,3425.0,3425.0,3380.0,3380.0,3400.0,1690.0
7,2017-01-16,3410.0,3420.0,3385.0,3410.0,1300.0,1705.0
8,2017-01-17,3415.0,3415.0,3380.0,3380.0,500.0,1690.0
9,2017-01-18,3400.0,3400.0,3400.0,3400.0,600.0,1700.0
10,2017-01-19,3410.0,3425.0,3350.0,3425.0,7800.0,1712.5
11,2017-01-20,3440.0,3440.0,3420.0,3420.0,600.0,1710.0
12,2017-01-23,3420.0,3420.0,3370.0,3370.0,4500.0,1685.0
13,2017-01-24,3370.0,3370.0,3325.0,3330.0,2000.0,1665.0
14,2017-01-25,3385.0,3400.0,3380.0,3390.0,2200.0,1695.0
15,2017-01-26,3335.0,3355.0,3305.0,3345.0,2800.0,1672.5
16,2017-01-27,3365.0,3370.0,3335.0,3335.0,1100.0,1667.5
17,2017-01-30,3335.0,3385.0,3335.0,3385.0,1100.0,1692.5
18,2017-01-31,3370.0,3420.0,3350.0,3385.0,2600.0,1692.5
19,2017-02-01,3345.0,3400.0,3345.0,3400.0,2300.0,1700.0
20,2017-02-02,3400.0,3420.0,3355.0,3420.0,3200.0,1710.0
21,2017-02-03,3430.0,3430.0,3380.0,3420.0,1800.0,1710.0
22,2017-02-06,3480.0,3480.0,3400.0,3425.0,1900.0,1712.5
23,2017-02-07,3425.0,3425.0,3395.0,3420.0,1900.0,1710.0
24,2017-02-08,3420.0,3420.0,3415.0,3415.0,200.0,1707.5
25,2017-02-09,3415.0,3420.0,3415.0,3420.0,400.0,1710.0
26,2017-02-10,3420.0,3450.0,3400.0,3450.0,3800.0,1725.0
27,2017-02-13,3490.0,3490.0,3440.0,3475.0,1200.0,1737.5
28,2017-02-14,3435.0,3435.0,3430.0,3430.0,400.0,1715.0
29,2017-02-15,3435.0,3450.0,3435.0,3440.0,600.0,1720.0
30,2017-02-16,3470.0,3470.0,3420.0,3420.0,900.0,1710.0
31,2017-02-17,3420.0,3465.0,3420.0,3455.0,500.0,1727.5
32,2017-02-20,3425.0,3450.0,3425.0,3450.0,400.0,1725.0
33,2017-02-21,3455.0,3470.0,3435.0,3470.0,1300.0,1735.0
34,2017-02-22,3470.0,3490.0,3445.0,3445.0,600.0,1722.5
