,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3225.0,3375.0,3215.0,3365.0,387700.0,3365.0
1,2017-01-05,3400.0,3435.0,3350.0,3355.0,276000.0,3355.0
2,2017-01-06,3315.0,3500.0,3305.0,3420.0,439000.0,3420.0
3,2017-01-10,3425.0,3425.0,3330.0,3350.0,274400.0,3350.0
4,2017-01-11,3400.0,3460.0,3380.0,3450.0,259400.0,3450.0
5,2017-01-12,3460.0,3500.0,3440.0,3465.0,338500.0,3465.0
6,2017-01-13,3465.0,3555.0,3440.0,3530.0,276100.0,3530.0
7,2017-01-16,3500.0,3515.0,3430.0,3445.0,243700.0,3445.0
8,2017-01-17,3440.0,3440.0,3370.0,3385.0,162700.0,3385.0
9,2017-01-18,3440.0,3450.0,3385.0,3415.0,188400.0,3415.0
10,2017-01-19,3425.0,3465.0,3425.0,3440.0,105800.0,3440.0
11,2017-01-20,3420.0,3440.0,3370.0,3385.0,195200.0,3385.0
12,2017-01-23,3375.0,3395.0,3350.0,3355.0,231300.0,3355.0
13,2017-01-24,3310.0,3310.0,3150.0,3240.0,410700.0,3240.0
14,2017-01-25,3230.0,3265.0,3210.0,3230.0,202700.0,3230.0
15,2017-01-26,3250.0,3255.0,3155.0,3200.0,409300.0,3200.0
16,2017-01-27,3160.0,3240.0,3125.0,3235.0,326100.0,3235.0
17,2017-01-30,3215.0,3215.0,3175.0,3200.0,222400.0,3200.0
18,2017-01-31,3200.0,3210.0,3165.0,3190.0,136100.0,3190.0
19,2017-02-01,3175.0,3200.0,3150.0,3180.0,240200.0,3180.0
20,2017-02-02,3220.0,3310.0,3185.0,3195.0,269500.0,3195.0
21,2017-02-03,3285.0,3365.0,3220.0,3250.0,399500.0,3250.0
22,2017-02-06,3260.0,3310.0,3255.0,3310.0,256500.0,3310.0
23,2017-02-07,3450.0,3550.0,3255.0,3370.0,641400.0,3370.0
24,2017-02-08,3395.0,3540.0,3395.0,3525.0,411300.0,3525.0
25,2017-02-09,3500.0,3530.0,3480.0,3505.0,191500.0,3505.0
26,2017-02-10,3535.0,3540.0,3475.0,3520.0,218500.0,3520.0
27,2017-02-13,3560.0,3615.0,3535.0,3565.0,227000.0,3565.0
28,2017-02-14,3555.0,3590.0,3525.0,3535.0,246600.0,3535.0
29,2017-02-15,3570.0,3600.0,3560.0,3580.0,215900.0,3580.0
30,2017-02-16,3595.0,3665.0,3580.0,3605.0,274800.0,3605.0
31,2017-02-17,3520.0,3565.0,3480.0,3540.0,339500.0,3540.0
32,2017-02-20,3485.0,3505.0,3445.0,3495.0,279400.0,3495.0
33,2017-02-21,3495.0,3555.0,3465.0,3550.0,175200.0,3550.0
34,2017-02-22,3540.0,3570.0,3500.0,3560.0,164600.0,3560.0
35,2017-02-23,3560.0,3665.0,3545.0,3650.0,215200.0,3650.0
36,2017-02-24,3600.0,3655.0,3590.0,3615.0,147000.0,3615.0
37,2017-02-27,3605.0,3605.0,3500.0,3505.0,248100.0,3505.0
38,2017-02-28,3515.0,3580.0,3505.0,3535.0,188700.0,3535.0
39,2017-03-01,3535.0,3565.0,3520.0,3555.0,143200.0,3555.0
40,2017-03-02,3600.0,3625.0,3560.0,3570.0,161900.0,3570.0
41,2017-03-03,3640.0,3710.0,3520.0,3535.0,422000.0,3535.0
42,2017-03-06,3525.0,3535.0,3485.0,3515.0,159200.0,3515.0
43,2017-03-07,3550.0,3660.0,3550.0,3585.0,215300.0,3585.0
44,2017-03-08,3575.0,3605.0,3535.0,3540.0,188500.0,3540.0
45,2017-03-09,3550.0,3560.0,3450.0,3455.0,254900.0,3455.0
46,2017-03-10,3430.0,3445.0,3370.0,3390.0,522800.0,3390.0
47,2017-03-13,3405.0,3470.0,3385.0,3390.0,291100.0,3390.0
48,2017-03-14,3380.0,3385.0,3340.0,3355.0,305100.0,3355.0
49,2017-03-15,3360.0,3385.0,3320.0,3365.0,179900.0,3365.0
50,2017-03-16,3350.0,3360.0,3325.0,3345.0,130000.0,3345.0
51,2017-03-17,3370.0,3405.0,3350.0,3350.0,352100.0,3350.0
52,2017-03-21,3420.0,3435.0,3380.0,3390.0,240700.0,3390.0
53,2017-03-22,3355.0,3355.0,3245.0,3325.0,422600.0,3325.0
54,2017-03-23,3305.0,3335.0,3280.0,3315.0,398700.0,3315.0
55,2017-03-24,3280.0,3335.0,3280.0,3310.0,344500.0,3310.0
56,2017-03-27,3270.0,3280.0,3210.0,3215.0,641200.0,3215.0
57,2017-03-28,3285.0,3325.0,3260.0,3315.0,792800.0,3315.0
58,2017-03-29,3230.0,3325.0,3225.0,3315.0,538600.0,3315.0
59,2017-03-30,3355.0,3395.0,3285.0,3300.0,264000.0,3300.0
60,2017-03-31,3340.0,3445.0,3310.0,3370.0,456400.0,3370.0
61,2017-04-03,3360.0,3410.0,3350.0,3405.0,266200.0,3405.0
62,2017-04-04,3400.0,3420.0,3315.0,3325.0,291600.0,3325.0
63,2017-04-05,3295.0,3315.0,3245.0,3310.0,176900.0,3310.0
64,2017-04-06,3330.0,3350.0,3280.0,3305.0,197900.0,3305.0
65,2017-04-07,3320.0,3385.0,3305.0,3345.0,263200.0,3345.0
66,2017-04-10,3355.0,3385.0,3335.0,3350.0,155900.0,3350.0
67,2017-04-11,3335.0,3335.0,3285.0,3295.0,151800.0,3295.0
68,2017-04-12,3285.0,3290.0,3235.0,3280.0,195600.0,3280.0
69,2017-04-13,3290.0,3350.0,3280.0,3335.0,191600.0,3335.0
70,2017-04-14,3335.0,3340.0,3250.0,3260.0,119800.0,3260.0
71,2017-04-17,3260.0,3390.0,3260.0,3375.0,174400.0,3375.0
72,2017-04-18,3405.0,3410.0,3360.0,3380.0,143300.0,3380.0
73,2017-04-19,3400.0,3410.0,3375.0,3400.0,183700.0,3400.0
74,2017-04-20,3385.0,3450.0,3365.0,3430.0,201400.0,3430.0
75,2017-04-21,3365.0,3415.0,3330.0,3410.0,278900.0,3410.0
76,2017-04-24,3400.0,3405.0,3295.0,3380.0,374300.0,3380.0
77,2017-04-25,3385.0,3460.0,3385.0,3455.0,202400.0,3455.0
78,2017-04-26,3445.0,3460.0,3410.0,3450.0,107700.0,3450.0
79,2017-04-27,3450.0,3510.0,3430.0,3440.0,187600.0,3440.0
80,2017-04-28,3450.0,3475.0,3440.0,3450.0,88400.0,3450.0
81,2017-05-01,3485.0,3485.0,3430.0,3450.0,95900.0,3450.0
82,2017-05-02,3465.0,3575.0,3455.0,3540.0,405300.0,3540.0
83,2017-05-08,3550.0,3600.0,3505.0,3600.0,368500.0,3600.0
84,2017-05-09,3450.0,3465.0,3370.0,3390.0,961500.0,3390.0
85,2017-05-10,3395.0,3520.0,3370.0,3520.0,531000.0,3520.0
86,2017-05-11,3535.0,3535.0,3495.0,3520.0,222600.0,3520.0
87,2017-05-12,3510.0,3510.0,3480.0,3480.0,233400.0,3480.0
88,2017-05-15,3450.0,3450.0,3410.0,3420.0,209300.0,3420.0
89,2017-05-16,3425.0,3435.0,3385.0,3405.0,265500.0,3405.0
90,2017-05-17,3390.0,3405.0,3355.0,3370.0,250900.0,3370.0
91,2017-05-18,3330.0,3390.0,3315.0,3385.0,161500.0,3385.0
92,2017-05-19,3375.0,3385.0,3330.0,3335.0,151100.0,3335.0
93,2017-05-22,3340.0,3370.0,3295.0,3335.0,145200.0,3335.0
94,2017-05-23,3395.0,3395.0,3315.0,3350.0,224000.0,3350.0
95,2017-05-24,3365.0,3420.0,3340.0,3410.0,183200.0,3410.0
96,2017-05-25,3405.0,3405.0,3360.0,3365.0,131300.0,3365.0
97,2017-05-26,3370.0,3380.0,3325.0,3335.0,142000.0,3335.0
98,2017-05-29,3345.0,3400.0,3320.0,3395.0,127300.0,3395.0
99,2017-05-30,3395.0,3400.0,3320.0,3385.0,149800.0,3385.0
100,2017-05-31,3375.0,3380.0,3325.0,3345.0,192100.0,3345.0
101,2017-06-01,3335.0,3435.0,3335.0,3430.0,216300.0,3430.0
102,2017-06-02,3460.0,3510.0,3420.0,3420.0,231500.0,3420.0
103,2017-06-05,3420.0,3540.0,3420.0,3525.0,218300.0,3525.0
104,2017-06-06,3520.0,3530.0,3460.0,3465.0,198800.0,3465.0
105,2017-06-07,3455.0,3460.0,3405.0,3425.0,141300.0,3425.0
106,2017-06-08,3475.0,3475.0,3385.0,3385.0,125200.0,3385.0
107,2017-06-09,3370.0,3405.0,3355.0,3380.0,123400.0,3380.0
108,2017-06-12,3350.0,3365.0,3280.0,3320.0,204500.0,3320.0
109,2017-06-13,3335.0,3385.0,3330.0,3345.0,136900.0,3345.0
110,2017-06-14,3370.0,3385.0,3340.0,3340.0,113300.0,3340.0
111,2017-06-15,3340.0,3380.0,3325.0,3370.0,100100.0,3370.0
112,2017-06-16,3360.0,3375.0,3320.0,3370.0,269000.0,3370.0
113,2017-06-19,3370.0,3420.0,3360.0,3390.0,142900.0,3390.0
114,2017-06-20,3445.0,3565.0,3425.0,3555.0,420800.0,3555.0
115,2017-06-21,3520.0,3530.0,3490.0,3510.0,135600.0,3510.0
116,2017-06-22,3505.0,3665.0,3505.0,3650.0,468000.0,3650.0
117,2017-06-23,3670.0,3835.0,3650.0,3735.0,342000.0,3735.0
118,2017-06-26,3735.0,3825.0,3705.0,3765.0,321900.0,3765.0
119,2017-06-27,3765.0,3830.0,3750.0,3750.0,182600.0,3750.0
120,2017-06-28,3750.0,3765.0,3640.0,3650.0,240000.0,3650.0
121,2017-06-29,3645.0,3660.0,3590.0,3625.0,360500.0,3625.0
122,2017-06-30,3585.0,3670.0,3555.0,3645.0,256600.0,3645.0
123,2017-07-03,3590.0,3620.0,3550.0,3565.0,217900.0,3565.0
124,2017-07-04,3595.0,3595.0,3485.0,3505.0,287300.0,3505.0
125,2017-07-05,3550.0,3570.0,3480.0,3520.0,215700.0,3520.0
126,2017-07-06,3485.0,3535.0,3475.0,3530.0,234300.0,3530.0
127,2017-07-07,3485.0,3510.0,3400.0,3435.0,250900.0,3435.0
128,2017-07-10,3465.0,3465.0,3425.0,3445.0,133300.0,3445.0
129,2017-07-11,3425.0,3465.0,3385.0,3455.0,220400.0,3455.0
130,2017-07-12,3440.0,3485.0,3435.0,3445.0,126300.0,3445.0
131,2017-07-13,3490.0,3505.0,3415.0,3430.0,143400.0,3430.0
132,2017-07-14,3445.0,3450.0,3390.0,3400.0,157600.0,3400.0
133,2017-07-18,3400.0,3400.0,3355.0,3375.0,131900.0,3375.0
134,2017-07-19,3360.0,3395.0,3330.0,3360.0,162600.0,3360.0
135,2017-07-20,3400.0,3415.0,3350.0,3365.0,108500.0,3365.0
136,2017-07-21,3365.0,3380.0,3345.0,3370.0,104400.0,3370.0
137,2017-07-24,3365.0,3370.0,3320.0,3350.0,150900.0,3350.0
138,2017-07-25,3365.0,3370.0,3325.0,3335.0,80700.0,3335.0
139,2017-07-26,3385.0,3390.0,3350.0,3365.0,139900.0,3365.0
140,2017-07-27,3355.0,3375.0,3330.0,3335.0,107800.0,3335.0
141,2017-07-28,3325.0,3355.0,3315.0,3355.0,111500.0,3355.0
142,2017-07-31,3380.0,3465.0,3335.0,3345.0,278100.0,3345.0
143,2017-08-01,3340.0,3375.0,3325.0,3365.0,121100.0,3365.0
144,2017-08-02,3375.0,3390.0,3355.0,3370.0,129600.0,3370.0
145,2017-08-03,3355.0,3355.0,3210.0,3250.0,497800.0,3250.0
146,2017-08-04,3240.0,3240.0,3190.0,3225.0,206700.0,3225.0
147,2017-08-07,3435.0,3475.0,3350.0,3400.0,567300.0,3400.0
148,2017-08-08,3415.0,3430.0,3395.0,3430.0,291700.0,3430.0
149,2017-08-09,3530.0,3620.0,3525.0,3560.0,441100.0,3560.0
150,2017-08-10,3550.0,3615.0,3520.0,3595.0,175100.0,3595.0
151,2017-08-14,3535.0,3635.0,3515.0,3615.0,192000.0,3615.0
152,2017-08-15,3610.0,3620.0,3530.0,3550.0,177400.0,3550.0
153,2017-08-16,3515.0,3565.0,3510.0,3515.0,131300.0,3515.0
154,2017-08-17,3475.0,3515.0,3465.0,3470.0,140200.0,3470.0
155,2017-08-18,3435.0,3470.0,3405.0,3460.0,109600.0,3460.0
