,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4785.0,4850.0,4710.0,4795.0,233600.0,1198.8
1,2017-01-05,4755.0,4835.0,4725.0,4760.0,203200.0,1190.0
2,2017-01-06,4720.0,4820.0,4685.0,4820.0,143400.0,1205.0
3,2017-01-10,4850.0,4915.0,4775.0,4800.0,209200.0,1200.0
4,2017-01-11,4830.0,4835.0,4765.0,4780.0,80200.0,1195.0
5,2017-01-12,4715.0,4760.0,4670.0,4705.0,116600.0,1176.3
6,2017-01-13,4665.0,4785.0,4655.0,4775.0,122000.0,1193.8
7,2017-01-16,4740.0,4775.0,4610.0,4620.0,199900.0,1155.0
8,2017-01-17,4615.0,4635.0,4520.0,4520.0,131500.0,1130.0
9,2017-01-18,4500.0,4615.0,4480.0,4615.0,150700.0,1153.8
10,2017-01-19,4745.0,4745.0,4640.0,4685.0,100000.0,1171.3
11,2017-01-20,4735.0,4740.0,4580.0,4685.0,228200.0,1171.3
12,2017-01-23,4580.0,4730.0,4510.0,4515.0,137500.0,1128.8
13,2017-01-24,4450.0,4520.0,4405.0,4500.0,195900.0,1125.0
14,2017-01-25,4520.0,4615.0,4520.0,4610.0,125100.0,1152.5
15,2017-01-26,4660.0,4700.0,4630.0,4675.0,79900.0,1168.8
16,2017-01-27,4665.0,4765.0,4665.0,4690.0,175400.0,1172.5
17,2017-01-30,4645.0,4680.0,4625.0,4650.0,176200.0,1162.5
18,2017-01-31,4555.0,4625.0,4535.0,4600.0,199600.0,1150.0
19,2017-02-01,4590.0,4610.0,4560.0,4570.0,168100.0,1142.5
20,2017-02-02,4615.0,4690.0,4575.0,4635.0,127400.0,1158.8
21,2017-02-03,4630.0,4680.0,4585.0,4615.0,68400.0,1153.8
22,2017-02-06,4640.0,4650.0,4545.0,4560.0,98600.0,1140.0
23,2017-02-07,4500.0,4510.0,4445.0,4455.0,166900.0,1113.8
24,2017-02-08,4470.0,4520.0,4455.0,4510.0,116800.0,1127.5
25,2017-02-09,4500.0,4540.0,4480.0,4530.0,62900.0,1132.5
26,2017-02-10,4550.0,4595.0,4505.0,4565.0,167500.0,1141.3
27,2017-02-13,4650.0,4800.0,4650.0,4745.0,394300.0,1186.3
28,2017-02-14,4740.0,4745.0,4640.0,4655.0,229300.0,1163.8
29,2017-02-15,4670.0,4695.0,4620.0,4635.0,177000.0,1158.8
30,2017-02-16,4635.0,4640.0,4545.0,4560.0,133600.0,1140.0
31,2017-02-17,4525.0,4560.0,4515.0,4520.0,168200.0,1130.0
32,2017-02-20,4510.0,4565.0,4480.0,4560.0,158600.0,1140.0
33,2017-02-21,4505.0,4550.0,4485.0,4535.0,189800.0,1133.8
34,2017-02-22,4540.0,4610.0,4505.0,4540.0,193500.0,1135.0
35,2017-02-23,4500.0,4525.0,4470.0,4485.0,115100.0,1121.3
36,2017-02-24,4540.0,4540.0,4475.0,4480.0,198900.0,1120.0
37,2017-02-27,4470.0,4535.0,4470.0,4480.0,211700.0,1120.0
38,2017-02-28,4470.0,4505.0,4425.0,4430.0,281000.0,1107.5
39,2017-03-01,4465.0,4545.0,4425.0,4540.0,194000.0,1135.0
40,2017-03-02,4550.0,4630.0,4535.0,4630.0,203900.0,1157.5
41,2017-03-03,4645.0,4650.0,4495.0,4515.0,176200.0,1128.8
42,2017-03-06,4525.0,4535.0,4470.0,4485.0,89100.0,1121.3
43,2017-03-07,4465.0,4480.0,4415.0,4480.0,159600.0,1120.0
44,2017-03-08,4425.0,4450.0,4375.0,4375.0,193100.0,1093.8
45,2017-03-09,4350.0,4365.0,4280.0,4315.0,262200.0,1078.8
46,2017-03-10,4320.0,4370.0,4315.0,4350.0,194100.0,1087.5
47,2017-03-13,4340.0,4395.0,4300.0,4320.0,221300.0,1080.0
48,2017-03-14,4325.0,4410.0,4310.0,4390.0,206100.0,1097.5
49,2017-03-15,4390.0,4420.0,4370.0,4385.0,82400.0,1096.3
50,2017-03-16,4390.0,4435.0,4380.0,4430.0,86400.0,1107.5
51,2017-03-17,4440.0,4470.0,4400.0,4410.0,210000.0,1102.5
52,2017-03-21,4500.0,4550.0,4420.0,4460.0,338000.0,1115.0
53,2017-03-22,4470.0,4480.0,4405.0,4420.0,135300.0,1105.0
54,2017-03-23,4415.0,4480.0,4400.0,4470.0,164200.0,1117.5
55,2017-03-24,4540.0,4560.0,4470.0,4500.0,199700.0,1125.0
56,2017-03-27,4520.0,4590.0,4490.0,4565.0,177900.0,1141.3
