,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3035.0,3065.0,3000.0,3005.0,757800.0,3005.0
1,2017-01-05,3060.0,3095.0,3025.0,3075.0,870200.0,3075.0
2,2017-01-06,3055.0,3075.0,3040.0,3065.0,560000.0,3065.0
3,2017-01-10,3080.0,3145.0,3075.0,3095.0,854000.0,3095.0
4,2017-01-11,3095.0,3115.0,3045.0,3045.0,677900.0,3045.0
5,2017-01-12,3045.0,3070.0,3005.0,3020.0,578800.0,3020.0
6,2017-01-13,2995.0,3060.0,2984.0,3055.0,402800.0,3055.0
7,2017-01-16,3035.0,3070.0,3010.0,3015.0,375200.0,3015.0
8,2017-01-17,2980.0,2982.0,2931.0,2940.0,601300.0,2940.0
9,2017-01-18,2976.0,2995.0,2952.0,2975.0,656700.0,2975.0
10,2017-01-19,2999.0,3005.0,2970.0,2978.0,323900.0,2978.0
11,2017-01-20,2977.0,3025.0,2955.0,3010.0,485700.0,3010.0
12,2017-01-23,2990.0,2990.0,2951.0,2960.0,522900.0,2960.0
13,2017-01-24,2949.0,3020.0,2943.0,2986.0,639500.0,2986.0
14,2017-01-25,3040.0,3050.0,2993.0,3010.0,508800.0,3010.0
15,2017-01-26,3040.0,3075.0,3015.0,3075.0,786300.0,3075.0
16,2017-01-27,3115.0,3165.0,3000.0,3090.0,969500.0,3090.0
17,2017-01-30,3055.0,3085.0,3035.0,3075.0,381600.0,3075.0
18,2017-01-31,3050.0,3100.0,3045.0,3060.0,546600.0,3060.0
19,2017-02-01,3090.0,3140.0,3075.0,3140.0,613200.0,3140.0
20,2017-02-02,3150.0,3155.0,3075.0,3080.0,663100.0,3080.0
21,2017-02-03,3090.0,3115.0,3050.0,3070.0,346100.0,3070.0
22,2017-02-06,3080.0,3120.0,3035.0,3115.0,584700.0,3115.0
23,2017-02-07,3080.0,3095.0,3035.0,3055.0,547400.0,3055.0
24,2017-02-08,3055.0,3060.0,3035.0,3060.0,579100.0,3060.0
25,2017-02-09,3065.0,3085.0,3045.0,3075.0,432700.0,3075.0
26,2017-02-10,3120.0,3155.0,3070.0,3150.0,679200.0,3150.0
27,2017-02-13,3160.0,3180.0,3125.0,3130.0,525700.0,3130.0
28,2017-02-14,3130.0,3145.0,3095.0,3105.0,593700.0,3105.0
29,2017-02-15,3135.0,3135.0,3080.0,3100.0,543800.0,3100.0
30,2017-02-16,3090.0,3095.0,3040.0,3055.0,671500.0,3055.0
31,2017-02-17,3050.0,3120.0,3010.0,3115.0,565800.0,3115.0
32,2017-02-20,3125.0,3135.0,3105.0,3125.0,558800.0,3125.0
33,2017-02-21,3110.0,3140.0,3105.0,3130.0,309800.0,3130.0
34,2017-02-22,3165.0,3190.0,3145.0,3155.0,485900.0,3155.0
35,2017-02-23,3155.0,3195.0,3145.0,3195.0,644400.0,3195.0
36,2017-02-24,3180.0,3240.0,3175.0,3220.0,543100.0,3220.0
37,2017-02-27,3190.0,3240.0,3185.0,3225.0,503700.0,3225.0
38,2017-02-28,3245.0,3340.0,3225.0,3305.0,1265600.0,3305.0
39,2017-03-01,3305.0,3330.0,3285.0,3330.0,574400.0,3330.0
40,2017-03-02,3360.0,3365.0,3305.0,3315.0,727100.0,3315.0
41,2017-03-03,3330.0,3390.0,3310.0,3325.0,1045800.0,3325.0
42,2017-03-06,3370.0,3385.0,3315.0,3325.0,1050100.0,3325.0
43,2017-03-07,3385.0,3460.0,3340.0,3375.0,2148000.0,3375.0
44,2017-03-08,3350.0,3390.0,3300.0,3375.0,1059000.0,3375.0
45,2017-03-09,3370.0,3370.0,3325.0,3335.0,666400.0,3335.0
46,2017-03-10,3405.0,3480.0,3380.0,3455.0,1215300.0,3455.0
47,2017-03-13,3435.0,3470.0,3420.0,3455.0,576500.0,3455.0
48,2017-03-14,3475.0,3530.0,3465.0,3525.0,825600.0,3525.0
49,2017-03-15,3525.0,3565.0,3500.0,3550.0,787300.0,3550.0
50,2017-03-16,3520.0,3570.0,3515.0,3565.0,773900.0,3565.0
51,2017-03-17,3550.0,3605.0,3545.0,3600.0,597300.0,3600.0
52,2017-03-21,3645.0,3685.0,3620.0,3675.0,918900.0,3675.0
53,2017-03-22,3605.0,3650.0,3600.0,3625.0,847100.0,3625.0
54,2017-03-23,3600.0,3620.0,3545.0,3585.0,1025100.0,3585.0
55,2017-03-24,3605.0,3645.0,3595.0,3625.0,417500.0,3625.0
56,2017-03-27,3575.0,3595.0,3540.0,3570.0,581000.0,3570.0
57,2017-03-28,3600.0,3640.0,3590.0,3640.0,544300.0,3640.0
58,2017-03-29,3650.0,3675.0,3640.0,3675.0,440600.0,3675.0
59,2017-03-30,3640.0,3670.0,3560.0,3590.0,603300.0,3590.0
60,2017-03-31,3620.0,3620.0,3545.0,3555.0,805200.0,3555.0
61,2017-04-03,3585.0,3615.0,3560.0,3595.0,587200.0,3595.0
62,2017-04-04,3555.0,3600.0,3505.0,3540.0,853500.0,3540.0
63,2017-04-05,3570.0,3605.0,3515.0,3545.0,633800.0,3545.0
64,2017-04-06,3550.0,3570.0,3455.0,3470.0,603800.0,3470.0
65,2017-04-07,3505.0,3580.0,3460.0,3550.0,935100.0,3550.0
66,2017-04-10,3575.0,3580.0,3495.0,3520.0,454400.0,3520.0
67,2017-04-11,3480.0,3525.0,3460.0,3510.0,433700.0,3510.0
68,2017-04-12,3465.0,3485.0,3420.0,3440.0,541800.0,3440.0
69,2017-04-13,3400.0,3480.0,3395.0,3470.0,519400.0,3470.0
70,2017-04-14,3460.0,3475.0,3410.0,3420.0,461300.0,3420.0
71,2017-04-17,3405.0,3465.0,3395.0,3455.0,436100.0,3455.0
72,2017-04-18,3495.0,3540.0,3450.0,3515.0,513100.0,3515.0
73,2017-04-19,3500.0,3545.0,3490.0,3505.0,425000.0,3505.0
74,2017-04-20,3485.0,3510.0,3455.0,3465.0,461900.0,3465.0
75,2017-04-21,3460.0,3480.0,3435.0,3475.0,359000.0,3475.0
76,2017-04-24,3510.0,3535.0,3475.0,3520.0,545300.0,3520.0
77,2017-04-25,3520.0,3530.0,3475.0,3520.0,524600.0,3520.0
78,2017-04-26,3550.0,3555.0,3495.0,3510.0,484300.0,3510.0
79,2017-04-27,3440.0,3480.0,3420.0,3460.0,753400.0,3460.0
80,2017-04-28,3470.0,3480.0,3430.0,3450.0,522200.0,3450.0
81,2017-05-01,3430.0,3470.0,3380.0,3390.0,649200.0,3390.0
82,2017-05-02,3380.0,3405.0,3360.0,3375.0,573800.0,3375.0
83,2017-05-08,3445.0,3535.0,3440.0,3530.0,1018700.0,3530.0
84,2017-05-09,3520.0,3545.0,3505.0,3515.0,601200.0,3515.0
85,2017-05-10,3525.0,3550.0,3510.0,3535.0,582600.0,3535.0
86,2017-05-11,3565.0,3625.0,3555.0,3615.0,674500.0,3615.0
87,2017-05-12,3615.0,3675.0,3610.0,3660.0,566400.0,3660.0
88,2017-05-15,3655.0,3710.0,3615.0,3710.0,753800.0,3710.0
89,2017-05-16,3710.0,3760.0,3685.0,3720.0,578500.0,3720.0
90,2017-05-17,3750.0,3800.0,3750.0,3795.0,749000.0,3795.0
91,2017-05-18,3750.0,3835.0,3740.0,3810.0,770700.0,3810.0
92,2017-05-19,3820.0,3830.0,3765.0,3800.0,445500.0,3800.0
93,2017-05-22,3795.0,3800.0,3760.0,3795.0,411400.0,3795.0
94,2017-05-23,3760.0,3790.0,3745.0,3770.0,449100.0,3770.0
95,2017-05-24,3765.0,3780.0,3700.0,3720.0,754900.0,3720.0
96,2017-05-25,3715.0,3760.0,3710.0,3735.0,656300.0,3735.0
97,2017-05-26,3725.0,3750.0,3695.0,3740.0,731700.0,3740.0
98,2017-05-29,3775.0,3875.0,3765.0,3850.0,1074500.0,3850.0
99,2017-05-30,3865.0,3875.0,3775.0,3795.0,748300.0,3795.0
100,2017-05-31,3795.0,3870.0,3785.0,3820.0,775700.0,3820.0
101,2017-06-01,3865.0,3890.0,3840.0,3880.0,806600.0,3880.0
102,2017-06-02,3890.0,3905.0,3840.0,3845.0,750400.0,3845.0
103,2017-06-05,3860.0,3970.0,3850.0,3970.0,958800.0,3970.0
104,2017-06-06,4250.0,4260.0,4080.0,4125.0,1738600.0,4125.0
105,2017-06-07,4145.0,4235.0,4045.0,4080.0,1112700.0,4080.0
106,2017-06-08,4095.0,4130.0,4040.0,4065.0,762500.0,4065.0
