,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1618.0,1644.0,1618.0,1638.0,6238400.0,1638.0
1,2017-01-05,1642.0,1642.0,1624.0,1637.0,3997600.0,1637.0
2,2017-01-06,1625.0,1642.5,1624.0,1637.5,4359200.0,1637.5
3,2017-01-10,1623.0,1637.5,1618.5,1626.0,5289700.0,1626.0
4,2017-01-11,1640.0,1649.0,1637.5,1648.5,4743100.0,1648.5
5,2017-01-12,1648.5,1650.0,1630.5,1640.0,4885900.0,1640.0
6,2017-01-13,1631.5,1643.0,1629.5,1642.5,3881000.0,1642.5
7,2017-01-16,1640.0,1644.0,1624.5,1627.0,3946300.0,1627.0
8,2017-01-17,1610.0,1619.0,1603.5,1603.5,5153500.0,1603.5
9,2017-01-18,1600.0,1625.5,1597.0,1621.5,4930900.0,1621.5
10,2017-01-19,1631.0,1644.5,1628.5,1642.5,5264100.0,1642.5
11,2017-01-20,1643.0,1656.5,1638.5,1649.0,5191200.0,1649.0
12,2017-01-23,1638.5,1650.0,1626.0,1641.0,5086000.0,1641.0
13,2017-01-24,1644.5,1673.0,1643.5,1661.0,8230900.0,1661.0
14,2017-01-25,1682.0,1686.5,1655.0,1666.0,6474100.0,1666.0
15,2017-01-26,1682.0,1700.0,1676.0,1699.5,10150400.0,1699.5
16,2017-01-27,1699.5,1699.5,1687.5,1693.5,4633900.0,1693.5
17,2017-01-30,1691.5,1691.5,1674.0,1679.0,3917100.0,1679.0
18,2017-01-31,1655.0,1675.0,1653.0,1656.5,6209000.0,1656.5
19,2017-02-01,1630.0,1662.5,1628.0,1659.0,5281200.0,1659.0
20,2017-02-02,1670.0,1671.0,1643.0,1655.0,5729300.0,1655.0
21,2017-02-03,1659.5,1672.0,1643.5,1645.0,4957500.0,1645.0
22,2017-02-06,1650.0,1655.5,1641.5,1648.0,3799400.0,1648.0
23,2017-02-07,1652.5,1661.5,1648.0,1654.0,4406200.0,1654.0
24,2017-02-08,1664.0,1698.5,1658.5,1695.0,11045000.0,1695.0
25,2017-02-09,1687.0,1690.0,1670.0,1673.5,6595300.0,1673.5
26,2017-02-10,1695.0,1697.5,1685.5,1686.0,7541300.0,1686.0
27,2017-02-13,1695.5,1710.0,1691.0,1702.0,8824700.0,1702.0
28,2017-02-14,1707.0,1708.0,1691.0,1693.0,5542600.0,1693.0
29,2017-02-15,1709.5,1713.5,1705.0,1708.0,5641000.0,1708.0
30,2017-02-16,1712.0,1713.0,1696.5,1698.0,5148300.0,1698.0
31,2017-02-17,1691.0,1699.0,1682.5,1694.5,3475500.0,1694.5
32,2017-02-20,1684.5,1707.0,1673.5,1703.0,4172300.0,1703.0
33,2017-02-21,1709.5,1720.0,1704.0,1714.0,5398100.0,1714.0
34,2017-02-22,1725.0,1740.0,1722.5,1738.5,7115500.0,1738.5
35,2017-02-23,1740.0,1744.0,1728.0,1741.0,6497600.0,1741.0
36,2017-02-24,1747.0,1750.0,1722.5,1723.5,6500600.0,1723.5
37,2017-02-27,1700.0,1715.5,1691.0,1709.5,5928700.0,1709.5
38,2017-02-28,1720.0,1737.0,1717.5,1719.0,5902600.0,1719.0
39,2017-03-01,1727.5,1753.0,1713.5,1736.5,6862000.0,1736.5
40,2017-03-02,1751.0,1751.5,1732.5,1733.5,5262300.0,1733.5
41,2017-03-03,1722.0,1728.0,1707.5,1713.5,5292300.0,1713.5
42,2017-03-06,1707.5,1714.0,1707.0,1708.0,2559500.0,1708.0
43,2017-03-07,1712.5,1724.0,1711.0,1718.0,4325100.0,1718.0
44,2017-03-08,1713.0,1716.0,1706.5,1712.5,4653200.0,1712.5
45,2017-03-09,1707.0,1709.0,1690.5,1697.0,4963500.0,1697.0
46,2017-03-10,1697.0,1701.5,1690.5,1695.0,7121300.0,1695.0
47,2017-03-13,1690.0,1707.5,1690.0,1697.0,4272900.0,1697.0
48,2017-03-14,1710.5,1714.0,1695.5,1696.5,4085600.0,1696.5
49,2017-03-15,1693.0,1697.5,1685.0,1688.0,5115500.0,1688.0
50,2017-03-16,1691.0,1699.0,1681.0,1685.0,6220100.0,1685.0
51,2017-03-17,1680.0,1680.5,1665.0,1671.5,11933400.0,1671.5
52,2017-03-21,1668.5,1683.0,1667.0,1679.0,5505000.0,1679.0
53,2017-03-22,1655.0,1664.0,1632.0,1637.5,8527900.0,1637.5
