,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1670.0,1691.5,1668.0,1684.0,2383800.0,1684.0
1,2017-01-05,1701.0,1717.0,1696.0,1698.5,3216000.0,1698.5
2,2017-01-06,1696.0,1706.0,1690.5,1699.5,1909400.0,1699.5
3,2017-01-10,1699.0,1704.5,1684.5,1688.0,2478500.0,1688.0
4,2017-01-11,1690.5,1702.0,1689.5,1699.0,1709200.0,1699.0
5,2017-01-12,1707.5,1733.5,1695.0,1719.0,5478700.0,1719.0
6,2017-01-13,1740.0,1747.5,1721.5,1727.0,3622800.0,1727.0
7,2017-01-16,1719.0,1723.0,1701.0,1703.5,2559400.0,1703.5
8,2017-01-17,1700.0,1701.0,1668.5,1668.5,2681100.0,1668.5
9,2017-01-18,1661.0,1676.5,1655.5,1665.5,2226900.0,1665.5
10,2017-01-19,1675.0,1687.0,1666.5,1670.0,1912100.0,1670.0
11,2017-01-20,1660.0,1669.5,1656.5,1668.0,1780200.0,1668.0
12,2017-01-23,1657.5,1659.5,1632.0,1634.0,2657100.0,1634.0
13,2017-01-24,1630.0,1641.5,1623.0,1625.5,1767000.0,1625.5
14,2017-01-25,1649.0,1653.0,1631.5,1638.5,1834200.0,1638.5
15,2017-01-26,1646.0,1657.0,1640.0,1648.5,2127900.0,1648.5
16,2017-01-27,1658.5,1660.5,1647.0,1652.5,1756500.0,1652.5
17,2017-01-30,1653.0,1658.0,1643.5,1657.0,1523900.0,1657.0
18,2017-01-31,1647.0,1651.5,1631.0,1631.0,2654100.0,1631.0
19,2017-02-01,1630.0,1646.5,1618.0,1643.0,1852700.0,1643.0
20,2017-02-02,1639.5,1640.0,1609.0,1613.5,2793300.0,1613.5
21,2017-02-03,1613.5,1628.5,1611.5,1615.0,1615600.0,1615.0
22,2017-02-06,1630.0,1632.5,1616.0,1618.5,1390900.0,1618.5
23,2017-02-07,1618.0,1628.0,1617.5,1624.5,1398100.0,1624.5
24,2017-02-08,1630.0,1636.0,1626.5,1634.0,1325400.0,1634.0
25,2017-02-09,1634.0,1641.5,1632.5,1637.5,1410400.0,1637.5
26,2017-02-10,1661.5,1669.0,1648.0,1668.0,2311000.0,1668.0
27,2017-02-13,1684.5,1694.5,1674.5,1689.5,2079000.0,1689.5
28,2017-02-14,1688.0,1689.5,1666.0,1667.0,2325800.0,1667.0
29,2017-02-15,1683.0,1683.5,1673.0,1674.5,1389600.0,1674.5
30,2017-02-16,1680.5,1684.0,1667.5,1676.5,1876900.0,1676.5
31,2017-02-17,1674.0,1687.0,1672.0,1685.0,2081000.0,1685.0
32,2017-02-20,1691.0,1706.5,1685.0,1703.0,2524500.0,1703.0
33,2017-02-21,1705.0,1726.0,1701.5,1719.5,2481400.0,1719.5
34,2017-02-22,1723.0,1723.5,1704.5,1708.5,3803200.0,1708.5
35,2017-02-23,1708.0,1710.5,1687.0,1690.0,6465000.0,1690.0
36,2017-02-24,1650.5,1671.5,1645.5,1666.0,3887400.0,1666.0
37,2017-02-27,1655.0,1677.0,1652.5,1673.5,2471900.0,1673.5
38,2017-02-28,1677.0,1698.5,1671.5,1675.0,3007400.0,1675.0
39,2017-03-01,1684.5,1691.5,1672.5,1689.5,2292600.0,1689.5
40,2017-03-02,1700.0,1700.0,1683.5,1688.5,1850200.0,1688.5
41,2017-03-03,1692.0,1697.0,1672.5,1681.0,1663500.0,1681.0
42,2017-03-06,1675.0,1676.0,1660.0,1663.5,1402700.0,1663.5
43,2017-03-07,1660.0,1676.0,1658.0,1675.0,1666100.0,1675.0
44,2017-03-08,1661.5,1666.0,1639.5,1640.5,2570000.0,1640.5
45,2017-03-09,1643.0,1644.5,1633.5,1638.0,1466000.0,1638.0
46,2017-03-10,1646.0,1651.0,1635.5,1648.0,3162900.0,1648.0
47,2017-03-13,1645.0,1659.0,1641.5,1659.0,1214800.0,1659.0
48,2017-03-14,1651.5,1656.5,1648.0,1649.5,1306200.0,1649.5
49,2017-03-15,1640.0,1649.0,1637.0,1646.0,1760900.0,1646.0
50,2017-03-16,1637.5,1648.5,1637.5,1644.0,2379900.0,1644.0
51,2017-03-17,1635.0,1639.0,1618.5,1619.5,4069900.0,1619.5
52,2017-03-21,1618.5,1643.5,1618.5,1636.5,1743000.0,1636.5
53,2017-03-22,1615.0,1623.5,1612.5,1612.5,1994500.0,1612.5
54,2017-03-23,1615.5,1618.0,1606.5,1615.0,1621600.0,1615.0
55,2017-03-24,1617.0,1644.5,1615.0,1642.0,1837300.0,1642.0
56,2017-03-27,1631.5,1632.5,1614.0,1618.5,1893700.0,1618.5
57,2017-03-28,1629.5,1649.5,1626.0,1649.5,2273800.0,1649.5
58,2017-03-29,1650.0,1673.0,1649.5,1669.0,2288900.0,1669.0
59,2017-03-30,1665.0,1665.0,1631.5,1634.0,1657400.0,1634.0
60,2017-03-31,1644.0,1653.5,1625.0,1625.0,2692500.0,1625.0
61,2017-04-03,1630.0,1648.0,1627.5,1641.0,1901700.0,1641.0
62,2017-04-04,1631.5,1636.0,1613.0,1622.0,2092800.0,1622.0
63,2017-04-05,1626.0,1641.0,1625.5,1639.0,1920700.0,1639.0
64,2017-04-06,1633.0,1636.0,1611.0,1613.5,1977400.0,1613.5
65,2017-04-07,1627.0,1648.0,1623.5,1640.0,2485900.0,1640.0
66,2017-04-10,1650.0,1664.0,1644.0,1652.0,1942900.0,1652.0
67,2017-04-11,1648.0,1664.5,1647.0,1663.0,1896900.0,1663.0
68,2017-04-12,1652.0,1665.5,1642.5,1665.0,2801400.0,1665.0
69,2017-04-13,1615.0,1622.5,1577.0,1591.5,6003400.0,1591.5
70,2017-04-14,1592.5,1597.5,1580.5,1585.0,3620800.0,1585.0
71,2017-04-17,1589.5,1615.0,1585.5,1607.0,2623300.0,1607.0
72,2017-04-18,1608.0,1609.0,1591.0,1604.5,2704400.0,1604.5
73,2017-04-19,1606.5,1636.0,1604.0,1621.5,3030400.0,1621.5
74,2017-04-20,1623.5,1625.5,1610.5,1616.5,2065300.0,1616.5
75,2017-04-21,1627.5,1637.0,1620.0,1633.0,1864600.0,1633.0
76,2017-04-24,1649.0,1663.0,1645.5,1658.0,2307900.0,1658.0
77,2017-04-25,1658.0,1658.0,1643.5,1650.5,2054200.0,1650.5
78,2017-04-26,1654.5,1665.0,1645.5,1662.0,1896100.0,1662.0
79,2017-04-27,1650.0,1669.0,1649.5,1654.0,1838100.0,1654.0
80,2017-04-28,1654.0,1664.0,1653.5,1653.5,1673900.0,1653.5
81,2017-05-01,1645.5,1659.0,1640.0,1657.0,1450900.0,1657.0
82,2017-05-02,1664.0,1682.5,1662.5,1679.5,2349600.0,1679.5
83,2017-05-08,1692.0,1704.5,1686.5,1703.5,3166600.0,1703.5
84,2017-05-09,1703.5,1709.5,1699.0,1705.5,1911400.0,1705.5
85,2017-05-10,1708.5,1711.0,1696.0,1697.0,1836700.0,1697.0
86,2017-05-11,1700.0,1702.5,1686.0,1689.0,1662200.0,1689.0
87,2017-05-12,1683.5,1699.0,1678.0,1695.0,2347300.0,1695.0
88,2017-05-15,1681.0,1709.0,1680.0,1709.0,2051100.0,1709.0
89,2017-05-16,1687.5,1698.0,1675.0,1685.0,2635400.0,1685.0
90,2017-05-17,1680.0,1689.5,1669.0,1673.5,1987000.0,1673.5
91,2017-05-18,1661.0,1669.5,1658.5,1666.5,1768200.0,1666.5
92,2017-05-19,1664.5,1664.5,1646.5,1651.5,2365000.0,1651.5
93,2017-05-22,1655.5,1669.0,1654.0,1662.0,1296200.0,1662.0
94,2017-05-23,1662.0,1674.0,1657.5,1658.5,1406600.0,1658.5
95,2017-05-24,1672.0,1674.0,1665.0,1672.5,1451000.0,1672.5
96,2017-05-25,1675.5,1675.5,1660.5,1666.0,1667800.0,1666.0
97,2017-05-26,1666.0,1668.0,1650.5,1650.5,1454700.0,1650.5
98,2017-05-29,1657.0,1669.5,1652.0,1667.0,1092300.0,1667.0
99,2017-05-30,1669.0,1674.0,1656.0,1668.0,1346600.0,1668.0
100,2017-05-31,1670.0,1673.5,1658.0,1673.0,4714100.0,1673.0
101,2017-06-01,1666.5,1674.5,1658.5,1670.5,2572700.0,1670.5
102,2017-06-02,1675.5,1696.0,1666.0,1692.0,3242900.0,1692.0
103,2017-06-05,1691.0,1714.5,1677.0,1709.5,2456500.0,1709.5
104,2017-06-06,1707.0,1710.0,1693.0,1694.5,1806900.0,1694.5
105,2017-06-07,1685.0,1686.0,1672.5,1679.0,2092600.0,1679.0
106,2017-06-08,1684.0,1691.5,1674.0,1675.5,1501000.0,1675.5
107,2017-06-09,1671.0,1677.5,1665.5,1667.0,2594800.0,1667.0
108,2017-06-12,1675.0,1693.0,1674.5,1692.5,2056900.0,1692.5
109,2017-06-13,1690.0,1708.5,1686.0,1704.5,1632100.0,1704.5
110,2017-06-14,1698.5,1709.0,1691.0,1696.5,2368600.0,1696.5
111,2017-06-15,1696.0,1719.0,1695.5,1716.0,2218900.0,1716.0
112,2017-06-16,1720.0,1730.0,1718.0,1725.5,2693500.0,1725.5
113,2017-06-19,1717.0,1734.5,1713.5,1733.5,2056300.0,1733.5
114,2017-06-20,1736.5,1754.0,1735.0,1737.0,3224600.0,1737.0
115,2017-06-21,1739.0,1739.5,1724.5,1726.5,1995600.0,1726.5
116,2017-06-22,1727.0,1728.0,1709.0,1711.0,1903600.0,1711.0
117,2017-06-23,1712.0,1713.0,1698.0,1708.5,1378600.0,1708.5
118,2017-06-26,1710.0,1720.5,1707.5,1707.5,1576800.0,1707.5
119,2017-06-27,1720.0,1723.5,1709.0,1711.5,1114300.0,1711.5
120,2017-06-28,1711.5,1715.5,1707.5,1710.0,1474100.0,1710.0
121,2017-06-29,1720.5,1721.0,1710.0,1714.0,1535400.0,1714.0
122,2017-06-30,1700.0,1707.0,1696.0,1707.0,2570100.0,1707.0
123,2017-07-03,1709.5,1710.5,1699.0,1704.0,1644600.0,1704.0
124,2017-07-04,1712.0,1719.0,1700.0,1704.0,1463400.0,1704.0
125,2017-07-05,1704.0,1704.5,1685.0,1695.5,1908900.0,1695.5
126,2017-07-06,1727.0,1747.5,1718.5,1737.0,4268900.0,1737.0
127,2017-07-07,1727.0,1747.5,1724.5,1734.0,3162400.0,1734.0
128,2017-07-10,1735.5,1737.0,1717.0,1718.0,2302900.0,1718.0
129,2017-07-11,1715.0,1726.5,1702.5,1718.5,2224500.0,1718.5
130,2017-07-12,1717.0,1724.0,1714.5,1722.0,1500000.0,1722.0
131,2017-07-13,1724.0,1736.5,1717.0,1717.0,1557300.0,1717.0
132,2017-07-14,1723.5,1726.0,1719.0,1722.0,1325700.0,1722.0
133,2017-07-18,1721.0,1725.0,1698.0,1701.0,2148100.0,1701.0
134,2017-07-19,1700.5,1705.0,1692.5,1703.5,1352800.0,1703.5
135,2017-07-20,1705.0,1715.5,1702.0,1713.0,1267200.0,1713.0
136,2017-07-21,1707.5,1712.5,1703.5,1709.0,1317800.0,1709.0
137,2017-07-24,1702.5,1703.0,1693.0,1695.5,1907800.0,1695.5
138,2017-07-25,1698.0,1698.5,1674.0,1674.5,3307600.0,1674.5
139,2017-07-26,1682.0,1683.0,1673.0,1673.0,1751800.0,1673.0
140,2017-07-27,1673.5,1677.0,1665.0,1668.0,2269300.0,1668.0
141,2017-07-28,1668.5,1672.5,1665.0,1666.5,1620100.0,1666.5
142,2017-07-31,1665.0,1671.0,1653.5,1662.5,2603800.0,1662.5
143,2017-08-01,1674.0,1691.5,1667.5,1688.5,1699500.0,1688.5
144,2017-08-02,1695.0,1696.0,1680.5,1682.5,1429700.0,1682.5
145,2017-08-03,1687.5,1694.5,1684.0,1689.0,1452400.0,1689.0
146,2017-08-04,1685.0,1690.0,1672.5,1688.0,1462400.0,1688.0
147,2017-08-07,1690.0,1692.0,1685.0,1686.5,1244400.0,1686.5
148,2017-08-08,1690.0,1691.5,1682.0,1690.5,1285500.0,1690.5
149,2017-08-09,1690.5,1695.0,1680.0,1687.5,1894200.0,1687.5
150,2017-08-10,1695.5,1699.0,1690.0,1697.5,1814500.0,1697.5
151,2017-08-14,1693.5,1694.5,1675.0,1675.0,2265400.0,1675.0
152,2017-08-15,1683.0,1695.0,1679.5,1692.0,1559800.0,1692.0
153,2017-08-16,1690.0,1693.5,1683.5,1683.5,1390200.0,1683.5
154,2017-08-17,1683.0,1684.0,1674.0,1675.0,1517500.0,1675.0
155,2017-08-18,1666.5,1666.5,1659.5,1660.0,2950900.0,1660.0
156,2017-08-21,1667.5,1671.5,1661.0,1670.5,1555400.0,1670.5
157,2017-08-22,1673.0,1673.5,1665.0,1665.5,1543200.0,1665.5
158,2017-08-23,1675.0,1675.0,1665.0,1667.0,1710100.0,1667.0
159,2017-08-24,1667.0,1667.0,1660.0,1660.0,2149300.0,1660.0
160,2017-08-25,1660.0,1662.0,1650.0,1650.5,3363800.0,1650.5
161,2017-08-28,1659.0,1666.0,1656.0,1662.5,4915600.0,1662.5
162,2017-08-29,1635.5,1637.0,1615.5,1621.0,4413700.0,1621.0
163,2017-08-30,1625.0,1631.0,1620.0,1624.5,2384200.0,1624.5
164,2017-08-31,1624.0,1635.5,1620.5,1622.0,2819600.0,1622.0
165,2017-09-01,1627.5,1632.0,1619.0,1625.5,1677000.0,1625.5
166,2017-09-04,1622.0,1623.5,1601.0,1602.0,2278300.0,1602.0
167,2017-09-05,1610.0,1611.0,1598.0,1603.0,1999300.0,1603.0
168,2017-09-06,1590.0,1604.0,1586.0,1601.5,3344400.0,1601.5
169,2017-09-07,1601.5,1612.5,1596.0,1603.0,1669200.0,1603.0
170,2017-09-08,1599.5,1603.5,1579.0,1583.5,4150800.0,1583.5
171,2017-09-11,1593.0,1602.5,1593.0,1597.0,1720200.0,1597.0
172,2017-09-12,1607.5,1614.0,1603.5,1611.0,1535400.0,1611.0
173,2017-09-13,1620.5,1624.5,1618.0,1621.5,1419900.0,1621.5
174,2017-09-14,1619.0,1621.0,1606.5,1615.0,1585600.0,1615.0
175,2017-09-15,1610.0,1618.0,1607.0,1616.5,2814400.0,1616.5
176,2017-09-19,1626.0,1639.0,1622.0,1638.5,2681300.0,1638.5
177,2017-09-20,1635.0,1637.0,1630.5,1632.5,2582900.0,1632.5
178,2017-09-21,1640.5,1652.0,1634.5,1636.0,2163500.0,1636.0
179,2017-09-22,1640.5,1641.0,1620.0,1620.5,1444600.0,1620.5
180,2017-09-25,1658.5,1672.5,1646.5,1654.0,3917400.0,1654.0
181,2017-09-26,1656.5,1662.5,1654.0,1662.5,2664600.0,1662.5
182,2017-09-27,1662.5,1668.0,1658.0,1667.0,1788200.0,1667.0
183,2017-09-28,1672.5,1673.0,1656.5,1663.5,1993900.0,1663.5
184,2017-09-29,1657.5,1662.5,1644.5,1662.5,2166800.0,1662.5
185,2017-10-02,1664.0,1666.0,1647.5,1653.5,1477700.0,1653.5
186,2017-10-03,1659.0,1668.5,1653.5,1668.5,2012300.0,1668.5
187,2017-10-04,1670.0,1684.0,1666.5,1679.5,2638300.0,1679.5
188,2017-10-05,1683.5,1715.0,1681.5,1714.5,5774600.0,1714.5
189,2017-10-06,1706.5,1706.5,1687.0,1691.5,2676100.0,1691.5
190,2017-10-10,1692.5,1712.0,1688.0,1710.5,3133200.0,1710.5
191,2017-10-11,1704.0,1713.5,1703.0,1713.0,1964900.0,1713.0
192,2017-10-12,1707.0,1714.0,1702.5,1712.5,1877000.0,1712.5
193,2017-10-13,1701.0,1730.0,1701.0,1728.0,4443400.0,1728.0
194,2017-10-16,1730.0,1749.0,1727.0,1748.0,2998800.0,1748.0
195,2017-10-17,1748.5,1750.0,1725.0,1733.5,3349700.0,1733.5
196,2017-10-18,1740.0,1753.0,1740.0,1747.0,3171100.0,1747.0
197,2017-10-19,1749.0,1752.5,1734.0,1735.5,2017100.0,1735.5
198,2017-10-20,1733.0,1747.0,1731.0,1743.0,2101500.0,1743.0
199,2017-10-23,1750.0,1752.0,1731.0,1733.0,2251700.0,1733.0
200,2017-10-24,1730.0,1733.5,1720.0,1731.0,2202800.0,1731.0
201,2017-10-25,1734.5,1734.5,1708.0,1712.0,2273200.0,1712.0
202,2017-10-26,1713.0,1731.5,1711.5,1724.0,2671100.0,1724.0
203,2017-10-27,1733.0,1742.0,1726.0,1742.0,2326600.0,1742.0
204,2017-10-30,1735.0,1738.5,1727.5,1730.0,4549800.0,1730.0
205,2017-10-31,1728.0,1751.0,1722.5,1750.5,2968300.0,1750.5
206,2017-11-01,1755.0,1762.5,1744.5,1748.5,2785100.0,1748.5
207,2017-11-02,1754.0,1757.0,1747.5,1751.0,2107800.0,1751.0
208,2017-11-06,1753.0,1759.0,1734.0,1739.0,2626200.0,1739.0
209,2017-11-07,1733.0,1766.0,1727.5,1766.0,2995600.0,1766.0
210,2017-11-08,1766.0,1770.0,1756.0,1763.5,1967100.0,1763.5
211,2017-11-09,1766.0,1787.0,1741.5,1759.5,3424800.0,1759.5
212,2017-11-10,1742.5,1758.0,1735.0,1747.0,2330300.0,1747.0
213,2017-11-13,1740.5,1743.5,1718.0,1718.5,1825800.0,1718.5
214,2017-11-15,1701.0,1708.0,1683.5,1705.0,3865400.0,1705.0
