,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4949.0,4973.0,4900.0,4917.0,3898100.0,4917.0
1,2017-01-05,4950.0,4978.0,4920.0,4971.0,3763200.0,4971.0
2,2017-01-06,4831.0,4926.0,4830.0,4917.0,2949700.0,4917.0
3,2017-01-10,4872.0,4888.0,4806.0,4806.0,2662200.0,4806.0
4,2017-01-11,4847.0,4861.0,4799.0,4811.0,2635200.0,4811.0
5,2017-01-12,4741.0,4754.0,4685.0,4717.0,3939600.0,4717.0
6,2017-01-13,4700.0,4768.0,4696.0,4766.0,2626500.0,4766.0
7,2017-01-16,4752.0,4756.0,4682.0,4687.0,2488600.0,4687.0
8,2017-01-17,4687.0,4708.0,4639.0,4675.0,3172400.0,4675.0
9,2017-01-18,4638.0,4693.0,4612.0,4677.0,3242800.0,4677.0
10,2017-01-19,4790.0,4799.0,4687.0,4697.0,2318400.0,4697.0
11,2017-01-20,4730.0,4840.0,4701.0,4812.0,3202600.0,4812.0
12,2017-01-23,4717.0,4777.0,4699.0,4737.0,2481000.0,4737.0
13,2017-01-24,4678.0,4701.0,4640.0,4649.0,2021600.0,4649.0
14,2017-01-25,4723.0,4732.0,4645.0,4664.0,1744800.0,4664.0
15,2017-01-26,4731.0,4841.0,4730.0,4804.0,3002700.0,4804.0
16,2017-01-27,4868.0,4923.0,4853.0,4877.0,3050700.0,4877.0
17,2017-01-30,4828.0,4829.0,4765.0,4780.0,1922600.0,4780.0
18,2017-01-31,4714.0,4783.0,4706.0,4731.0,1817900.0,4731.0
19,2017-02-01,4679.0,4741.0,4662.0,4730.0,1939300.0,4730.0
20,2017-02-02,4734.0,4747.0,4690.0,4705.0,1930500.0,4705.0
21,2017-02-03,4698.0,4802.0,4695.0,4731.0,2307300.0,4731.0
22,2017-02-06,4799.0,4812.0,4734.0,4736.0,1837400.0,4736.0
23,2017-02-07,4681.0,4735.0,4673.0,4705.0,1191900.0,4705.0
