,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2751.0,2816.5,2750.0,2816.5,5224000.0,2816.5
1,2017-01-05,2825.0,2837.5,2765.5,2782.0,5419000.0,2782.0
2,2017-01-06,2729.0,2794.5,2726.0,2793.5,3346000.0,2793.5
3,2017-01-10,2778.5,2817.0,2761.5,2761.5,3574000.0,2761.5
4,2017-01-11,2729.0,2731.0,2691.0,2699.5,5246000.0,2699.5
5,2017-01-12,2699.5,2705.0,2661.5,2680.5,4232000.0,2680.5
6,2017-01-13,2655.0,2708.0,2652.5,2686.5,4169000.0,2686.5
7,2017-01-16,2690.5,2690.5,2628.0,2639.5,3943000.0,2639.5
8,2017-01-17,2605.0,2630.0,2562.0,2567.5,5464000.0,2567.5
9,2017-01-18,2580.5,2651.0,2570.0,2639.5,6839000.0,2639.5
10,2017-01-19,2668.5,2672.0,2629.0,2638.0,4533000.0,2638.0
11,2017-01-20,2633.0,2654.5,2615.0,2646.5,3753000.0,2646.5
12,2017-01-23,2619.0,2631.0,2586.5,2614.0,3646000.0,2614.0
13,2017-01-24,2610.5,2632.0,2592.0,2592.0,3594000.0,2592.0
14,2017-01-25,2629.0,2657.0,2599.0,2619.5,4296000.0,2619.5
15,2017-01-26,2636.0,2668.5,2625.0,2660.0,3962000.0,2660.0
16,2017-01-27,2683.0,2683.0,2658.0,2670.0,2526000.0,2670.0
17,2017-01-30,2660.5,2675.5,2649.0,2666.5,3364000.0,2666.5
18,2017-01-31,2619.5,2642.0,2601.0,2616.5,4023000.0,2616.5
19,2017-02-01,2620.0,2624.0,2583.5,2612.5,3201000.0,2612.5
20,2017-02-02,2603.5,2605.5,2548.5,2557.5,3786000.0,2557.5
21,2017-02-03,2572.5,2597.0,2547.5,2575.5,3182000.0,2575.5
22,2017-02-06,2608.0,2619.0,2584.5,2590.0,2716000.0,2590.0
23,2017-02-07,2566.0,2607.5,2561.5,2595.0,2560000.0,2595.0
24,2017-02-08,2612.5,2634.0,2609.0,2630.5,2440000.0,2630.5
25,2017-02-09,2620.5,2645.0,2613.0,2633.0,3098000.0,2633.0
26,2017-02-10,2690.0,2737.0,2670.0,2719.0,5002000.0,2719.0
27,2017-02-13,2736.5,2736.5,2687.0,2696.5,3684000.0,2696.5
28,2017-02-14,2719.0,2729.5,2678.0,2678.5,3692000.0,2678.5
29,2017-02-15,2700.0,2715.0,2683.5,2710.5,3342000.0,2710.5
30,2017-02-16,2716.0,2739.5,2700.5,2709.0,4224000.0,2709.0
31,2017-02-17,2670.0,2677.0,2616.0,2630.0,5138000.0,2630.0
32,2017-02-20,2598.0,2626.0,2587.5,2622.5,3854000.0,2622.5
33,2017-02-21,2622.5,2655.5,2616.5,2652.5,2485000.0,2652.5
34,2017-02-22,2659.5,2667.5,2613.5,2621.0,3515000.0,2621.0
35,2017-02-23,2619.5,2639.5,2616.0,2628.0,3987000.0,2628.0
36,2017-02-24,2605.0,2633.0,2593.0,2609.0,3035000.0,2609.0
37,2017-02-27,2571.0,2576.0,2534.0,2542.5,5174000.0,2542.5
38,2017-02-28,2551.5,2571.0,2541.5,2543.0,4418000.0,2543.0
39,2017-03-01,2570.5,2579.5,2542.5,2566.5,4250000.0,2566.5
40,2017-03-02,2666.5,2668.5,2607.0,2614.5,6529000.0,2614.5
41,2017-03-03,2603.0,2616.5,2568.5,2583.0,2967000.0,2583.0
42,2017-03-06,2577.5,2580.0,2541.0,2551.5,3115000.0,2551.5
43,2017-03-07,2545.0,2561.5,2535.0,2540.5,3222000.0,2540.5
44,2017-03-08,2530.0,2545.5,2526.5,2542.0,2850000.0,2542.0
45,2017-03-09,2552.0,2555.0,2527.0,2539.0,2939000.0,2539.0
46,2017-03-10,2555.0,2576.0,2548.5,2572.0,4304000.0,2572.0
47,2017-03-13,2565.0,2582.0,2561.0,2582.0,2089000.0,2582.0
48,2017-03-14,2579.0,2579.0,2550.0,2554.5,2294000.0,2554.5
49,2017-03-15,2525.0,2546.5,2516.0,2546.0,2941000.0,2546.0
50,2017-03-16,2533.0,2559.0,2526.0,2554.5,2501000.0,2554.5
51,2017-03-17,2540.5,2546.5,2516.0,2518.5,4287000.0,2518.5
52,2017-03-21,2485.5,2495.5,2451.5,2475.5,4859000.0,2475.5
53,2017-03-22,2414.5,2450.0,2411.5,2413.0,4466000.0,2413.0
54,2017-03-23,2402.5,2474.5,2402.5,2456.5,4109000.0,2456.5
55,2017-03-24,2454.0,2479.0,2434.5,2462.0,3022000.0,2462.0
56,2017-03-27,2412.0,2421.0,2385.5,2393.0,3759000.0,2393.0
57,2017-03-28,2421.5,2431.5,2400.5,2428.5,3919000.0,2428.5
58,2017-03-29,2429.0,2431.0,2401.0,2419.0,3075000.0,2419.0
59,2017-03-30,2409.5,2418.0,2394.0,2402.0,2724000.0,2402.0
60,2017-03-31,2410.5,2427.0,2374.0,2374.0,4396000.0,2374.0
61,2017-04-03,2383.0,2391.0,2353.0,2367.5,4111100.0,2367.5
62,2017-04-04,2368.0,2382.0,2344.5,2375.0,4849600.0,2375.0
63,2017-04-05,2375.0,2383.5,2338.0,2354.5,4648900.0,2354.5
64,2017-04-06,2377.5,2385.0,2322.0,2329.0,4876100.0,2329.0
65,2017-04-07,2350.5,2380.0,2338.0,2362.0,4533800.0,2362.0
66,2017-04-10,2383.0,2389.5,2347.5,2363.5,3942600.0,2363.5
67,2017-04-11,2360.5,2412.5,2356.5,2405.5,4936900.0,2405.5
68,2017-04-12,2408.0,2428.0,2390.0,2419.0,6078400.0,2419.0
