,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,19335.0,19715.0,19330.0,19670.0,428600.0,19670.0
1,2017-01-05,19660.0,19835.0,19555.0,19615.0,378400.0,19615.0
2,2017-01-06,19415.0,19755.0,19345.0,19705.0,412700.0,19705.0
3,2017-01-10,19795.0,19795.0,19390.0,19390.0,406200.0,19390.0
4,2017-01-11,19520.0,19650.0,19450.0,19585.0,291500.0,19585.0
5,2017-01-12,19600.0,19600.0,19255.0,19355.0,397400.0,19355.0
6,2017-01-13,19500.0,19735.0,19365.0,19735.0,509200.0,19735.0
7,2017-01-16,19605.0,19625.0,19310.0,19380.0,399800.0,19380.0
8,2017-01-17,19300.0,19530.0,19185.0,19265.0,428900.0,19265.0
9,2017-01-18,19190.0,19285.0,18955.0,19240.0,409300.0,19240.0
10,2017-01-19,19450.0,19560.0,19375.0,19470.0,436200.0,19470.0
11,2017-01-20,19295.0,19350.0,19170.0,19240.0,429600.0,19240.0
12,2017-01-23,19100.0,19100.0,18885.0,18945.0,349100.0,18945.0
13,2017-01-24,18800.0,18820.0,18645.0,18690.0,409400.0,18690.0
14,2017-01-25,18865.0,18955.0,18590.0,18655.0,440700.0,18655.0
15,2017-01-26,18790.0,18930.0,18715.0,18875.0,432600.0,18875.0
16,2017-01-27,19005.0,19160.0,18865.0,18885.0,349900.0,18885.0
17,2017-01-30,18830.0,18860.0,18695.0,18820.0,319400.0,18820.0
18,2017-01-31,18440.0,18460.0,18135.0,18270.0,710600.0,18270.0
19,2017-02-01,18245.0,18535.0,18205.0,18505.0,415300.0,18505.0
20,2017-02-02,18730.0,18750.0,18225.0,18260.0,489700.0,18260.0
21,2017-02-03,18200.0,18245.0,18045.0,18120.0,466700.0,18120.0
22,2017-02-06,18250.0,18300.0,18025.0,18070.0,482200.0,18070.0
23,2017-02-07,18000.0,18125.0,17980.0,17995.0,424700.0,17995.0
24,2017-02-08,18075.0,18085.0,17910.0,17990.0,423500.0,17990.0
25,2017-02-09,17990.0,18120.0,17925.0,18025.0,393800.0,18025.0
26,2017-02-10,18425.0,18605.0,18350.0,18570.0,524400.0,18570.0
27,2017-02-13,18745.0,18765.0,18560.0,18650.0,442000.0,18650.0
28,2017-02-14,18720.0,18720.0,18440.0,18450.0,255600.0,18450.0
29,2017-02-15,18570.0,18610.0,18455.0,18555.0,310200.0,18555.0
30,2017-02-16,18580.0,18730.0,18410.0,18535.0,336900.0,18535.0
31,2017-02-17,18475.0,18590.0,18420.0,18585.0,319700.0,18585.0
32,2017-02-20,18560.0,18655.0,18435.0,18620.0,250200.0,18620.0
33,2017-02-21,18595.0,18795.0,18555.0,18795.0,205000.0,18795.0
34,2017-02-22,18795.0,18800.0,18570.0,18660.0,347100.0,18660.0
35,2017-02-23,18605.0,18605.0,18450.0,18560.0,287900.0,18560.0
36,2017-02-24,18405.0,18575.0,18310.0,18465.0,338000.0,18465.0
37,2017-02-27,18400.0,18460.0,18255.0,18360.0,323000.0,18360.0
38,2017-02-28,18500.0,18700.0,18380.0,18380.0,395700.0,18380.0
39,2017-03-01,18450.0,18555.0,18325.0,18500.0,389900.0,18500.0
40,2017-03-02,18900.0,18900.0,18545.0,18605.0,355300.0,18605.0
41,2017-03-03,18550.0,18575.0,18330.0,18405.0,330000.0,18405.0
42,2017-03-06,18415.0,18460.0,18245.0,18300.0,225600.0,18300.0
43,2017-03-07,18300.0,18390.0,18285.0,18340.0,290800.0,18340.0
44,2017-03-08,18265.0,18325.0,18185.0,18325.0,282500.0,18325.0
45,2017-03-09,18360.0,18360.0,18220.0,18305.0,225500.0,18305.0
46,2017-03-10,18415.0,18490.0,18345.0,18455.0,503800.0,18455.0
47,2017-03-13,18425.0,18695.0,18380.0,18695.0,268200.0,18695.0
48,2017-03-14,18590.0,18640.0,18525.0,18630.0,253500.0,18630.0
49,2017-03-15,18575.0,18575.0,18475.0,18545.0,225400.0,18545.0
50,2017-03-16,18540.0,18675.0,18505.0,18595.0,446100.0,18595.0
51,2017-03-17,18485.0,18555.0,18425.0,18525.0,468300.0,18525.0
52,2017-03-21,18410.0,18560.0,18300.0,18545.0,349700.0,18545.0
53,2017-03-22,18210.0,18390.0,18210.0,18290.0,388600.0,18290.0
54,2017-03-23,18225.0,18485.0,18185.0,18440.0,358100.0,18440.0
55,2017-03-24,18540.0,18800.0,18460.0,18770.0,511700.0,18770.0
56,2017-03-27,18670.0,18755.0,18455.0,18535.0,321500.0,18535.0
57,2017-03-28,18710.0,18775.0,18550.0,18745.0,443300.0,18745.0
58,2017-03-29,18745.0,18745.0,18430.0,18500.0,459400.0,18500.0
59,2017-03-30,18495.0,18650.0,18175.0,18175.0,343300.0,18175.0
60,2017-03-31,18450.0,18600.0,18140.0,18140.0,715200.0,18140.0
61,2017-04-03,18170.0,18270.0,17975.0,18120.0,471700.0,18120.0
62,2017-04-04,18425.0,18595.0,18155.0,18450.0,698200.0,18450.0
63,2017-04-05,18610.0,18720.0,18490.0,18560.0,396100.0,18560.0
64,2017-04-06,18560.0,18615.0,18270.0,18300.0,397000.0,18300.0
65,2017-04-07,18380.0,18535.0,18220.0,18350.0,447100.0,18350.0
66,2017-04-10,18550.0,18780.0,18475.0,18530.0,382500.0,18530.0
67,2017-04-11,18525.0,18675.0,18505.0,18605.0,274700.0,18605.0
68,2017-04-12,18685.0,18685.0,18470.0,18645.0,332400.0,18645.0
69,2017-04-13,18560.0,18595.0,18355.0,18375.0,414200.0,18375.0
70,2017-04-14,18375.0,18375.0,18080.0,18175.0,344200.0,18175.0
71,2017-04-17,18170.0,18470.0,18165.0,18470.0,278400.0,18470.0
72,2017-04-18,18545.0,18570.0,18430.0,18480.0,261500.0,18480.0
73,2017-04-19,18305.0,18400.0,18165.0,18165.0,473600.0,18165.0
74,2017-04-20,18260.0,18265.0,18055.0,18080.0,400000.0,18080.0
75,2017-04-21,18295.0,18320.0,18170.0,18270.0,347800.0,18270.0
76,2017-04-24,18400.0,18645.0,18365.0,18575.0,412600.0,18575.0
77,2017-04-25,18610.0,19025.0,18605.0,19000.0,555500.0,19000.0
78,2017-04-26,19175.0,19175.0,18955.0,19095.0,422100.0,19095.0
79,2017-04-27,19190.0,19195.0,19015.0,19050.0,372700.0,19050.0
80,2017-04-28,18890.0,19100.0,18660.0,18685.0,556700.0,18685.0
81,2017-05-01,18685.0,18715.0,18380.0,18565.0,346000.0,18565.0
82,2017-05-02,18675.0,18735.0,18600.0,18635.0,315200.0,18635.0
83,2017-05-08,18900.0,19085.0,18805.0,19010.0,585700.0,19010.0
84,2017-05-09,19010.0,19070.0,18750.0,18815.0,530200.0,18815.0
85,2017-05-10,18570.0,18770.0,18520.0,18590.0,616000.0,18590.0
86,2017-05-11,18635.0,18635.0,18420.0,18480.0,402100.0,18480.0
87,2017-05-12,18490.0,18595.0,18430.0,18585.0,386500.0,18585.0
88,2017-05-15,18540.0,18630.0,18495.0,18600.0,313000.0,18600.0
89,2017-05-16,18605.0,18665.0,18445.0,18495.0,384800.0,18495.0
90,2017-05-17,18535.0,18535.0,18385.0,18510.0,392700.0,18510.0
91,2017-05-18,18520.0,18620.0,18300.0,18435.0,485400.0,18435.0
92,2017-05-19,18420.0,18420.0,18235.0,18345.0,374600.0,18345.0
93,2017-05-22,18375.0,18395.0,18270.0,18325.0,302500.0,18325.0
94,2017-05-23,18250.0,18345.0,18185.0,18285.0,437600.0,18285.0
95,2017-05-24,18350.0,18370.0,18255.0,18320.0,433800.0,18320.0
96,2017-05-25,18320.0,18585.0,18285.0,18540.0,447300.0,18540.0
97,2017-05-26,18360.0,18475.0,18280.0,18285.0,362000.0,18285.0
98,2017-05-29,18320.0,18345.0,18240.0,18245.0,234800.0,18245.0
99,2017-05-30,18245.0,18285.0,18055.0,18190.0,360300.0,18190.0
100,2017-05-31,18115.0,18135.0,18030.0,18135.0,781900.0,18135.0
101,2017-06-01,18155.0,18445.0,18115.0,18400.0,500900.0,18400.0
102,2017-06-02,18420.0,18660.0,18355.0,18630.0,532600.0,18630.0
103,2017-06-05,18565.0,18740.0,18550.0,18685.0,250800.0,18685.0
104,2017-06-06,18705.0,18765.0,18530.0,18530.0,460000.0,18530.0
105,2017-06-07,18375.0,18465.0,18280.0,18375.0,495200.0,18375.0
106,2017-06-08,18320.0,18340.0,18095.0,18095.0,652100.0,18095.0
107,2017-06-09,18025.0,18115.0,17965.0,18015.0,687100.0,18015.0
108,2017-06-12,18055.0,18160.0,18030.0,18070.0,324000.0,18070.0
109,2017-06-13,18030.0,18145.0,17985.0,18030.0,304100.0,18030.0
110,2017-06-14,18040.0,18260.0,17965.0,18200.0,368700.0,18200.0
111,2017-06-15,18190.0,18415.0,18170.0,18330.0,437000.0,18330.0
112,2017-06-16,18380.0,18435.0,18215.0,18350.0,512500.0,18350.0
113,2017-06-19,18345.0,18500.0,18315.0,18455.0,310200.0,18455.0
114,2017-06-20,18500.0,18570.0,18355.0,18355.0,361900.0,18355.0
115,2017-06-21,18355.0,18485.0,18310.0,18475.0,363000.0,18475.0
116,2017-06-22,18465.0,18470.0,18305.0,18405.0,366800.0,18405.0
117,2017-06-23,18460.0,18535.0,18350.0,18495.0,248800.0,18495.0
118,2017-06-26,18465.0,18540.0,18395.0,18400.0,209500.0,18400.0
119,2017-06-27,18540.0,18555.0,18310.0,18315.0,343600.0,18315.0
120,2017-06-28,18300.0,18370.0,18260.0,18340.0,316300.0,18340.0
121,2017-06-29,18485.0,18485.0,18325.0,18415.0,310200.0,18415.0
122,2017-06-30,18380.0,18390.0,18240.0,18310.0,481900.0,18310.0
123,2017-07-03,18340.0,18365.0,18230.0,18285.0,366100.0,18285.0
124,2017-07-04,18410.0,18460.0,18300.0,18360.0,290100.0,18360.0
125,2017-07-05,18300.0,18300.0,17890.0,18095.0,799600.0,18095.0
126,2017-07-06,18095.0,18100.0,17955.0,18020.0,433200.0,18020.0
127,2017-07-07,17985.0,18015.0,17865.0,17885.0,428400.0,17885.0
128,2017-07-10,17980.0,18030.0,17875.0,17920.0,343400.0,17920.0
129,2017-07-11,17885.0,18005.0,17830.0,17915.0,378600.0,17915.0
130,2017-07-12,17850.0,17925.0,17825.0,17880.0,415100.0,17880.0
131,2017-07-13,18015.0,18015.0,17805.0,17835.0,387800.0,17835.0
132,2017-07-14,17850.0,17950.0,17840.0,17915.0,382800.0,17915.0
133,2017-07-18,17900.0,17990.0,17755.0,17825.0,383800.0,17825.0
134,2017-07-19,17730.0,17815.0,17710.0,17795.0,375500.0,17795.0
135,2017-07-20,17845.0,17985.0,17780.0,17960.0,353100.0,17960.0
136,2017-07-21,17865.0,17895.0,17760.0,17790.0,359000.0,17790.0
137,2017-07-24,17750.0,17765.0,17565.0,17585.0,348300.0,17585.0
138,2017-07-25,17600.0,17670.0,17550.0,17585.0,318800.0,17585.0
139,2017-07-26,17665.0,17665.0,17525.0,17565.0,301100.0,17565.0
140,2017-07-27,17570.0,17705.0,17540.0,17540.0,396600.0,17540.0
141,2017-07-28,17565.0,17735.0,17555.0,17710.0,369600.0,17710.0
142,2017-07-31,17785.0,17830.0,17680.0,17750.0,529500.0,17750.0
143,2017-08-01,17800.0,18060.0,17775.0,18060.0,496900.0,18060.0
144,2017-08-02,18150.0,18155.0,17970.0,18015.0,291000.0,18015.0
145,2017-08-03,18020.0,18135.0,18020.0,18065.0,243700.0,18065.0
146,2017-08-04,17925.0,17965.0,17835.0,17865.0,310500.0,17865.0
147,2017-08-07,17935.0,18035.0,17870.0,17875.0,282700.0,17875.0
148,2017-08-08,18010.0,18095.0,17910.0,17945.0,457200.0,17945.0
149,2017-08-09,18085.0,18140.0,17945.0,18065.0,534500.0,18065.0
150,2017-08-10,18150.0,18220.0,18035.0,18215.0,529300.0,18215.0
151,2017-08-14,18305.0,18310.0,18055.0,18155.0,428100.0,18155.0
152,2017-08-15,18240.0,18415.0,18100.0,18310.0,491700.0,18310.0
153,2017-08-16,18400.0,18475.0,18315.0,18420.0,385200.0,18420.0
154,2017-08-17,18345.0,18465.0,18280.0,18375.0,242800.0,18375.0
155,2017-08-18,18160.0,18315.0,18150.0,18215.0,339200.0,18215.0
156,2017-08-21,18270.0,18305.0,18170.0,18215.0,208700.0,18215.0
157,2017-08-22,18230.0,18235.0,18090.0,18110.0,210200.0,18110.0
158,2017-08-23,18295.0,18300.0,18105.0,18160.0,287700.0,18160.0
159,2017-08-24,18110.0,18215.0,18055.0,18175.0,374600.0,18175.0
160,2017-08-25,18200.0,18200.0,18110.0,18125.0,250400.0,18125.0
161,2017-08-28,18145.0,18220.0,18135.0,18215.0,247000.0,18215.0
162,2017-08-29,18170.0,18290.0,18140.0,18285.0,265100.0,18285.0
163,2017-08-30,18345.0,18470.0,18320.0,18440.0,433000.0,18440.0
164,2017-08-31,18550.0,18960.0,18550.0,18630.0,552300.0,18630.0
165,2017-09-01,18615.0,18750.0,18520.0,18710.0,305600.0,18710.0
166,2017-09-04,18650.0,18825.0,18555.0,18570.0,434800.0,18570.0
167,2017-09-05,18510.0,18585.0,18420.0,18560.0,339700.0,18560.0
168,2017-09-06,18500.0,18725.0,18465.0,18660.0,408300.0,18660.0
169,2017-09-07,18720.0,18855.0,18615.0,18750.0,376400.0,18750.0
170,2017-09-08,18855.0,18965.0,18740.0,18920.0,637900.0,18920.0
171,2017-09-11,19000.0,19070.0,18950.0,18955.0,351400.0,18955.0
172,2017-09-12,19090.0,19205.0,18965.0,19155.0,422700.0,19155.0
173,2017-09-13,19165.0,19240.0,19100.0,19190.0,350500.0,19190.0
174,2017-09-14,19250.0,19385.0,19150.0,19250.0,434800.0,19250.0
175,2017-09-15,19275.0,19385.0,19020.0,19020.0,871400.0,19020.0
176,2017-09-19,19150.0,19490.0,19040.0,19435.0,560400.0,19435.0
177,2017-09-20,19340.0,19590.0,19315.0,19525.0,505100.0,19525.0
178,2017-09-21,19600.0,19770.0,19435.0,19535.0,609000.0,19535.0
179,2017-09-22,19420.0,19595.0,19400.0,19470.0,410200.0,19470.0
180,2017-09-25,19505.0,19565.0,19440.0,19475.0,355000.0,19475.0
181,2017-09-26,19550.0,20000.0,19535.0,20000.0,632300.0,20000.0
182,2017-09-27,19925.0,19980.0,19730.0,19975.0,394300.0,19975.0
183,2017-09-28,20000.0,20000.0,19790.0,19965.0,384200.0,19965.0
184,2017-09-29,19800.0,19835.0,19605.0,19730.0,515400.0,19730.0
185,2017-10-02,19810.0,19810.0,19665.0,19715.0,227200.0,19715.0
186,2017-10-03,19820.0,19905.0,19790.0,19830.0,299100.0,19830.0
187,2017-10-04,19805.0,19860.0,19760.0,19790.0,311300.0,19790.0
188,2017-10-05,19625.0,19720.0,19615.0,19675.0,296700.0,19675.0
189,2017-10-06,19720.0,19790.0,19680.0,19715.0,272600.0,19715.0
190,2017-10-10,19780.0,19855.0,19710.0,19845.0,495800.0,19845.0
191,2017-10-11,19760.0,19965.0,19755.0,19950.0,284800.0,19950.0
