,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2094.0,2134.0,2079.0,2131.0,717500.0,2131.0
1,2017-01-05,2126.0,2152.0,2124.0,2145.0,515000.0,2145.0
2,2017-01-06,2129.0,2150.0,2123.0,2145.0,669800.0,2145.0
3,2017-01-10,2140.0,2145.0,2104.0,2104.0,889700.0,2104.0
4,2017-01-11,2078.0,2103.0,2075.0,2084.0,885800.0,2084.0
5,2017-01-12,2085.0,2090.0,2062.0,2076.0,1616900.0,2076.0
6,2017-01-13,1950.0,2014.0,1938.0,1989.0,7395900.0,1989.0
7,2017-01-16,1989.0,2020.0,1987.0,1991.0,2340400.0,1991.0
8,2017-01-17,1996.0,2010.0,1966.0,1968.0,1797500.0,1968.0
9,2017-01-18,1970.0,1980.0,1947.0,1966.0,1204700.0,1966.0
10,2017-01-19,1990.0,1998.0,1963.0,1981.0,1112400.0,1981.0
11,2017-01-20,1980.0,1992.0,1973.0,1988.0,897900.0,1988.0
12,2017-01-23,1972.0,1976.0,1936.0,1938.0,1358000.0,1938.0
13,2017-01-24,1919.0,1930.0,1905.0,1923.0,1397800.0,1923.0
14,2017-01-25,1950.0,1954.0,1906.0,1912.0,1346200.0,1912.0
15,2017-01-26,1928.0,1928.0,1898.0,1914.0,2065200.0,1914.0
16,2017-01-27,1924.0,1958.0,1916.0,1951.0,1365600.0,1951.0
17,2017-01-30,1934.0,1937.0,1908.0,1925.0,1241000.0,1925.0
18,2017-01-31,1906.0,1920.0,1902.0,1905.0,669000.0,1905.0
19,2017-02-01,1900.0,1907.0,1881.0,1884.0,1624400.0,1884.0
20,2017-02-02,1888.0,1892.0,1869.0,1871.0,1301200.0,1871.0
21,2017-02-03,1872.0,1886.0,1856.0,1875.0,919600.0,1875.0
22,2017-02-06,1876.0,1881.0,1826.0,1836.0,1483300.0,1836.0
23,2017-02-07,1824.0,1836.0,1816.0,1821.0,1186500.0,1821.0
24,2017-02-08,1820.0,1822.0,1808.0,1815.0,1380100.0,1815.0
25,2017-02-09,1820.0,1844.0,1815.0,1831.0,1222700.0,1831.0
26,2017-02-10,1951.0,1974.0,1929.0,1953.0,3189500.0,1953.0
27,2017-02-13,1980.0,1986.0,1930.0,1934.0,2071800.0,1934.0
28,2017-02-14,1943.0,1955.0,1911.0,1911.0,1033700.0,1911.0
29,2017-02-15,1937.0,1946.0,1924.0,1933.0,792400.0,1933.0
30,2017-02-16,1933.0,1962.0,1931.0,1938.0,1056500.0,1938.0
31,2017-02-17,1935.0,1942.0,1919.0,1931.0,830700.0,1931.0
32,2017-02-20,1923.0,1969.0,1923.0,1965.0,989300.0,1965.0
33,2017-02-21,1955.0,1969.0,1943.0,1962.0,960500.0,1962.0
34,2017-02-22,1963.0,1972.0,1950.0,1958.0,975200.0,1958.0
35,2017-02-23,1958.0,1966.0,1946.0,1958.0,750700.0,1958.0
36,2017-02-24,1946.0,1973.0,1946.0,1954.0,986800.0,1954.0
37,2017-02-27,1943.0,1950.0,1921.0,1928.0,986300.0,1928.0
38,2017-02-28,1937.0,1967.0,1923.0,1923.0,1147100.0,1923.0
39,2017-03-01,1936.0,1960.0,1931.0,1953.0,1063000.0,1953.0
40,2017-03-02,1973.0,1982.0,1951.0,1952.0,1007400.0,1952.0
41,2017-03-03,1952.0,1980.0,1945.0,1968.0,1315500.0,1968.0
42,2017-03-06,1968.0,1976.0,1939.0,1943.0,826400.0,1943.0
43,2017-03-07,1943.0,1954.0,1939.0,1943.0,901200.0,1943.0
44,2017-03-08,1931.0,1951.0,1908.0,1913.0,1384700.0,1913.0
45,2017-03-09,1921.0,1933.0,1879.0,1880.0,1525600.0,1880.0
46,2017-03-10,1887.0,1909.0,1874.0,1888.0,1863500.0,1888.0
47,2017-03-13,1888.0,1916.0,1888.0,1901.0,1172300.0,1901.0
48,2017-03-14,1902.0,1918.0,1902.0,1908.0,1172900.0,1908.0
49,2017-03-15,1908.0,1927.0,1907.0,1916.0,1140100.0,1916.0
50,2017-03-16,1910.0,1922.0,1903.0,1912.0,1584200.0,1912.0
51,2017-03-17,1906.0,1927.0,1902.0,1904.0,1572800.0,1904.0
52,2017-03-21,1920.0,1934.0,1913.0,1914.0,1466800.0,1914.0
53,2017-03-22,1898.0,1898.0,1869.0,1872.0,1199500.0,1872.0
54,2017-03-23,1873.0,1888.0,1866.0,1885.0,789000.0,1885.0
55,2017-03-24,1892.0,1919.0,1884.0,1916.0,900500.0,1916.0
56,2017-03-27,1902.0,1912.0,1879.0,1888.0,983500.0,1888.0
57,2017-03-28,1897.0,1909.0,1892.0,1906.0,2140000.0,1906.0
58,2017-03-29,1896.0,1905.0,1891.0,1903.0,764100.0,1903.0
59,2017-03-30,1891.0,1897.0,1854.0,1855.0,900100.0,1855.0
60,2017-03-31,1870.0,1876.0,1837.0,1837.0,1009700.0,1837.0
61,2017-04-03,1848.0,1873.0,1832.0,1863.0,1350700.0,1863.0
62,2017-04-04,1851.0,1859.0,1828.0,1848.0,944000.0,1848.0
63,2017-04-05,1861.0,1879.0,1855.0,1875.0,1197200.0,1875.0
64,2017-04-06,1876.0,1909.0,1873.0,1885.0,1600200.0,1885.0
65,2017-04-07,1906.0,1926.0,1877.0,1898.0,1534300.0,1898.0
66,2017-04-10,1922.0,1926.0,1887.0,1895.0,970800.0,1895.0
67,2017-04-11,1885.0,1908.0,1876.0,1908.0,947800.0,1908.0
68,2017-04-12,1899.0,1919.0,1896.0,1906.0,981300.0,1906.0
69,2017-04-13,1896.0,1918.0,1879.0,1903.0,1148800.0,1903.0
70,2017-04-14,1898.0,1905.0,1871.0,1901.0,942500.0,1901.0
71,2017-04-17,1900.0,1923.0,1888.0,1923.0,889100.0,1923.0
72,2017-04-18,1928.0,1944.0,1918.0,1924.0,1129900.0,1924.0
73,2017-04-19,1920.0,1932.0,1899.0,1903.0,1099400.0,1903.0
74,2017-04-20,1904.0,1907.0,1879.0,1879.0,934300.0,1879.0
75,2017-04-21,1894.0,1897.0,1877.0,1890.0,800900.0,1890.0
76,2017-04-24,1920.0,1949.0,1914.0,1948.0,1155700.0,1948.0
77,2017-04-25,1970.0,2018.0,1967.0,2005.0,2755000.0,2005.0
78,2017-04-26,2021.0,2027.0,1986.0,1999.0,1900200.0,1999.0
79,2017-04-27,1955.0,1988.0,1941.0,1956.0,6417100.0,1956.0
80,2017-04-28,1956.0,1968.0,1927.0,1946.0,2865700.0,1946.0
81,2017-05-01,1970.0,1971.0,1952.0,1967.0,1873400.0,1967.0
82,2017-05-02,1966.0,2018.0,1961.0,2008.0,3248000.0,2008.0
83,2017-05-08,2050.0,2070.0,2034.0,2038.0,4686200.0,2038.0
84,2017-05-09,2049.0,2055.0,2036.0,2044.0,2292200.0,2044.0
85,2017-05-10,2065.0,2095.0,2056.0,2069.0,3450800.0,2069.0
86,2017-05-11,2081.0,2082.0,2051.0,2059.0,1971100.0,2059.0
87,2017-05-12,2107.0,2134.0,2087.0,2107.0,3588300.0,2107.0
88,2017-05-15,2105.0,2148.0,2102.0,2128.0,2917400.0,2128.0
89,2017-05-16,2125.0,2128.0,2089.0,2094.0,1812100.0,2094.0
90,2017-05-17,2083.0,2099.0,2059.0,2060.0,2188200.0,2060.0
91,2017-05-18,2040.0,2061.0,2035.0,2052.0,1822800.0,2052.0
92,2017-05-19,2052.0,2104.0,2046.0,2094.0,2394900.0,2094.0
93,2017-05-22,2112.0,2116.0,2092.0,2098.0,1145200.0,2098.0
94,2017-05-23,2090.0,2120.0,2083.0,2099.0,1474400.0,2099.0
95,2017-05-24,2113.0,2113.0,2089.0,2103.0,1338800.0,2103.0
96,2017-05-25,2100.0,2125.0,2100.0,2109.0,855400.0,2109.0
97,2017-05-26,2125.0,2136.0,2085.0,2090.0,1524800.0,2090.0
98,2017-05-29,2103.0,2114.0,2083.0,2094.0,1492700.0,2094.0
99,2017-05-30,2083.0,2090.0,2064.0,2067.0,1150200.0,2067.0
100,2017-05-31,2064.0,2074.0,2049.0,2058.0,2982700.0,2058.0
101,2017-06-01,2079.0,2154.0,2075.0,2154.0,3088600.0,2154.0
102,2017-06-02,2169.0,2227.0,2169.0,2219.0,3655200.0,2219.0
103,2017-06-05,2210.0,2211.0,2172.0,2189.0,1409200.0,2189.0
104,2017-06-06,2222.0,2225.0,2187.0,2196.0,1555400.0,2196.0
105,2017-06-07,2192.0,2203.0,2167.0,2173.0,1351600.0,2173.0
106,2017-06-08,2182.0,2194.0,2140.0,2149.0,1344800.0,2149.0
107,2017-06-09,2123.0,2149.0,2109.0,2114.0,1833600.0,2114.0
108,2017-06-12,2107.0,2126.0,2088.0,2089.0,1300000.0,2089.0
109,2017-06-13,2086.0,2102.0,2081.0,2097.0,910000.0,2097.0
110,2017-06-14,2086.0,2095.0,2076.0,2088.0,1199800.0,2088.0
111,2017-06-15,2089.0,2111.0,2077.0,2098.0,1501600.0,2098.0
112,2017-06-16,2113.0,2144.0,2102.0,2120.0,3662600.0,2120.0
113,2017-06-19,2117.0,2163.0,2116.0,2151.0,1449900.0,2151.0
114,2017-06-20,2174.0,2179.0,2156.0,2156.0,1365200.0,2156.0
115,2017-06-21,2154.0,2177.0,2151.0,2170.0,1508800.0,2170.0
116,2017-06-22,2183.0,2200.0,2166.0,2172.0,1282400.0,2172.0
117,2017-06-23,2178.0,2187.0,2147.0,2160.0,1494200.0,2160.0
118,2017-06-26,2149.0,2169.0,2134.0,2137.0,1641000.0,2137.0
119,2017-06-27,2142.0,2150.0,2113.0,2117.0,938600.0,2117.0
120,2017-06-28,2117.0,2132.0,2096.0,2101.0,964400.0,2101.0
121,2017-06-29,2116.0,2128.0,2100.0,2108.0,919200.0,2108.0
122,2017-06-30,2101.0,2102.0,2062.0,2077.0,1658100.0,2077.0
123,2017-07-03,2076.0,2076.0,2053.0,2058.0,927000.0,2058.0
124,2017-07-04,2069.0,2074.0,2043.0,2048.0,918800.0,2048.0
125,2017-07-05,2040.0,2043.0,2019.0,2039.0,1654100.0,2039.0
126,2017-07-06,2039.0,2049.0,2023.0,2025.0,1276700.0,2025.0
127,2017-07-07,2011.0,2017.0,1992.0,1994.0,1054500.0,1994.0
128,2017-07-10,2004.0,2016.0,1995.0,2006.0,863400.0,2006.0
129,2017-07-11,2003.0,2015.0,1987.0,2014.0,838800.0,2014.0
130,2017-07-12,2006.0,2016.0,2001.0,2007.0,680900.0,2007.0
131,2017-07-13,2020.0,2028.0,1994.0,1997.0,761300.0,1997.0
132,2017-07-14,1996.0,2005.0,1987.0,1998.0,834600.0,1998.0
133,2017-07-18,1984.0,2003.0,1981.0,1994.0,890500.0,1994.0
