,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2389.5,2448.0,2385.0,2445.0,1208800.0,2445.0
1,2017-01-05,2445.0,2483.0,2438.0,2462.0,1207100.0,2462.0
2,2017-01-06,2462.0,2511.5,2443.0,2502.5,1412100.0,2502.5
3,2017-01-10,2366.5,2440.0,2345.0,2419.5,3007900.0,2419.5
4,2017-01-11,2381.0,2406.5,2374.0,2401.5,1434700.0,2401.5
5,2017-01-12,2415.0,2425.0,2379.5,2390.0,994000.0,2390.0
6,2017-01-13,2392.5,2409.0,2377.0,2398.5,1050500.0,2398.5
7,2017-01-16,2400.0,2415.5,2371.0,2375.5,1073500.0,2375.5
8,2017-01-17,2375.0,2375.0,2334.5,2344.5,1054200.0,2344.5
9,2017-01-18,2319.0,2339.0,2293.0,2332.0,1679100.0,2332.0
10,2017-01-19,2340.0,2390.0,2335.5,2384.0,1580300.0,2384.0
11,2017-01-20,2392.5,2404.5,2370.5,2395.0,1273700.0,2395.0
12,2017-01-23,2375.5,2381.5,2333.0,2345.5,1368700.0,2345.5
13,2017-01-24,2337.5,2375.5,2328.0,2365.0,1129400.0,2365.0
14,2017-01-25,2400.0,2429.0,2367.5,2370.0,1806900.0,2370.0
15,2017-01-26,2400.0,2404.5,2377.5,2384.5,1347800.0,2384.5
16,2017-01-27,2401.0,2422.0,2382.5,2406.5,1291400.0,2406.5
17,2017-01-30,2392.0,2427.0,2385.5,2424.0,1360600.0,2424.0
18,2017-01-31,2317.5,2343.5,2277.0,2279.5,4565000.0,2279.5
19,2017-02-01,2272.0,2322.0,2270.0,2310.0,1985600.0,2310.0
20,2017-02-02,2306.5,2310.5,2252.5,2259.5,2250400.0,2259.5
21,2017-02-03,2256.0,2273.5,2241.0,2242.5,1621200.0,2242.5
22,2017-02-06,2255.5,2261.5,2236.0,2249.0,1582900.0,2249.0
23,2017-02-07,2226.5,2256.5,2221.5,2253.5,1497200.0,2253.5
24,2017-02-08,2269.0,2300.5,2258.0,2300.0,1440500.0,2300.0
25,2017-02-09,2272.0,2285.5,2259.0,2274.0,1518400.0,2274.0
26,2017-02-10,2324.0,2344.5,2306.0,2325.0,1896200.0,2325.0
27,2017-02-13,2340.5,2347.5,2325.5,2339.5,1376800.0,2339.5
28,2017-02-14,2348.0,2360.0,2323.0,2324.0,1567200.0,2324.0
29,2017-02-15,2340.5,2368.0,2333.0,2358.5,1229600.0,2358.5
30,2017-02-16,2350.5,2354.5,2322.0,2329.5,1419200.0,2329.5
31,2017-02-17,2259.0,2272.5,2230.5,2246.5,3341000.0,2246.5
32,2017-02-20,2250.0,2262.0,2231.0,2248.5,1868300.0,2248.5
33,2017-02-21,2256.5,2264.5,2241.0,2263.5,1480100.0,2263.5
34,2017-02-22,2260.5,2276.0,2252.0,2274.5,1361600.0,2274.5
35,2017-02-23,2380.0,2464.0,2380.0,2454.0,8350800.0,2454.0
36,2017-02-24,2433.0,2516.0,2431.0,2493.5,4833300.0,2493.5
37,2017-02-27,2477.0,2489.5,2451.5,2462.0,2970700.0,2462.0
38,2017-02-28,2455.5,2484.0,2451.5,2454.5,2275200.0,2454.5
39,2017-03-01,2466.0,2503.0,2464.0,2490.0,2108400.0,2490.0
40,2017-03-02,2515.0,2566.0,2509.0,2546.0,2727100.0,2546.0
41,2017-03-03,2562.0,2584.5,2535.0,2543.0,1922200.0,2543.0
42,2017-03-06,2422.0,2450.0,2398.0,2441.0,5202300.0,2441.0
43,2017-03-07,2540.0,2540.0,2443.0,2452.0,6815000.0,2452.0
