,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,330.0,343.0,330.0,342.0,17335000.0,3420.0
1,2017-01-05,346.0,354.0,344.0,346.0,20744000.0,3460.0
2,2017-01-06,339.0,345.0,338.0,342.0,16258000.0,3420.0
3,2017-01-10,341.0,346.0,338.0,341.0,12388000.0,3410.0
4,2017-01-11,344.0,350.0,343.0,348.0,15111000.0,3480.0
5,2017-01-12,348.0,349.0,339.0,343.0,15410000.0,3430.0
6,2017-01-13,339.0,348.0,337.0,348.0,13351000.0,3480.0
7,2017-01-16,343.0,345.0,337.0,339.0,12544000.0,3390.0
8,2017-01-17,338.0,344.0,334.0,337.0,13724000.0,3370.0
9,2017-01-18,333.0,345.0,333.0,344.0,17999000.0,3440.0
10,2017-01-19,349.0,361.0,349.0,359.0,37856000.0,3590.0
11,2017-01-20,358.0,365.0,355.0,362.0,26101000.0,3620.0
12,2017-01-23,359.0,362.0,354.0,356.0,18451000.0,3560.0
13,2017-01-24,353.0,364.0,352.0,360.0,14790000.0,3600.0
14,2017-01-25,368.0,370.0,360.0,362.0,16572000.0,3620.0
15,2017-01-26,368.0,379.0,367.0,376.0,22791000.0,3760.0
16,2017-01-27,378.0,379.0,368.0,370.0,17049000.0,3700.0
17,2017-01-30,370.0,377.0,369.0,372.0,20620000.0,3720.0
18,2017-01-31,363.0,366.0,351.0,360.0,21816000.0,3600.0
19,2017-02-01,351.0,356.0,350.0,352.0,17049000.0,3520.0
20,2017-02-02,354.0,355.0,343.0,345.0,22229000.0,3450.0
21,2017-02-03,350.0,352.0,338.0,342.0,17097000.0,3420.0
22,2017-02-06,344.0,346.0,341.0,345.0,8896000.0,3450.0
23,2017-02-07,343.0,349.0,343.0,343.0,12809000.0,3430.0
24,2017-02-08,346.0,350.0,345.0,348.0,11173000.0,3480.0
25,2017-02-09,345.0,349.0,344.0,346.0,8097000.0,3460.0
26,2017-02-10,353.0,362.0,352.0,361.0,15740000.0,3610.0
27,2017-02-13,366.0,367.0,362.0,366.0,10606000.0,3660.0
28,2017-02-14,367.0,368.0,361.0,362.0,13389000.0,3620.0
29,2017-02-15,366.0,372.0,366.0,368.0,9009000.0,3680.0
30,2017-02-16,365.0,368.0,362.0,367.0,10314000.0,3670.0
31,2017-02-17,364.0,368.0,360.0,362.0,10812000.0,3620.0
32,2017-02-20,360.0,364.0,354.0,364.0,8020000.0,3640.0
33,2017-02-21,364.0,367.0,360.0,365.0,8731000.0,3650.0
34,2017-02-22,367.0,376.0,364.0,375.0,20525000.0,3750.0
35,2017-02-23,374.0,381.0,371.0,378.0,19091000.0,3780.0
36,2017-02-24,377.0,380.0,371.0,373.0,14536000.0,3730.0
37,2017-02-27,370.0,371.0,360.0,367.0,17838000.0,3670.0
38,2017-02-28,370.0,375.0,368.0,371.0,14285000.0,3710.0
39,2017-03-01,374.0,375.0,365.0,372.0,14667000.0,3720.0
40,2017-03-02,379.0,382.0,374.0,374.0,17641000.0,3740.0
41,2017-03-03,378.0,384.0,377.0,381.0,21368000.0,3810.0
42,2017-03-06,379.0,382.0,377.0,380.0,9905000.0,3800.0
43,2017-03-07,383.0,389.0,383.0,384.0,18266000.0,3840.0
44,2017-03-08,388.0,389.0,372.0,379.0,25600000.0,3790.0
45,2017-03-09,377.0,386.0,377.0,384.0,13127000.0,3840.0
46,2017-03-10,381.0,382.0,375.0,377.0,22868000.0,3770.0
47,2017-03-13,379.0,379.0,375.0,377.0,10792000.0,3770.0
48,2017-03-14,378.0,379.0,372.0,373.0,6648000.0,3730.0
49,2017-03-15,370.0,378.0,370.0,376.0,9646000.0,3760.0
50,2017-03-16,375.0,384.0,374.0,383.0,15212000.0,3830.0
51,2017-03-17,380.0,381.0,375.0,376.0,10914000.0,3760.0
52,2017-03-21,372.0,376.0,365.0,374.0,9335000.0,3740.0
53,2017-03-22,366.0,369.0,359.0,359.0,16196000.0,3590.0
54,2017-03-23,360.0,367.0,360.0,360.0,11230000.0,3600.0
55,2017-03-24,360.0,364.0,356.0,357.0,10611000.0,3570.0
56,2017-03-27,352.0,354.0,347.0,350.0,12258000.0,3500.0
57,2017-03-28,350.0,357.0,350.0,354.0,9092000.0,3540.0
58,2017-03-29,363.0,367.0,355.0,358.0,12043000.0,3580.0
59,2017-03-30,356.0,365.0,355.0,356.0,11883000.0,3560.0
60,2017-03-31,359.0,360.0,349.0,350.0,12748000.0,3500.0
61,2017-04-03,347.0,354.0,343.0,353.0,12735000.0,3530.0
62,2017-04-04,348.0,349.0,341.0,346.0,15805000.0,3460.0
63,2017-04-05,348.0,350.0,342.0,345.0,12398000.0,3450.0
64,2017-04-06,338.0,343.0,333.0,336.0,16551000.0,3360.0
65,2017-04-07,337.0,346.0,336.0,341.0,20744000.0,3410.0
66,2017-04-10,347.0,347.0,342.0,346.0,10859000.0,3460.0
67,2017-04-11,340.0,341.0,332.0,337.0,13894000.0,3370.0
68,2017-04-12,330.0,336.0,329.0,332.0,14479000.0,3320.0
69,2017-04-13,325.0,328.0,322.0,326.0,16137000.0,3260.0
70,2017-04-14,324.0,330.0,321.0,327.0,10824000.0,3270.0
71,2017-04-17,327.0,336.0,325.0,330.0,15843000.0,3300.0
72,2017-04-18,337.0,340.0,332.0,333.0,11441000.0,3330.0
73,2017-04-19,330.0,332.0,324.0,326.0,14181000.0,3260.0
74,2017-04-20,326.0,329.0,322.0,322.0,10886000.0,3220.0
75,2017-04-21,328.0,330.0,325.0,329.0,8626000.0,3290.0
76,2017-04-24,334.0,335.0,329.0,331.0,9467000.0,3310.0
77,2017-04-25,335.0,339.0,333.0,338.0,11191000.0,3380.0
78,2017-04-26,346.0,350.0,344.0,347.0,14279000.0,3470.0
79,2017-04-27,346.0,348.0,342.0,344.0,7929000.0,3440.0
80,2017-04-28,345.0,347.0,340.0,341.0,10664000.0,3410.0
81,2017-05-01,341.0,342.0,335.0,340.0,9362000.0,3400.0
82,2017-05-02,338.0,342.0,336.0,337.0,8214000.0,3370.0
83,2017-05-08,344.0,344.0,333.0,334.0,14761000.0,3340.0
84,2017-05-09,335.0,336.0,327.0,330.0,14462000.0,3300.0
85,2017-05-10,328.0,335.0,327.0,330.0,11114000.0,3300.0
86,2017-05-11,333.0,334.0,327.0,328.0,8460000.0,3280.0
87,2017-05-12,328.0,330.0,326.0,328.0,8311000.0,3280.0
88,2017-05-15,325.0,326.0,321.0,324.0,6999000.0,3240.0
89,2017-05-16,326.0,329.0,325.0,328.0,10791000.0,3280.0
90,2017-05-17,325.0,326.0,317.0,317.0,11118000.0,3170.0
91,2017-05-18,308.0,321.0,307.0,317.0,23750000.0,3170.0
92,2017-05-19,318.0,324.0,318.0,323.0,13707000.0,3230.0
93,2017-05-22,327.0,327.0,320.0,322.0,5819000.0,3220.0
94,2017-05-23,319.0,320.0,315.0,316.0,6972000.0,3160.0
95,2017-05-24,319.0,325.0,317.0,323.0,8159000.0,3230.0
96,2017-05-25,318.0,328.0,318.0,326.0,9518000.0,3260.0
97,2017-05-26,324.0,326.0,321.0,322.0,4708000.0,3220.0
98,2017-05-29,321.0,323.0,317.0,319.0,6887000.0,3190.0
99,2017-05-30,319.0,319.0,316.0,318.0,5921000.0,3180.0
100,2017-05-31,318.0,319.0,315.0,318.0,10681000.0,3180.0
101,2017-06-01,317.0,323.0,316.0,321.0,9128000.0,3210.0
102,2017-06-02,324.0,339.0,323.0,339.0,25007000.0,3390.0
103,2017-06-05,336.0,337.0,329.0,331.0,13770000.0,3310.0
104,2017-06-06,335.0,336.0,323.0,323.0,11815000.0,3230.0
105,2017-06-07,321.0,325.0,317.0,323.0,10876000.0,3230.0
106,2017-06-08,322.0,325.0,321.0,322.0,8752000.0,3220.0
107,2017-06-09,321.0,324.0,319.0,322.0,9432000.0,3220.0
108,2017-06-12,325.0,328.0,323.0,326.0,10273000.0,3260.0
109,2017-06-13,330.0,333.0,327.0,329.0,10720000.0,3290.0
110,2017-06-14,329.0,329.0,322.0,325.0,8165000.0,3250.0
111,2017-06-15,324.0,324.0,315.0,320.0,13422000.0,3200.0
112,2017-06-16,326.0,333.0,323.0,332.0,18932000.0,3320.0
113,2017-06-19,335.0,337.0,332.0,333.0,11764000.0,3330.0
114,2017-06-20,336.0,336.0,330.0,332.0,12438000.0,3320.0
115,2017-06-21,331.0,331.0,325.0,327.0,13694000.0,3270.0
116,2017-06-22,329.0,331.0,327.0,330.0,8603000.0,3300.0
117,2017-06-23,331.0,331.0,325.0,330.0,8002000.0,3300.0
118,2017-06-26,327.0,332.0,324.0,325.0,6867000.0,3250.0
119,2017-06-27,328.0,330.0,326.0,329.0,6091000.0,3290.0
120,2017-06-28,327.0,332.0,324.0,327.0,10171000.0,3270.0
121,2017-06-29,329.0,333.0,327.0,332.0,12369000.0,3320.0
122,2017-06-30,328.0,331.0,328.0,330.0,6521000.0,3300.0
123,2017-07-03,329.0,335.0,328.0,334.0,8282000.0,3340.0
124,2017-07-04,336.0,344.0,336.0,338.0,19232000.0,3380.0
125,2017-07-05,337.0,338.0,331.0,338.0,10210000.0,3380.0
126,2017-07-06,339.0,339.0,334.0,337.0,8981000.0,3370.0
127,2017-07-07,335.0,339.0,332.0,339.0,9948000.0,3390.0
128,2017-07-10,346.0,360.0,346.0,356.0,32653000.0,3560.0
129,2017-07-11,354.0,361.0,352.0,360.0,13441000.0,3600.0
130,2017-07-12,358.0,363.0,358.0,359.0,9830000.0,3590.0
131,2017-07-13,359.0,360.0,352.0,353.0,9793000.0,3530.0
132,2017-07-14,355.0,356.0,353.0,353.0,4408000.0,3530.0
133,2017-07-18,357.0,358.0,346.0,347.0,10139000.0,3470.0
134,2017-07-19,344.0,345.0,341.0,342.0,7612000.0,3420.0
135,2017-07-20,344.0,345.0,338.0,342.0,9420000.0,3420.0
136,2017-07-21,340.0,343.0,339.0,340.0,5153000.0,3400.0
137,2017-07-24,339.0,340.0,333.0,339.0,6357000.0,3390.0
138,2017-07-25,340.0,342.0,337.0,337.0,5187000.0,3370.0
139,2017-07-26,339.0,342.0,337.0,339.0,7235000.0,3390.0
140,2017-07-27,338.0,340.0,335.0,337.0,6811000.0,3370.0
141,2017-07-28,336.0,337.0,333.0,333.0,5605000.0,3330.0
142,2017-07-31,332.0,349.0,331.0,344.0,15741000.0,3440.0
143,2017-08-01,346.0,355.0,343.0,347.0,12514000.0,3470.0
144,2017-08-02,344.0,350.0,344.0,347.0,6380000.0,3470.0
145,2017-08-03,348.0,348.0,340.0,343.0,8017000.0,3430.0
146,2017-08-04,338.0,340.0,335.0,340.0,7270000.0,3400.0
147,2017-08-07,344.0,346.0,338.0,339.0,6990000.0,3390.0
148,2017-08-08,339.0,339.0,334.0,334.0,6076000.0,3340.0
149,2017-08-09,334.0,336.0,329.0,334.0,9811000.0,3340.0
150,2017-08-10,334.0,336.0,330.0,331.0,5430000.0,3310.0
151,2017-08-14,327.0,335.0,325.0,331.0,7007000.0,3310.0
152,2017-08-15,334.0,341.0,332.0,340.0,10702000.0,3400.0
153,2017-08-16,337.0,343.0,336.0,337.0,8306000.0,3370.0
