,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,8550.0,8592.0,8412.0,8520.0,1212900.0,8520.0
1,2017-01-05,8510.0,8648.0,8510.0,8621.0,773700.0,8621.0
2,2017-01-06,8620.0,8758.0,8619.0,8725.0,597600.0,8725.0
3,2017-01-10,8767.0,8812.0,8676.0,8682.0,764200.0,8682.0
4,2017-01-11,8732.0,8735.0,8623.0,8642.0,584400.0,8642.0
5,2017-01-12,8580.0,8583.0,8443.0,8458.0,779600.0,8458.0
6,2017-01-13,8418.0,8506.0,8353.0,8461.0,1092800.0,8461.0
7,2017-01-16,8414.0,8457.0,8383.0,8386.0,659300.0,8386.0
8,2017-01-17,8402.0,8419.0,8328.0,8349.0,604600.0,8349.0
9,2017-01-18,8366.0,8366.0,8266.0,8313.0,733300.0,8313.0
10,2017-01-19,8314.0,8402.0,8293.0,8362.0,829500.0,8362.0
11,2017-01-20,8337.0,8394.0,8320.0,8367.0,504300.0,8367.0
12,2017-01-23,8307.0,8312.0,8181.0,8183.0,871500.0,8183.0
13,2017-01-24,8162.0,8181.0,8107.0,8122.0,862400.0,8122.0
14,2017-01-25,8196.0,8238.0,8109.0,8149.0,691400.0,8149.0
15,2017-01-26,8217.0,8270.0,8201.0,8249.0,914800.0,8249.0
16,2017-01-27,8300.0,8354.0,8280.0,8313.0,582400.0,8313.0
17,2017-01-30,8305.0,8314.0,8249.0,8278.0,385100.0,8278.0
18,2017-01-31,8226.0,8257.0,8165.0,8166.0,832400.0,8166.0
19,2017-02-01,8121.0,8185.0,8084.0,8180.0,479400.0,8180.0
20,2017-02-02,8121.0,8166.0,8038.0,8067.0,734500.0,8067.0
21,2017-02-03,8125.0,8238.0,8123.0,8186.0,669200.0,8186.0
22,2017-02-06,8237.0,8257.0,8166.0,8206.0,472800.0,8206.0
23,2017-02-07,8138.0,8167.0,8106.0,8149.0,376300.0,8149.0
24,2017-02-08,8170.0,8232.0,8167.0,8228.0,364600.0,8228.0
25,2017-02-09,8195.0,8195.0,8086.0,8138.0,530900.0,8138.0
26,2017-02-10,8438.0,8438.0,8239.0,8314.0,1192900.0,8314.0
27,2017-02-13,8384.0,8441.0,8341.0,8409.0,768500.0,8409.0
28,2017-02-14,8433.0,8486.0,8366.0,8375.0,884400.0,8375.0
29,2017-02-15,8434.0,8486.0,8417.0,8441.0,548300.0,8441.0
30,2017-02-16,8337.0,8379.0,8278.0,8306.0,887900.0,8306.0
31,2017-02-17,8240.0,8271.0,8202.0,8250.0,803100.0,8250.0
32,2017-02-20,8180.0,8221.0,8144.0,8194.0,530100.0,8194.0
33,2017-02-21,8210.0,8283.0,8187.0,8265.0,348000.0,8265.0
34,2017-02-22,8280.0,8290.0,8214.0,8247.0,325600.0,8247.0
35,2017-02-23,8245.0,8255.0,8187.0,8253.0,425600.0,8253.0
36,2017-02-24,8209.0,8287.0,8200.0,8212.0,514900.0,8212.0
37,2017-02-27,8179.0,8238.0,8115.0,8178.0,780800.0,8178.0
38,2017-02-28,8152.0,8248.0,8150.0,8185.0,874400.0,8185.0
39,2017-03-01,8192.0,8332.0,8182.0,8305.0,727600.0,8305.0
40,2017-03-02,8363.0,8397.0,8323.0,8357.0,577000.0,8357.0
41,2017-03-03,8400.0,8411.0,8255.0,8295.0,544500.0,8295.0
42,2017-03-06,8290.0,8296.0,8221.0,8226.0,249700.0,8226.0
43,2017-03-07,8202.0,8252.0,8192.0,8212.0,502400.0,8212.0
44,2017-03-08,8183.0,8206.0,8153.0,8186.0,437100.0,8186.0
45,2017-03-09,8267.0,8267.0,8177.0,8195.0,506000.0,8195.0
46,2017-03-10,8249.0,8352.0,8236.0,8329.0,1413800.0,8329.0
47,2017-03-13,8309.0,8395.0,8297.0,8384.0,320100.0,8384.0
48,2017-03-14,8396.0,8397.0,8353.0,8355.0,312000.0,8355.0
49,2017-03-15,8363.0,8423.0,8342.0,8411.0,406400.0,8411.0
50,2017-03-16,8355.0,8388.0,8341.0,8380.0,562600.0,8380.0
51,2017-03-17,8321.0,8347.0,8275.0,8277.0,745500.0,8277.0
52,2017-03-21,8169.0,8263.0,8168.0,8209.0,556100.0,8209.0
53,2017-03-22,8085.0,8116.0,8001.0,8002.0,1167300.0,8002.0
54,2017-03-23,8000.0,8030.0,7972.0,8003.0,723700.0,8003.0
55,2017-03-24,8004.0,8123.0,8003.0,8102.0,895100.0,8102.0
56,2017-03-27,8052.0,8088.0,7979.0,7997.0,590600.0,7997.0
57,2017-03-28,8131.0,8162.0,8077.0,8139.0,895400.0,8139.0
58,2017-03-29,8114.0,8138.0,8075.0,8127.0,581600.0,8127.0
