,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,13400.0,13490.0,13330.0,13380.0,452100.0,13380.0
1,2017-01-05,13350.0,13390.0,13260.0,13380.0,318400.0,13380.0
2,2017-01-06,13270.0,13610.0,13260.0,13530.0,368500.0,13530.0
3,2017-01-10,13450.0,13530.0,13330.0,13350.0,432200.0,13350.0
4,2017-01-11,13310.0,13310.0,13030.0,13100.0,558600.0,13100.0
5,2017-01-12,13000.0,13020.0,12650.0,12860.0,531000.0,12860.0
6,2017-01-13,12860.0,13050.0,12850.0,12890.0,399700.0,12890.0
7,2017-01-16,12890.0,12980.0,12760.0,12820.0,288300.0,12820.0
8,2017-01-17,12810.0,12910.0,12710.0,12800.0,288000.0,12800.0
9,2017-01-18,12740.0,12850.0,12700.0,12780.0,318500.0,12780.0
10,2017-01-19,12780.0,12820.0,12570.0,12570.0,361900.0,12570.0
11,2017-01-20,12570.0,12680.0,12480.0,12600.0,269900.0,12600.0
12,2017-01-23,12600.0,12630.0,12430.0,12440.0,255100.0,12440.0
13,2017-01-24,12450.0,12490.0,12360.0,12390.0,198400.0,12390.0
14,2017-01-25,12460.0,12520.0,12280.0,12380.0,313800.0,12380.0
15,2017-01-26,12500.0,12730.0,12400.0,12710.0,379600.0,12710.0
16,2017-01-27,12840.0,12890.0,12650.0,12680.0,313300.0,12680.0
17,2017-01-30,12700.0,12760.0,12570.0,12660.0,263700.0,12660.0
18,2017-01-31,12600.0,12730.0,12530.0,12620.0,304300.0,12620.0
19,2017-02-01,12650.0,12810.0,12610.0,12800.0,282700.0,12800.0
20,2017-02-02,12770.0,12870.0,12710.0,12750.0,375200.0,12750.0
21,2017-02-03,12730.0,12770.0,12560.0,12590.0,231700.0,12590.0
22,2017-02-06,12620.0,12640.0,12480.0,12580.0,183100.0,12580.0
23,2017-02-07,12480.0,12480.0,12330.0,12340.0,299900.0,12340.0
24,2017-02-08,12450.0,12550.0,12360.0,12460.0,225400.0,12460.0
25,2017-02-09,12460.0,12500.0,12250.0,12260.0,273200.0,12260.0
26,2017-02-10,12390.0,12460.0,12330.0,12440.0,254600.0,12440.0
27,2017-02-13,12470.0,12580.0,12420.0,12570.0,265200.0,12570.0
28,2017-02-14,12620.0,12660.0,12540.0,12600.0,237900.0,12600.0
29,2017-02-15,12760.0,12770.0,12530.0,12590.0,496800.0,12590.0
30,2017-02-16,12570.0,12570.0,12260.0,12330.0,395800.0,12330.0
31,2017-02-17,12280.0,12350.0,12190.0,12330.0,230200.0,12330.0
32,2017-02-20,12340.0,12380.0,12230.0,12250.0,217000.0,12250.0
