,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,42480.0,43330.0,42450.0,43290.0,648100.0,43290.0
1,2017-01-05,43250.0,43330.0,42470.0,42590.0,516800.0,42590.0
2,2017-01-06,40500.0,41030.0,39720.0,39720.0,1435500.0,39720.0
3,2017-01-10,38620.0,38850.0,38150.0,38690.0,1196900.0,38690.0
4,2017-01-11,38710.0,38880.0,38480.0,38560.0,545900.0,38560.0
5,2017-01-12,38300.0,38450.0,37930.0,38010.0,800900.0,38010.0
6,2017-01-13,38900.0,39380.0,38240.0,38430.0,1321200.0,38430.0
7,2017-01-16,38010.0,38170.0,37410.0,37480.0,725700.0,37480.0
8,2017-01-17,37000.0,37550.0,36760.0,36770.0,758600.0,36770.0
9,2017-01-18,36930.0,37330.0,36660.0,37230.0,781600.0,37230.0
10,2017-01-19,37610.0,37710.0,36970.0,37160.0,775200.0,37160.0
11,2017-01-20,36900.0,37290.0,36780.0,37240.0,540800.0,37240.0
12,2017-01-23,36800.0,36920.0,36300.0,36340.0,764400.0,36340.0
13,2017-01-24,35750.0,35860.0,35330.0,35350.0,988000.0,35350.0
14,2017-01-25,36100.0,36260.0,35520.0,35890.0,633900.0,35890.0
15,2017-01-26,36360.0,36570.0,35950.0,36520.0,877200.0,36520.0
16,2017-01-27,36700.0,37030.0,36420.0,36960.0,811300.0,36960.0
17,2017-01-30,36500.0,36640.0,36280.0,36380.0,483300.0,36380.0
18,2017-01-31,35760.0,35900.0,35520.0,35580.0,770300.0,35580.0
19,2017-02-01,35470.0,36150.0,35300.0,35920.0,458500.0,35920.0
20,2017-02-02,35690.0,35890.0,35000.0,35140.0,678900.0,35140.0
21,2017-02-03,35530.0,35620.0,34640.0,35260.0,672700.0,35260.0
22,2017-02-06,35600.0,35840.0,35440.0,35810.0,541500.0,35810.0
23,2017-02-07,35450.0,35530.0,35000.0,35290.0,466100.0,35290.0
24,2017-02-08,35390.0,35660.0,35240.0,35560.0,319500.0,35560.0
25,2017-02-09,35560.0,35630.0,35160.0,35550.0,373200.0,35550.0
26,2017-02-10,36390.0,37040.0,36200.0,36940.0,1021700.0,36940.0
27,2017-02-13,37400.0,37410.0,36780.0,36840.0,458800.0,36840.0
28,2017-02-14,36850.0,37030.0,36490.0,36550.0,439600.0,36550.0
29,2017-02-15,36990.0,37220.0,36780.0,37050.0,388000.0,37050.0
30,2017-02-16,36830.0,36870.0,35880.0,35990.0,584500.0,35990.0
31,2017-02-17,35720.0,35720.0,35060.0,35180.0,594100.0,35180.0
32,2017-02-20,35000.0,35160.0,34700.0,34990.0,459900.0,34990.0
33,2017-02-21,35190.0,35730.0,35110.0,35610.0,384600.0,35610.0
34,2017-02-22,35630.0,35690.0,34970.0,35270.0,407900.0,35270.0
35,2017-02-23,35210.0,35310.0,34880.0,35280.0,384700.0,35280.0
36,2017-02-24,34950.0,35310.0,34880.0,35180.0,347300.0,35180.0
37,2017-02-27,34800.0,35360.0,34780.0,35250.0,486900.0,35250.0
38,2017-02-28,35370.0,35560.0,35150.0,35490.0,489900.0,35490.0
39,2017-03-01,35650.0,36290.0,35550.0,36140.0,734500.0,36140.0
40,2017-03-02,36800.0,36920.0,36500.0,36500.0,626200.0,36500.0
41,2017-03-03,36940.0,37540.0,36820.0,37270.0,967700.0,37270.0
42,2017-03-06,37000.0,37110.0,36040.0,36240.0,777500.0,36240.0
43,2017-03-07,36010.0,36080.0,35570.0,35680.0,565000.0,35680.0
44,2017-03-08,35780.0,36010.0,35590.0,35740.0,475200.0,35740.0
45,2017-03-09,36000.0,36250.0,35900.0,36040.0,402700.0,36040.0
46,2017-03-10,36000.0,36960.0,35990.0,36840.0,1424000.0,36840.0
47,2017-03-13,36500.0,36750.0,36270.0,36620.0,377800.0,36620.0
48,2017-03-14,36820.0,36820.0,36540.0,36630.0,229000.0,36630.0
49,2017-03-15,36500.0,36870.0,36450.0,36720.0,317700.0,36720.0
50,2017-03-16,36540.0,36630.0,35850.0,36010.0,583600.0,36010.0
51,2017-03-17,36000.0,36370.0,35940.0,36040.0,571000.0,36040.0
52,2017-03-21,35640.0,35910.0,35380.0,35850.0,395100.0,35850.0
53,2017-03-22,35280.0,35350.0,34770.0,34960.0,724300.0,34960.0
54,2017-03-23,35200.0,35400.0,34960.0,35360.0,509100.0,35360.0
55,2017-03-24,35270.0,35900.0,35210.0,35820.0,628700.0,35820.0
56,2017-03-27,35410.0,35480.0,34610.0,34790.0,729500.0,34790.0
57,2017-03-28,34990.0,34990.0,34570.0,34750.0,661300.0,34750.0
58,2017-03-29,34770.0,34980.0,34580.0,34820.0,513900.0,34820.0
59,2017-03-30,34510.0,34730.0,34390.0,34490.0,443300.0,34490.0
