,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,7850.0,8016.0,7850.0,7995.0,7886900.0,3997.5
1,2017-01-05,8030.0,8200.0,7999.0,8153.0,11837300.0,4076.5
2,2017-01-06,8082.0,8383.0,8075.0,8363.0,13835300.0,4181.5
3,2017-01-10,8500.0,8590.0,8368.0,8423.0,12725000.0,4211.5
4,2017-01-11,8500.0,8535.0,8380.0,8495.0,7789300.0,4247.5
5,2017-01-12,8480.0,8517.0,8395.0,8430.0,6894100.0,4215.0
6,2017-01-13,8414.0,8508.0,8354.0,8477.0,5896500.0,4238.5
7,2017-01-16,8451.0,8480.0,8350.0,8350.0,5054400.0,4175.0
8,2017-01-17,8300.0,8304.0,8145.0,8179.0,6467100.0,4089.5
9,2017-01-18,8090.0,8273.0,8034.0,8242.0,7295500.0,4121.0
10,2017-01-19,8353.0,8420.0,8295.0,8329.0,6258000.0,4164.5
11,2017-01-20,8343.0,8482.0,8301.0,8450.0,7098700.0,4225.0
12,2017-01-23,8415.0,8439.0,8351.0,8380.0,7149800.0,4190.0
13,2017-01-24,8315.0,8550.0,8306.0,8428.0,7887500.0,4214.0
14,2017-01-25,8648.0,8725.0,8614.0,8687.0,10638100.0,4343.5
15,2017-01-26,8772.0,8960.0,8765.0,8956.0,12706000.0,4478.0
16,2017-01-27,8983.0,9066.0,8920.0,8977.0,10963300.0,4488.5
17,2017-01-30,8900.0,8967.0,8833.0,8853.0,6160500.0,4426.5
18,2017-01-31,8703.0,8822.0,8688.0,8701.0,7696500.0,4350.5
19,2017-02-01,8650.0,8814.0,8636.0,8805.0,6654700.0,4402.5
20,2017-02-02,8872.0,8874.0,8653.0,8686.0,5995600.0,4343.0
21,2017-02-03,8720.0,8747.0,8492.0,8531.0,8730100.0,4265.5
22,2017-02-06,8631.0,8707.0,8590.0,8653.0,5362200.0,4326.5
23,2017-02-07,8551.0,8734.0,8551.0,8664.0,5033900.0,4332.0
24,2017-02-08,8700.0,8700.0,8545.0,8684.0,5227400.0,4342.0
25,2017-02-09,8800.0,8976.0,8700.0,8734.0,11207900.0,4367.0
26,2017-02-10,8900.0,8900.0,8751.0,8792.0,7852000.0,4396.0
27,2017-02-13,8830.0,8830.0,8655.0,8659.0,6249500.0,4329.5
28,2017-02-14,8719.0,8742.0,8509.0,8535.0,6739200.0,4267.5
29,2017-02-15,8650.0,8728.0,8545.0,8670.0,6562400.0,4335.0
30,2017-02-16,8750.0,8759.0,8606.0,8657.0,6243800.0,4328.5
31,2017-02-17,8600.0,8620.0,8503.0,8518.0,5755900.0,4259.0
32,2017-02-20,8700.0,8810.0,8656.0,8789.0,8769900.0,4394.5
33,2017-02-21,8762.0,8790.0,8680.0,8716.0,6380400.0,4358.0
34,2017-02-22,8770.0,8770.0,8702.0,8728.0,4435300.0,4364.0
35,2017-02-23,8726.0,8728.0,8585.0,8642.0,5234600.0,4321.0
36,2017-02-24,8576.0,8672.0,8576.0,8600.0,3920400.0,4300.0
37,2017-02-27,8520.0,8546.0,8393.0,8393.0,7782800.0,4196.5
38,2017-02-28,8431.0,8490.0,8362.0,8362.0,17526600.0,4181.0
39,2017-03-01,8434.0,8650.0,8405.0,8583.0,11305300.0,4291.5
40,2017-03-02,8700.0,8710.0,8579.0,8579.0,6060000.0,4289.5
41,2017-03-03,8535.0,8572.0,8394.0,8440.0,6093500.0,4220.0
42,2017-03-06,8419.0,8492.0,8388.0,8439.0,3425600.0,4219.5
43,2017-03-07,8422.0,8495.0,8395.0,8478.0,4359100.0,4239.0
44,2017-03-08,8461.0,8479.0,8356.0,8426.0,6454700.0,4213.0
45,2017-03-09,8437.0,8440.0,8315.0,8328.0,5349400.0,4164.0
46,2017-03-10,8372.0,8395.0,8316.0,8365.0,6653000.0,4182.5
47,2017-03-13,8328.0,8463.0,8324.0,8413.0,3797100.0,4206.5
48,2017-03-14,8395.0,8460.0,8365.0,8434.0,3844300.0,4217.0
49,2017-03-15,8406.0,8428.0,8341.0,8380.0,3028300.0,4190.0
50,2017-03-16,8342.0,8564.0,8341.0,8523.0,6281200.0,4261.5
51,2017-03-17,8490.0,8508.0,8402.0,8432.0,4484700.0,4216.0
52,2017-03-21,8380.0,8386.0,8212.0,8274.0,6583400.0,4137.0
53,2017-03-22,8050.0,8100.0,8025.0,8053.0,6796100.0,4026.5
54,2017-03-23,8025.0,8135.0,8001.0,8049.0,4841100.0,4024.5
