Date,日経平均:始値,日経平均:高値,日経平均:安値,日経平均:終値,日経平均:清算値,日経平均:出来高,日経平均:建玉,日経平均:前日比,日経平均:翌日比,TOPIX:始値,TOPIX:高値,TOPIX:安値,TOPIX:終値,TOPIX:出来高,TOPIX:清算値,TOPIX:建玉,TOPIX:前日比,TOPIX:翌日比,ダウ平均指数,NASDAQ:始値,NASDAQ:高値,NASDAQ:安値,NASDAQ:終値,NASDAQ:清算値,NASDAQ:出来高,NASDAQ:建玉,NASDAQ:前日比,NASDAQ:翌日比,S&P500指数,USD/JPY:売高値,USD/JPY:買高値,USD/JPY:売安値,USD/JPY:買安値,USD/JPY:売平均,USD/JPY:買平均,日銀短観指数,日本国債1年金利指数,消費者物価指数,輸出入物価指数,ビッグマック指数:現地価格,ビッグマック指数:ドルレート,ビッグマック指数:米ドル価格,ビッグマック指数:米ドル購買力平価,ビッグマック指数:米ドル評価額,ビッグマック指数:米ドル平均評価額,ビッグマック指数:欧州ユーロ平均評価額,ビッグマック指数:UKポンド平均評価額,ビッグマック指数:日本円平均評価額,ビッグマック指数:中国元平均評価額,金相場:売高値,金相場:買高値,金相場:売安値,金相場:買安値,金相場:売平均,金相場:買平均,金相場:6ヶ月金リースレート(%),米国実質長期金利(10年以上)
2017-01-03,19305.0,19395.0,19305.0,19270.0,19305.0,0.0,25.0,0.018162947586922717,-0.01783893985728846,1564.25,1564.25,1564.25,1564.25,1.0,1477.5,21.0,0.0,0.0,19882.0,4888.0,4924.25,4878.0,4905.75,4905.5,148.0,260.0,0.005554706212097971,-0.0055240218933712,48.52,118.02,118.11,117.24,117.35,117.51,117.63,14.1,-0.297,100.0,167.9,380.0,116.665,3.2571893884198,75.098814229249,-35.628668213047,-19.92807550023,-18.419117674014,-2.3265880409462,0.0,-14.383337214272,135674.33,136441.19,134620.26,135493.21,135346.51,136123.06,,0.82
2017-01-04,19630.0,19630.0,19295.0,19620.0,19610.0,3.0,25.0,0.018162947586922717,0.010038610038610063,1564.25,1564.25,1564.25,1564.25,1.0,1477.5,21.0,0.0,0.0,19942.0,4903.0,4941.75,4903.0,4933.0,4932.5,53.0,307.0,0.005554706212097971,-0.005844417573559024,48.52,118.07,118.18,117.42,117.7,117.9,118.01,14.1,-0.297,100.0,167.9,380.0,116.665,3.2571893884198,75.098814229249,-35.628668213047,-19.92807550023,-18.419117674014,-2.3265880409462,0.0,-14.383337214272,136858.96,137524.86,135615.4,136547.3,136428.78,137195.92,,0.82
2017-01-05,19535.0,19625.0,19385.0,19425.0,19410.0,2.0,26.0,-0.00993883792048933,-0.007662835249042099,1564.25,1564.25,1564.25,1564.25,1.0,1477.5,21.0,0.0,0.0,19899.0,4929.25,4963.25,4920.5,4962.0,4961.0,91.0,300.0,0.005878775592945473,-0.008343742193354986,48.52,117.31,117.35,115.91,115.97,116.39,116.52,14.1,-0.303,100.0,167.9,380.0,116.665,3.2571893884198,75.098814229249,-35.628668213047,-19.92807550023,-18.419117674014,-2.3265880409462,0.0,-14.383337214272,136486.31,137264.18,135898.05,136627.61,136207.17,136999.98,,0.76
2017-01-06,19570.0,19575.0,19345.0,19575.0,19565.0,1.0,25.0,0.007722007722007707,0.006426735218509005,1564.25,1564.25,1564.25,1564.25,1.0,1477.5,21.0,0.0,0.0,19964.0,4959.0,5016.0,4953.25,5003.75,5003.75,133.0,284.0,0.008413945989520277,-0.003336321083557414,48.52,116.28,116.33,115.33,115.5,115.79,115.92,14.1,-0.314,100.0,167.9,380.0,116.665,3.2571893884198,75.098814229249,-35.628668213047,-19.92807550023,-18.419117674014,-2.3265880409462,0.0,-14.383337214272,136267.37,137044.47,135794.16,136590.3,136051.32,136836.51,,0.8
2017-01-09,19405.0,19650.0,19450.0,19450.0,19405.0,0.0,25.0,-0.0063856960408684715,0.0051679586563306845,1564.25,1564.25,1564.25,1564.25,1.0,1477.5,21.0,0.0,0.0,19887.0,5005.25,5029.0,5003.0,5020.5,5021.25,92.0,312.0,0.0033474893829628094,-0.0022358026531524855,48.52,117.49,117.52,117.09,117.13,117.28,117.33,14.1,-0.314,100.0,167.9,380.0,116.665,3.2571893884198,75.098814229249,-35.628668213047,-19.92807550023,-18.419117674014,-2.3265880409462,0.0,-14.383337214272,137672.08,138392.73,137172.11,137906.9,137475.21,138192.23,,0.78
2017-01-10,19345.0,19445.0,19265.0,19350.0,19300.0,1.0,25.0,-0.005141388174807249,0.0020714655618849775,1564.25,1564.25,1564.25,1564.25,1.0,1477.5,21.0,0.0,0.0,19856.0,5005.75,5043.75,5005.75,5031.75,5030.25,275.0,356.0,0.0022408126680608653,-0.00292281779451109,48.52,116.05,116.1,115.29,115.36,115.64,115.74,14.1,-0.335,100.0,167.9,380.0,116.665,3.2571893884198,75.098814229249,-35.628668213047,-19.92807550023,-18.419117674014,-2.3265880409462,0.0,-14.383337214272,136825.48,137588.08,136443.71,137114.59,136640.13,137358.51,,0.77
2017-01-11,19300.0,19465.0,19160.0,19310.0,19360.0,6.0,26.0,-0.002067183462532318,0.008881922675026077,1564.25,1564.25,1564.25,1564.25,1.0,1477.5,21.0,0.0,0.0,19954.0,5030.0,5046.5,5007.25,5046.5,5045.0,281.0,323.0,0.002931385700799982,0.0018363194203185884,48.52,116.06,116.17,115.78,115.81,115.89,115.95,14.1,-0.336,100.0,167.9,380.0,116.665,3.2571893884198,75.098814229249,-35.628668213047,-19.92807550023,-18.419117674014,-2.3265880409462,0.0,-14.383337214272,137652.37,138464.9,137120.06,137755.83,137378.18,138077.01,,0.74
2017-01-12,19130.0,19165.0,18980.0,19140.0,19190.0,4.0,26.0,-0.008803728638011377,-0.006230529595015577,1564.25,1564.25,1564.25,1564.25,1.0,1477.5,21.0,0.0,0.0,19891.0,5044.0,5044.0,4990.25,5037.25,5033.25,523.0,339.0,-0.0018329535321509605,-0.0043976677537306275,48.52,115.18,115.33,114.04,114.09,114.66,114.81,14.1,-0.308,100.0,167.9,380.0,116.665,3.2571893884198,75.098814229249,-35.628668213047,-19.92807550023,-18.419117674014,-2.3265880409462,0.0,-14.383337214272,137151.6,137999.26,136822.99,137555.04,137021.75,137842.32,,0.73
2017-01-13,19290.0,19350.0,19165.0,19260.0,19310.0,5.0,27.0,0.006269592476489061,0.02857142857142847,1564.25,1564.25,1564.25,1564.25,1.0,1477.5,21.0,0.0,0.0,19886.0,5033.5,5062.25,5033.5,5059.5,5060.0,203.0,327.0,0.004417092659685373,0.004068267513395618,48.52,115.13,115.19,114.59,114.72,114.88,114.98,14.1,-0.308,100.0,167.9,380.0,116.665,3.2571893884198,75.098814229249,-35.628668213047,-19.92807550023,-18.419117674014,-2.3265880409462,0.0,-14.383337214272,136989.15,137760.43,136751.71,137536.66,136875.16,137634.56,,0.75
2017-01-16,19290.0,19350.0,19165.0,19260.0,19310.0,5.0,27.0,0.006269592476489061,0.02857142857142847,1564.25,1564.25,1564.25,1564.25,1.0,1477.5,21.0,0.0,0.0,19886.0,5033.5,5062.25,5033.5,5059.5,5060.0,203.0,327.0,0.004417092659685373,0.004068267513395618,48.52,114.35,114.47,113.82,113.91,114.12,114.23,14.1,-0.31,100.0,167.9,380.0,116.665,3.2571893884198,75.098814229249,-35.628668213047,-19.92807550023,-18.419117674014,-2.3265880409462,0.0,-14.383337214272,137175.4,137991.75,136808.98,137626.06,136983.1,137781.21,,0.75
